| Government | Italy |
| --- | --- |
| Country name: | conventional long form: Italian Republic |
| Country name: | conventional short form: Italy |
| Country name: | local long form: Repubblica Italiana |
| Country name: | local short form: Italia |
| Country name: | former: Kingdom of Italy |
| Government type: | republic |
| Capital: | name: Rome |
| Capital: | geographic coordinates: 41 54 N, 12 29 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 15 regions (regioni, singular - regione) and 5 autonomous regions (regioni autonome, singular - regione autonoma) |
| Administrative divisions: | regions: Abruzzo, Basilicata, Calabria, Campania, Emilia-Romagna, Lazio (Latium), Liguria, Lombardia, Marche, Molise, Piemonte (Piedmont), Puglia (Apulia), Toscana (Tuscany), Umbria, Veneto (Venetia) |
| Administrative divisions: | autonomous regions: Friuli-Venezia Giulia; Sardegna (Sardinia); Sicilia (Sicily); Trentino-Alto Adige (Trentino-South Tyrol) or Trentino-Suedtirol (German); Valle d'Aosta (Aosta Valley) or Vallee d'Aoste (French) |
| Independence: | 17 March 1861 (Kingdom of Italy proclaimed; Italy was not finally unified until 1870) |
| National holiday: | Republic Day, 2 June (1946) |
| Constitution: | previous 1848 (originally for Kingdom of Sardinia and adopted by Kingdom of Italy in 1861); latest enacted 22 December 1947, adopted 27 December 1947, entered into force 1 January 1948; amended many times, last in 2012 (2013) |
| Legal system: | civil law system; judicial review under certain conditions in Constitutional Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal (except in senatorial elections, where minimum age is 25) |
| Executive branch: | chief of state: President Giorgio NAPOLITANO (since 15 May 2006) |
| Executive branch: | head of government: Prime Minister Enrico LETTA (since 17 April 2013); note - the prime minister is referred to as the President of the Council of Ministers |
| Executive branch: | cabinet: Council of Ministers proposed by the prime minister and nominated by the President of the Republic |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by an electoral college consisting of both houses of parliament and 58 regional representatives for a seven-year term (no term limits); election last held on 24-25 February 2013 (next to be held in 2020); prime minister appointed by the president and confirmed by parliament; note - elections were held in February, but resulted in a political stalemate to be determined by formal talks beginning in March; by mid-April 2013 no governing coaliton has been formed; on 18 April 2013 indirect elections for president were begun; on the sixth round Giorgio NAPOLITANO was elected president with 739 votes |
| Executive branch: | election results: Giorgio NAPOLITANO elected president on the sixth round of voting; electoral college vote - 739 |
| Legislative branch: | bicameral Parliament or Parlamento consists of the Senate or Senato della Repubblica (315 seats; members elected by proportional vote with the winning coalition in each region receiving 55% of seats from that region; members to serve five-year terms; and up to 5 senators for life appointed by the president of the Republic) and the Chamber of Deputies or Camera dei Deputati (630 seats; members elected by popular vote with the winning national coalition receiving 54% of chamber seats; members to serve five-year terms); note - it has not been clarified if each president has the power to designate up to five senators or if five is the number of senators for life who might sit in the Senate |
| Legislative branch: | elections: Senate - last held on 24-25 February 2013 (next to be held in 2018); Chamber of Deputies - last held on 24-25 February 2013 (next to be held in 2018) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - Pier Luigi BERSANI coalition 123 (PD 111, SEL 7, SVP 2, other 3), Silvio BERLUSCONI coalition 117 (PdL 98, LN 18, other 1), M5S 54, Mario MONTI coalition 19, other 2; Chamber of Deputies - percent of vote by party - NA; seats by party - Pier Luigi BERSANI coalition 345 (PD 297, SEL 37, CD 6 SVP 5), Silvio BERLUSCONI coalition 125 (PdL 98, LN 18, FdI 9), M5S 109, Mario MONTI coalition 47, other 4; note - President NAPOLITANO dissolved Parliament on 22 December 2012 |
| Judicial branch: | highest court(s): Supreme Court of Cassation or Corte Suprema di Cassazione (organized into penal, civil, administrative, and military divisions, each with a president and several judges); Constitutional Court or Corte Costituzionale (consists of 15 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges appointed by the Superior Council of the Judiciary, headed by the president, to serve NA terms; Constitutional Court judges - 5 appointed by the president, 5 elected by parliament, 5 elected by select higher courts; judges serve up to 9 years) |
| Judicial branch: | subordinate courts: various lower civil and criminal courts (primary and secondary tribunals, courts, and courts of appeal) |
| Political parties and leaders: | Center-right coalition [Silvio BERLUSCONI]: |
| Political parties and leaders: | People of Freedom or PdL [Silvio BERLUSCONI] |
| Political parties and leaders: | Northern League or LN [Roberto MARONI] |
| Political parties and leaders: | Brothers of Italy or Fdl [Giorgia MELONI and Ignazio LA RUSSA] |
| Political parties and leaders: | The Right or LD [Francesco STORACE] |
| Political parties and leaders: | other minor parties |
| Italy Common Good (Center-Left) [Pier Luigi BERSANI]: | Democratic Party or PD [Pier Luigi BERSANI] |
| Italy Common Good (Center-Left) [Pier Luigi BERSANI]: | Left Ecology Freedom or SEL [Nichi VENDOLA] |
| Italy Common Good (Center-Left) [Pier Luigi BERSANI]: | Italian Socialist Party or PSI [Riccardo NENCINI] |
| Italy Common Good (Center-Left) [Pier Luigi BERSANI]: | Democratic Centre or CD [Bruno TABACCI and Massimo DONADI] |
| Italy Common Good (Center-Left) [Pier Luigi BERSANI]: | South Tyrolean People's Party or SVP [Luis DURNWALDER] |
| With Monti for Italy (Centrist): | Civic Choice or SC [Mario MONTI] |
| With Monti for Italy (Centrist): | Union of the Center or UdC [Pier Ferdinando CASINI] |
| With Monti for Italy (Centrist): | Future and Freedom for Italy or FLI [Gianfranco FINI] |
| other coalitions and parties: | Civil Revolution or RC [Antonio INGROIA] |
| other coalitions and parties: | Act to Stop the Decline or FiD [Oscar GIANNINO] |
| other coalitions and parties: | Five Star Movment or M5S [Beppe GRILLO] |
| Political pressure groups and leaders: | manufacturers and merchants associations - Confcommercio; Confindustria |
| Political pressure groups and leaders: | organized farm groups - Confcoltivatori; Confagricoltura; Roman Catholic Church |
| Political pressure groups and leaders: | three major trade union confederations - Confederazione Generale Italiana del Lavoro or CGIL [Susanna CAMUSSO] which is left wing; Confederazione Italiana dei Sindacati Lavoratori or CISL [Raffaele BONANNI], which is Roman Catholic centrist; Unione Italiana del Lavoro or UIL [Luigi ANGELETTI] which is lay centrist |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Australia Group, BIS, BSEC (observer), CBSS (observer), CD, CDB, CE, CEI, CERN, EAPC, EBRD, ECB, EIB, EITI (implementing country), EMU, ESA, EU, FAO, FATF, G-20, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MINURSO, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, PIF (partner), Schengen Convention, SELEC (observer), SICA (observer), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, Union Latina, UNMISS, UNMOGIP, UNRWA, UNTSO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Claudio BISOGNIERO (since 13 January 2012) |
| Diplomatic representation in the US: | chancery: 3000 Whitehaven Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 612-4400 |
| Diplomatic representation in the US: | FAX: [1] (202) 518-2154 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, Miami, New York, Los Angeles, Philadelphia, San Francisco |
| Diplomatic representation in the US: | consulate(s): Detroit, Newark (NJ), San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador John R. PHILLIPS (since 16 August 2013); note - also accredited to San Marino |
| Diplomatic representation from the US: | embassy: Via Vittorio Veneto 121, 00187-Rome |
| Diplomatic representation from the US: | mailing address: PSC 59, Box 100, APO AE 09624 |
| Diplomatic representation from the US: | telephone: [39] (06) 46741 |
| Diplomatic representation from the US: | FAX: [39] (06) 4674-2244 |
| Diplomatic representation from the US: | consulate(s) general: Florence, Milan, Naples |
| Flag description: | three equal vertical bands of green (hoist side), white, and red; design inspired by the French flag brought to Italy by Napoleon in 1797; colors are those of Milan (red and white) combined with the green uniform color of the Milanese civic guard |
| Flag description: | note: similar to the flag of Mexico, which is longer, uses darker shades of red and green, and has its coat of arms centered on the white band; Ireland, which is longer and is green (hoist side), white, and orange; also similar to the flag of the Cote d'Ivoire, which has the colors reversed - orange (hoist side), white, and green |
| National symbol(s): | white, five-pointed star (Stella d'Italia) |
| National anthem: | name: "Il Canto degli Italiani" (The Song of the Italians) |
