| Government | Italy |
| --- | --- |
| Country name: | conventional long form: Italian Republic |
| Country name: | conventional short form: Italy |
| Country name: | local long form: Repubblica Italiana |
| Country name: | local short form: Italia |
| Country name: | former: Kingdom of Italy |
| Government type: | republic |
| Capital: | Rome |
| Administrative divisions: | 16 regions (regioni, singular - regione) and 4 autonomous regions* (regioni autonome, singular - regione autonoma); Abruzzo, Basilicata, Calabria, Campania, Emilia-Romagna, Friuli-Venezia Giulia*, Lazio, Liguria, Lombardia, Marche, Molise, Piemonte, Puglia, Sardegna*, Sicilia, Toscana, Trentino-Alto Adige*, Umbria, Valle d'Aosta*, Veneto |
| Independence: | 17 March 1861 (Kingdom of Italy proclaimed; Italy was not finally unified until 1870) |
| National holiday: | Republic Day, 2 June (1946) |
| Constitution: | passed 11 December 1947, effective 1 January 1948; amended many times |
| Legal system: | based on civil law system; appeals treated as new trials; judicial review under certain conditions in Constitutional Court; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal (except in senatorial elections, where minimum age is 25) |
| Executive branch: | chief of state: President Carlo Azeglio CIAMPI (since 13 May 1999) |
| Executive branch: | head of government: Prime Minister (referred to in Italy as the president of the Council of Ministers) Silvio BERLUSCONI (since 10 June 2001) |
| Executive branch: | cabinet: Council of Ministers nominated by the prime minister and approved by the president |
| Executive branch: | elections: president elected by an electoral college consisting of both houses of parliament and 58 regional representatives for a seven-year term; election last held 13 May 1999 (next to be held May 2006); prime minister appointed by the president and confirmed by parliament |
| Executive branch: | election results: Carlo Azeglio CIAMPI elected president; percent of electoral college vote - 70% |
| Executive branch: | note: a four-party government coalition includes Forza Italia, National Alliance, Northern League, and Union of Christian Democrats and Center Democrats |
| Legislative branch: | bicameral Parliament or Parlamento consists of the Senate or Senato della Repubblica (315 seats elected by popular vote of which 232 are directly elected and 83 are elected by regional proportional representation; in addition, there are a small number of senators-for-life including former presidents of the republic; members serve five-year terms) and the Chamber of Deputies or Camera dei Deputati (630 seats; 475 are directly elected, 155 by regional proportional representation; members serve five-year terms) |
| Legislative branch: | elections: Senate - last held 13 May 2001 (next to be held 2006); Chamber of Deputies - last held 13 May 2001 (next to be held May 2006) |
| Legislative branch: | election results: Senate - percent of vote by party - NA%; seats by party - House of Liberties 172 (Forza Italia 77, National Alliance 47, UDC 31, Lega Padana 17), Olive Tree 108 (Democrats of the Left 63, Daisy Alliance 35, Greens 10), Per le Autonomie 10, other 25; Chamber of Deputies - percent of vote by party - NA%; seats by party - House of Liberties 337 (Forza Italia 176, National Alliance 97, UDC 36, Northern League 28), Olive Tree 214 (Democrats of the Left 135, Daisy Alliance 79), Rifondazione Communista (Italian Communist Party) 11, other 68 |
| Judicial branch: | Constitutional Court or Corte Costituzionale (composed of 15 judges: one-third appointed by the president, one-third elected by parliament, one-third elected by the ordinary and administrative Supreme Courts) |
| Political parties and leaders: | Center-Left Olive Tree Coalition [Francesco RUTELLI] - Democrats of the Left, Daisy Alliance (including Italian Popular Party, Italian Renewal, Union of Democrats for Europe, The Democrats), Sunflower Alliance (including Green Federation, Italian Democratic Socialists), Italian Communist Party; Center-Right Freedom House Coalition [Silvio BERLUSCONI] (formerly House of Liberties and Freedom Alliance) - Forza Italia, National Alliance, The Whiteflower Alliance (includes Christian Democratic Center, United Christian Democrats), Northern League; Democrats of the Left or DS [Piero FASSINO]; Forza Italia or FI [Silvio BERLUSCONI]; Green Federation [Alfonso Pecoraro SCANIO]; Italian Communist Party or PdCI [Armando COSSUTTA]; Italian Renewal or RI [Lamberto DINI]; merged with PPI and I Democratici to form La Margherita (or The Daisy Alliance); Italian Social Democrats or SDI [Enrico BOSELLI]; Lega Padana [Roberto BERNARDELLI]; National Alliance or AN [Gianfranco FINI]; Northern League or NL [Umberto BOSSI]; Per le Autonomie [leader NA]; Socialist Movement-Tricolor Flame or MS-Fiamma [Luca ROMAGNOLI]; South Tyrol People's Party or SVP (German speakers) [Elmar Pichler ROLLE]; Sunflower Alliance (includes Green Federation, Italian Social Democrats); The Daisy Alliance (includes Italian Popular Party, Italian Renewal, Union of Democrats for Europe, The Democrats) [Francesco RUTELLI]; The Democrats [Arturo PARISI]; The Radicals (formerly Pannella Reformers and Autonomous List) [Marco PANNELLA]; Union of Democrats for Europe or UDEUR [Clemente MASTELLA]; Union of Christian and Center Democrats or UDC [Marco FOLLINI] |
| Political pressure groups and leaders: | Italian manufacturers and merchants associations (Confindustria, Confcommercio); organized farm groups (Confcoltivatori, Confagricoltura); Roman Catholic Church; three major trade union confederations (Confederazione Generale Italiana del Lavoro or CGIL [Guglielmo EPIFANI] which is left wing, Confederazione Italiana dei Sindacati Lavoratori or CISL [Savino PEZZOTTA], which is Roman Catholic centrist, and Unione Italiana del Lavoro or UIL [Luigi ANGELETTI] which is lay centrist) |
| International organization participation: | AfDB, AsDB, Australia Group, BIS, BSEC (observer), CDB, CE, CEI, CERN, EAPC, EBRD, EIB, EMU, ESA, EU, FAO, G- 7, G- 8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAIA (observer), MIGA, MINURSO, NAM (guest), NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMEE, UNMIK, UNMOGIP, UNTSO, UPU, WCL, WCO, WEU, WHO, WIPO, WMO, WToO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Giovanni CASTELLANETA |
| Diplomatic representation in the US: | chancery: 3000 Whitehaven Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 612-4400 |
| Diplomatic representation in the US: | FAX: [1] (202) 518-2151 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, Miami, New York, Los Angeles, Philadelphia, and San Francisco |
| Diplomatic representation in the US: | consulate(s): Detroit and San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Melvin F. SEMBLER |
| Diplomatic representation from the US: | embassy: Via Vittorio Veneto 119/A, 00187-Rome |
| Diplomatic representation from the US: | mailing address: PSC 59, Box 100, APO AE 09624 |
| Diplomatic representation from the US: | telephone: [39] (06) 46741 |
| Diplomatic representation from the US: | FAX: [39] (06) 488-2672, 4674-2356 |
| Diplomatic representation from the US: | consulate(s) general: Florence, Milan, Naples |
| Flag description: | three equal vertical bands of green (hoist side), white, and red; similar to the flag of Ireland, which is longer and is green (hoist side), white, and orange; also similar to the flag of the Cote d'Ivoire, which has the colors reversed - orange (hoist side), white, and green |
| Flag description: | note: inspired by the French flag brought to Italy by Napoleon in 1797 |
