| Government | Italy |
| --- | --- |
| Country name: | conventional long form: Italian Republic |
| Country name: | conventional short form: Italy |
| Country name: | local long form: Repubblica Italiana |
| Country name: | local short form: Italia |
| Country name: | former: Kingdom of Italy |
| Government type: | republic |
| Capital: | name: Rome |
| Capital: | geographic coordinates: 41 54 N, 12 29 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 15 regions (regioni, singular - regione) and 5 autonomous regions (regioni autonome, singular - regione autonoma) |
| Administrative divisions: | regions: Abruzzo, Basilicata, Calabria, Campania, Emilia-Romagna, Lazio (Latium), Liguria, Lombardia, Marche, Molise, Piemonte (Piedmont), Puglia (Apulia), Toscana (Tuscany), Umbria, Veneto (Venetia) |
| Administrative divisions: | autonomous regions: Friuli-Venezia Giulia; Sardegna (Sardinia); Sicilia (Sicily); Trentino-Alto Adige (Trentino-South Tyrol) or Trentino-Suedtirol (German); Valle d'Aosta (Aosta Valley) or Vallee d'Aoste (French) |
| Independence: | 17 March 1861 (Kingdom of Italy proclaimed; Italy was not finally unified until 1870) |
| National holiday: | Republic Day, 2 June (1946) |
| Constitution: | passed 11 December 1947, effective 1 January 1948; amended many times |
| Legal system: | civil law system; judicial review under certain conditions in Constitutional Court |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal (except in senatorial elections, where minimum age is 25) |
| Executive branch: | chief of state: President Giorgio NAPOLITANO (since 15 May 2006) |
| Executive branch: | head of government: Prime Minister Mario MONTI (since 16 November 2011); note - in Italy the prime minister is referred to as the President of the Council of Ministers; Mario MONTI resigned on 21 December 2012 |
| Executive branch: | cabinet: Council of Ministers proposed by the Prime Minister and nominated by the President of the Republic |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by an electoral college consisting of both houses of parliament and 58 regional representatives for a seven-year term (no term limits); election last held on 10 May 2006 (next to be held in May 2013); prime minister appointed by the president and confirmed by parliament |
| Executive branch: | election results: Giorgio NAPOLITANO elected president on the fourth round of voting; electoral college vote - 543 |
| Legislative branch: | bicameral Parliament or Parlamento consists of the Senate or Senato della Repubblica (315 seats; members elected by proportional vote with the winning coalition in each region receiving 55% of seats from that region; members to serve five-year terms; and up to 5 senators for life appointed by the president of the Republic) and the Chamber of Deputies or Camera dei Deputati (630 seats; members elected by popular vote with the winning national coalition receiving 54% of chamber seats; members to serve five-year terms); note - it has not been clarified if each president has the power to designate up to five senators or if five is the number of senators for life who might sit in the Senate |
| Legislative branch: | elections: Senate - last held on 13-14 April 2008 (next to be held 24-25 February 2013); Chamber of Deputies - last held on 13-14 April 2008 (next to be held 24-25 February 2013) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - S. BERLUSCONI coalition 174 (PdL 147, LN 25, MpA 2), W. VELTRONI coalition 132 (PD 118, IdV 3), UdC 3, other 6; Chamber of Deputies - percent of vote by party - NA; seats by party - S. BERLUSCONI coalition 344 (PdL 276, LN 60, MpA 8), W. VELTRONI coalition 246 (PD 217, IdV 29), UdC 36, other 4; note - President NAPOLITANO dissolved Parliament on 22 December 2012 |
| Judicial branch: | Constitutional Court or Corte Costituzionale (composed of 15 judges: one-third appointed by the president, one-third elected by parliament, one-third elected by the ordinary and administrative Supreme Courts); Supreme Court of Cassation or Corte Suprema di Cassazione |
| Political parties and leaders: | Center-Right: People of Freedom or PdL [Anelino ALFANO] |
| Political parties and leaders: | Center-Left: Democratic Party or PD [Pier Luigi BERSAN] |
| Political parties and leaders: | Centrist Third Pole: Future and Freedom for Italy or FLI [Gianfranco FINI]; Movement for Autonomy or MpA [Raffaele LOMBARDO]; Union of the Center or UdC [Pier Ferdinando CASINI] |
| Political parties and leaders: | no affiliation: Italy of Values or IdV [Antonio DI PIETRO]; Lega Nord or LN [Roberto MARONI]; Five Star Movment or M5S [Beppe GRILLO] |
| Political pressure groups and leaders: | manufacturers and merchants associations - Confcommercio; Confindustria; organized farm groups - Confcoltivatori; Confagricoltura; Roman Catholic Church; three major trade union confederations - Confederazione Generale Italiana del Lavoro or CGIL [Susanna CAMUSSO] which is left wing; Confederazione Italiana dei Sindacati Lavoratori or CISL [Raffaele BONANNI], which is Roman Catholic centrist; Unione Italiana del Lavoro or UIL [Luigi ANGELETTI] which is lay centrist |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), Australia Group, BIS, BSEC (observer), CBSS (observer), CD, CDB, CE, CEI, CERN, EAPC, EBRD, ECB, EIB, EITI (implementing country), EMU, ESA, EU, FAO, FATF, G-20, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAIA (observer), MIGA, MINURSO, NATO, NEA, NSG, OAS (observer), OECD, OPCW, OSCE, Paris Club, PCA, PIF (partner), Schengen Convention, SELEC (observer), SICA (observer), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, Union Latina, UNMISS, UNMOGIP, UNRWA, UNTSO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Claudio BISOGNIERO |
| Diplomatic representation in the US: | chancery: 3000 Whitehaven Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 612-4400 |
| Diplomatic representation in the US: | FAX: [1] (202) 518-2151 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, Miami, New York, Los Angeles, Philadelphia, San Francisco |
| Diplomatic representation in the US: | consulate(s): Detroit |
| Diplomatic representation from the US: | chief of mission: Ambassador David THORNE |
| Diplomatic representation from the US: | embassy: Via Vittorio Veneto 121, 00187-Rome |
| Diplomatic representation from the US: | mailing address: PSC 59, Box 100, APO AE 09624 |
| Diplomatic representation from the US: | telephone: [39] (06) 46741 |
| Diplomatic representation from the US: | FAX: [39] (06) 488-2672, 4674-2356 |
| Diplomatic representation from the US: | consulate(s) general: Florence, Milan, Naples |
| Flag description: | three equal vertical bands of green (hoist side), white, and red; design inspired by the French flag brought to Italy by Napoleon in 1797; colors are those of Milan (red and white) combined with the green uniform color of the Milanese civic guard |
| Flag description: | note: similar to the flag of Mexico, which is longer, uses darker shades of red and green, and has its coat of arms centered on the white band; Ireland, which is longer and is green (hoist side), white, and orange; also similar to the flag of the Cote d'Ivoire, which has the colors reversed - orange (hoist side), white, and green |
| National symbol(s): | white, five-pointed star (Stella d'Italia) |
| National anthem: | name: "Il Canto degli Italiani" (The Song of the Italians) |
| National anthem: | lyrics/music: Goffredo MAMELI/Michele NOVARO |
| National anthem: | note: adopted 1946; the anthem, originally written in 1847, is also known as "L'Inno di Mameli" (Mameli's Hymn), and "Fratelli D'Italia" (Brothers of Italy) |
