| Government | Syria |
| --- | --- |
| Country name: | conventional long form: Syrian Arab Republic |
| Country name: | conventional short form: Syria |
| Country name: | local long form: Al Jumhuriyah al Arabiyah as Suriyah |
| Country name: | local short form: Suriyah |
| Country name: | former: United Arab Republic (with Egypt) |
| Government type: | republic under an authoritarian regime |
| Capital: | name: Damascus |
| Capital: | geographic coordinates: 33 30 N, 36 18 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Friday in April; ends last Friday in October |
| Administrative divisions: | 14 provinces (muhafazat, singular - muhafazah); Al Hasakah, Al Ladhiqiyah (Latakia), Al Qunaytirah, Ar Raqqah, As Suwayda', Dar'a, Dayr az Zawr, Dimashq (Damascus), Halab, Hamah, Hims (Homs), Idlib, Rif Dimashq (Damascus Countryside), Tartus |
| Independence: | 17 April 1946 (from League of Nations mandate under French administration) |
| National holiday: | Independence Day, 17 April (1946) |
| Constitution: | 13 March 1973; amended February 2012 |
| Legal system: | mixed legal system of civil and Islamic law (for family courts) |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Bashar al-ASAD (since 17 July 2000); Vice President Farouk al-SHARA (since 21 February 2006) oversees foreign policy; Vice President Najah al-ATTAR (since 23 March 2006) oversees cultural policy |
| Executive branch: | head of government: Prime Minister Wael al-HALQI (since 9 August 2012) |
| Executive branch: | cabinet: Council of Ministers appointed by the president; note - new Council appointed on 14 April 2011 |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president approved by popular referendum for a second seven-year term (no term limits); referendum last held on 27 May 2007 (next to be held in May 2014); the president appoints the vice presidents, prime minister, and deputy prime ministers |
| Executive branch: | election results: Bashar al-ASAD approved as president; percent of vote - Bashar al-ASAD 97.6%, other 2.4% |
| Legislative branch: | unicameral People's Assembly or Majlis al-Shaab (250 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 7 May 2012 (next to be held in 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NA |
| Judicial branch: | Supreme Judicial Council (appoints and dismisses judges; headed by the president); national level - Supreme Constitutional Court (adjudicates electoral disputes and rules on constitutionality of laws and decrees; justices appointed for four-year terms by the president); Court of Cassation; Appeals Courts (Appeals Courts represent an intermediate level between the Court of Cassation and local level courts); local level - Magistrate Courts; Courts of First Instance; Juvenile Courts; Customs Courts; specialized courts - Economic Security Courts (hear cases related to economic crimes); Supreme State Security Court (hear cases related to national security); Personal Status Courts (religious; hear cases related to marriage and divorce) |
| Political parties and leaders: | legal parties: National Progressive Front or NPF [President Bashar al-ASAD, Dr. Suleiman QADDAH] (includes Arab Socialist Renaissance (Ba'th) Party [President Bashar al-ASAD]; Socialist Unionist Democratic Party [Fadlallah Nasr Al-DIN]; Syrian Arab Socialist Union or ASU [Safwan al-QUDSI]; Syrian Communist Party (two branches) [Wissal Farha BAKDASH, Yusuf Rashid FAYSAL]; Syrian Social Nationalist Party [As'ad HARDAN]; Unionist Socialist Party [Fayez ISMAIL]) |
| Political parties and leaders: | Kurdish parties (considered illegal): Kurdish Azadi Party; Kurdish Democratic Accord Party (al Wifaq); Kurdish Democratic Party (al Parti-Ibrahim wing); Kurdish Democratic Party (al Parti-Mustafa wing); Kurdish Democratic Party in Syria or KDP-S; Kurdish Democratic Patriotic/National Party; Kurdish Democratic Progressive Party or KDPP-Darwish; Kurdish Democratic Progressive Party or KDPP-Muhammad; Kurdish Democratic Union Party or PYD [Salih Muslim MOHAMMAD]; Kurdish Democratic Unity Party; Kurdish Democratic Yekiti Party; Kurdish Future Party or KFP; Kurdish Future Party [Rezan HASSAN]; Kurdish Left Party; Kurdish Yekiti (Union) Party; Syrian Kurdish Democratic Party |
| Political parties and leaders: | other parties: Syrian Democratic Party [Mustafa QALAAJI] |
| Political pressure groups and leaders: | Free Syrian Army; National Coalition of Syrian Revolution and Oppositon Forces or Syrian Oppositon Coalition [Mu'aaz al-KHATIB] (operates in exile in Cairo); Syrian Muslim Brotherhood or SMB [Muhammad Riyad al-SHAQFAH] (operates in exile in London) |
| Political pressure groups and leaders: | note - there are also hundreds of local groups that organize protests and stage armed attacks |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IPU, ISO, ITSO, ITU, MIGA, NAM, OAPEC, OIC, UN, UNCTAD, UNESCO, UNIDO, UNRWA, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant) |
| Diplomatic representation in the US: | chancery: 2215 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-6313 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-4585 |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert S. FORD; note - on 6 February 2012, the US closed its embassy in Damascus |
| Diplomatic representation from the US: | embassy: Abou Roumaneh, Al-Mansour Street, No. 2, Damascus |
| Diplomatic representation from the US: | mailing address: P. O. Box 29, Damascus |
| Diplomatic representation from the US: | telephone: [963] (11) 3391-4444 |
| Diplomatic representation from the US: | FAX: [963] (11) 3391-3999 |
| Flag description: | three equal horizontal bands of red (top), white, and black; two small, green, five-pointed stars in a horizontal line centered in the white band; the band colors derive from the Arab Liberation flag and represent oppression (black), overcome through bloody struggle (red), to be replaced by a bright future (white); identical to the former flag of the United Arab Republic (1958-1961) where the two stars represented the constituent states of Syria and Egypt; the current design dates to 1980 |
| Flag description: | note: similar to the flag of Yemen, which has a plain white band, Iraq, which has an Arabic inscription centered in the white band, and that of Egypt, which has a gold Eagle of Saladin centered in the white band |
| National symbol(s): | hawk |
| National anthem: | name: "Humat ad-Diyar" (Guardians of the Homeland) |
