| Government | Syria |
| --- | --- |
| Country name: | conventional long form: Syrian Arab Republic |
| Country name: | conventional short form: Syria |
| Country name: | local long form: Al Jumhuriyah al Arabiyah as Suriyah |
| Country name: | local short form: Suriyah |
| Country name: | former: United Arab Republic (with Egypt) |
| Government type: | republic under military regime since March 1963 |
| Capital: | Damascus |
| Administrative divisions: | 14 provinces (muhafazat, singular - muhafazah); Al Hasakah, Al Ladhiqiyah, Al Qunaytirah, Ar Raqqah, As Suwayda', Dar'a, Dayr az Zawr, Dimashq, Halab, Hamah, Hims, Idlib, Rif Dimashq, Tartus |
| Independence: | 17 April 1946 (from League of Nations mandate under French administration) |
| National holiday: | Independence Day, 17 April (1946) |
| Constitution: | 13 March 1973 |
| Legal system: | based on Islamic law and civil law system; special religious courts; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Bashar al-ASAD (since 17 July 2000); Vice Presidents Abd al-Halim ibn Said KHADDAM (since 11 March 1984) and Muhammad Zuhayr MASHARIQA (since 11 March 1984) |
| Executive branch: | head of government: Prime Minister Muhammad Naji al-UTRI (since 10 September 2003) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president elected by popular vote for a seven-year term; referendum/election last held 10 July 2000 - after the death of President Hafiz al-ASAD, father of Bashar al-ASAD - (next to be held 2007); vice presidents appointed by the president; prime minister and deputy prime ministers appointed by the president |
| Executive branch: | election results: Bashar al-ASAD elected president; percent of vote - Bashar al-ASAD 97.29% |
| Executive branch: | note: Hafiz al-ASAD died on 10 June 2000; on 20 June 2000, the Ba'th Party nominated Bashar al-ASAD for president and presented his name to the People's Council on 25 June 2000 |
| Legislative branch: | unicameral People's Council or Majlis al-Shaab (250 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 2-3 March 2003 (next to be held NA 2007) |
| Legislative branch: | election results: percent of vote by party - NPF 67%, independents 33%; seats by party - NPF 167, independents 83; note - the constitution guarantees that the Ba'th Party (part of the NPF alliance) receives one-half of the seats |
| Judicial branch: | Supreme Constitutional Court (justices are appointed for four-year terms by the president); High Judicial Council; Court of Cassation; State Security Courts |
| Political parties and leaders: | Arab Socialist Unionist Movement [Ahmed al-AHMED]; National Progressive Front or NPF (includes Arab Socialist Renaissance (Ba'th) Party; the governing party) [President Bashar al-ASAD, secretary general]; Socialist Unionist Democratic Party [Fadlallal Nasr Al-DIN]; Syrian Arab Socialist Party or ASP [Safwan QUDSI]; Syrian Communist Party (two branches) [Wissal Farha BAKDASH, Yuusuf Rashid FAYSAL]; Syrian Social National Party [Jubran URAYJI]; Unionist Socialist Party [Fayez ISMAIL] |
| Political pressure groups and leaders: | conservative religious leaders; Kurdish Democratic Alliance [leader NA]; Kurdish Democratic Front [leader NA]; Muslim Brotherhood (operates in exile in London) [Ali Badr Eddine al-BAYANOUNI]; National Democratic Front [Hassan Abd al-AZIM] |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, ISO, ITU, LAS, MIGA, NAM, OAPEC, OIC, UN, UNCTAD, UNESCO, UNIDO, UNRWA, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO |
| Diplomatic representation in the US: | chief of mission: Ambassador Imad MUSTAFA |
| Diplomatic representation in the US: | chancery: 2215 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-6313 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-9548 |
| Diplomatic representation from the US: | chief of mission: Ambassador Margaret SCOBEY |
| Diplomatic representation from the US: | embassy: Abou Roumaneh, Al-Mansur Street, No. 2, Damascus |
| Diplomatic representation from the US: | mailing address: P. O. Box 29, Damascus |
| Diplomatic representation from the US: | telephone: [963] (11) 333-1342 |
| Diplomatic representation from the US: | FAX: [963] (11) 331-9678 |
| Flag description: | three equal horizontal bands of red (top), white, and black, colors associated with the Arab Liberation flag; two small green five-pointed stars in a horizontal line centered in the white band; former flag of the United Arab Republic where the two stars represented the constituent states of Syria and Egypt; similar to the flag of Yemen, which has a plain white band, Iraq, which has three green stars (plus an Arabic inscription) in a horizontal line centered in the white band, and that of Egypt, which has a gold Eagle of Saladin centered in the white band; the current design dates to 1980 |
