| Government | Syria |
| --- | --- |
| Country name: | conventional long form: Syrian Arab Republic |
| Country name: | conventional short form: Syria |
| Country name: | local long form: Al Jumhuriyah al Arabiyah as Suriyah |
| Country name: | local short form: Suriyah |
| Country name: | former: United Arab Republic (with Egypt) |
| Government type: | republic under an authoritarian military-dominated regime |
| Capital: | name: Damascus |
| Capital: | geographic coordinates: 33 30 N, 36 18 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins 1 April; ends 30 September |
| Administrative divisions: | 14 provinces (muhafazat, singular - muhafazah); Al Hasakah, Al Ladhiqiyah, Al Qunaytirah, Ar Raqqah, As Suwayda', Dar'a, Dayr az Zawr, Dimashq, Halab, Hamah, Hims, Idlib, Rif Dimashq, Tartus |
| Independence: | 17 April 1946 (from League of Nations mandate under French administration) |
| National holiday: | Independence Day, 17 April (1946) |
| Constitution: | 13 March 1973 |
| Legal system: | based on a combination of French and Ottoman civil law; Islamic law is used in the family court system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Bashar al-ASAD (since 17 July 2000); Vice President Farouk al-SHARA (since 11 February 2006) oversees foreign policy; Vice President Najah al-ATTAR (since 23 March 2006) oversees cultural policy |
| Executive branch: | head of government: Prime Minister Muhammad Naji al-UTRI (since 10 September 2003); Deputy Prime Minister for Economic Affairs Abdallah al-DARDARI (since 14 June 2005) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president approved by popular referendum for a second seven-year term (no term limits); referendum last held on 27 May 2007 (next to be held in May 2014); the president appoints the vice presidents, prime minister, and deputy prime ministers |
| Executive branch: | election results: Bashar al-ASAD approved as president; percent of vote - Bashar al-ASAD 97.6% |
| Legislative branch: | unicameral People's Council or Majlis al-Shaab (250 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 22-23 April 2007 (next to be held in 2011) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NPF 172, independents 78 |
| Judicial branch: | Supreme Judicial Council (appoints and dismisses judges; headed by the president); national level - Supreme Constitutional Court (adjudicates electoral disputes and rules on constitutionality of laws and decrees; justices appointed for four-year terms by the President); Court of Cassation; Appeals Courts (Appeals Courts represent an intermediate level between the Court of Cassation and local level courts); local level - Magistrate Courts; Courts of First Instance; Juvenile Courts; Customs Courts; specialized courts - Economic Security Courts (hear cases related to economic crimes); Supreme State Security Court (hear cases related to national security); Personal Status Courts (religious; hear cases related to marriage and divorce) |
| Political parties and leaders: | legal parties: National Progressive Front or NPF [President Bashar al-ASAD, Dr. Suleiman QADDAH] (includes Arab Socialist Renaissance (Ba'th) Party [President Bashar al-ASAD]; Socialist Unionist Democratic Party [Fadlallah Nasr Al-DIN]; Syrian Arab Socialist Union or ASU [Safwan QUDSI]; Syrian Communist Party (two branches) [Wissal Farha BAKDASH, Yusuf Rashid FAYSAL]; Syrian Social Nationalist Party [Ali QANSU]; Unionist Socialist Party [Fayez ISMAIL]) |
| Political parties and leaders: | opposition parties not legally recognized:: Arab Democratic Socialist Union Party [Hasan Abdul AZIM]; Arab Socialist Movement; Democratic Ba'th Party [Ibrahim MAHKOS]; People's Democratic Party [Riad al TURK]; Revolutionary Workers' Party [Abdul Hafeez al HAFEZ] |
| Political parties and leaders: | Kurdish parties (considered illegal): Kurdish Democratic Front [Abdul Hamid DARWISH] (includes four parties); Kurdish Coordination [Abdul Hakim BASHAR] (includes Azadi Party [Kheirudin MURAD], Future Party [Masha'l TAMMO], Yekity Party [Hasam SALE]) |
| Political parties and leaders: | other parties: Nahda Party [Abdul Aziz al MISLET]; Syrian Democratic Party [Mustafa QALAAJI] |
| Political pressure groups and leaders: | Damascus Declaration National Council [Riyad SEIF, secretary general] (a broad alliance of opposition groups and individuals including: Committee for Revival of Civil Society [Michel KILO, Riyad SEIF], Communist Action Party [Fateh JAMOUS], Kurdish Democratic Alliance, Kurdish Democratic Front, Liberal Nationalists' Movement, National Democratic Front, National Democratic Rally, and Syrian Human Rights Society or HRAS [Fawed FAWUZ]); National Salvation Front (alliance between former Vice President Abd al-Halim KHADDAM, the SMB, and other small opposition groups); Syrian Muslim Brotherhood or SMB [Sadr al-Din al-BAYANUNI] (operates in exile in London; endorsed the Damascus Declaration, but is not an official member) |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OIC, UN, UNCTAD, UNESCO, UNIDO, UNRWA, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO |
| Diplomatic representation in the US: | chief of mission: Ambassador Imad MUSTAFA |
| Diplomatic representation in the US: | chancery: 2215 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-6313 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-9548 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Maura CONNELLY |
| Diplomatic representation from the US: | embassy: Abou Roumaneh, Al-Mansour Street, No. 2, Damascus |
| Diplomatic representation from the US: | mailing address: P. O. Box 29, Damascus |
| Diplomatic representation from the US: | telephone: [963] (11) 3391-4444 |
| Diplomatic representation from the US: | FAX: [963] (11) 3391-3999 |
| Flag description: | three equal horizontal bands of red (top), white, and black, colors associated with the Arab Liberation flag; two small, green, five-pointed stars in a horizontal line centered in the white band; former flag of the United Arab Republic where the two stars represented the constituent states of Syria and Egypt; similar to the flag of Yemen, which has a plain white band, Iraq, which has an Arabic inscription centered in the white band, and that of Egypt, which has a gold Eagle of Saladin centered in the white band; the current design dates to 1980 |
