| Government | Papua New Guinea |
| --- | --- |
| Country name: | conventional long form: Independent State of Papua New Guinea |
| Country name: | conventional short form: Papua New Guinea |
| Country name: | local short form: Papuaniugini |
| Country name: | former: Territory of Papua and New Guinea |
| Country name: | abbreviation: PNG |
| Country name: | etymology: the word "papua" derives from the Malay "papuah" describing the frizzy hair of the Melanesians; Spanish explorer Ynigo ORTIZ de RETEZ applied the term "Nueva Guinea" to the island of New Guinea in 1545 after noting the resemblance of the locals to the peoples of the Guinea coast of Africa |
| Government type: | parliamentary democracy under a constitutional monarchy; a Commonwealth realm |
| Capital: | name: Port Moresby |
| Capital: | geographic coordinates: 9 27 S, 147 11 E |
| Capital: | time difference: UTC+10 (15 hours ahead of Washington, DC, during Standard Time) |
| Capital: | note: Papua New Guinea has two time zones, including Bougainville (UTC+11) |
| Capital: | etymology: named in 1873 by Captain John Moresby (1830-1922) in honor of his father, British Admiral Sir Fairfax Moresby (1786-1877) |
| Administrative divisions: | 20 provinces, 1 autonomous region*, and 1 district**; Bougainville*, Central, Chimbu, Eastern Highlands, East New Britain, East Sepik, Enga, Gulf, Hela, Jiwaka, Madang, Manus, Milne Bay, Morobe, National Capital**, New Ireland, Northern, Southern Highlands, Western, Western Highlands, West New Britain, West Sepik |
| Independence: | 16 September 1975 (from the Australia-administered UN trusteeship) |
| National holiday: | Independence Day, 16 September (1975) |
| Constitution: | history: adopted 15 August 1975, effective at independence 16 September 1975 |
| Constitution: | amendments: proposed by the National Parliament; passage has prescribed majority vote requirements depending on the constitutional sections being amended â€“ absolute majority, two-thirds majority, or three-fourths majority; amended many times, last in 2014 (2018) |
| Legal system: | mixed legal system of English common law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Papua New Guinea |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 8 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Grand Chief Sir Bob DADAE (since 28 February 2017) |
| Executive branch: | head of government: Prime Minister James MARAPEÂ (since 30 May 2019); Deputy Prime Minister Charles ABEL (since 4 August 2017) |
| Executive branch: | cabinet: National Executive Council appointed by the governor general on the recommendation of the prime minister |
| Executive branch: | elections/appointments: the monarchy is hereditary; governor general nominated by the National Parliament and appointed by the chief of state; following legislative elections, the leader of the majority party or majority coalition usually appointed prime minister by the governor general pending the outcome of a National Parliament vote |
| Executive branch: | election results: Peter Paire O'NEILL (PNC) reelected prime minister; National Parliament vote - 60 to 46 |
| Legislative branch: | description: unicameral National Parliament (111 seats; members directly elected in single-seat constituencies - 89 local, 20 provinicial, the autonomous province of Bouganville, and the National Capital District - by majority preferential vote; members serve 5-year terms); note - the constitution allows up to 126 seats |
| Legislative branch: | elections: last held from 24 June 2017 to 8 July 2017 (next to be held in June 2022) |
| Legislative branch: | election results: percent of vote by party - PNC 37%; NA 13%; Pangu 14%; URP 11%; PPP 4%; SDP 4%; Independents 3%; and smaller parties 14%; seats by party - NA; composition - men 108, women 3, percent of women 3% |
| Judicial branch: | highest courts: Supreme Court (consists of the chief justice, deputy chief justice, 35 justices, and 5 acting justices); National Courts (consists of 13 courts located in the provincial capitals, with a total of 19 resident judges) |
| Judicial branch: | judge selection and term of office: Supreme Court chief justice appointed by the governor general upon advice of the National Executive Council (cabinet) after consultation with the National Justice Administration minister; deputy chief justice and other justices appointed by the Judicial and Legal Services Commission, a 5-member body that includes the Supreme Court chief and deputy chief justices, the chief ombudsman, and a member of the National Parliament; full-time citizen judges appointed for 10-year renewable terms; non-citizen judges initially appointed for 3-year renewable terms and after first renewal can serve until age 70; appointment and tenure of National Court resident judges NA |
| Judicial branch: | subordinate courts: district, village, and juvenile courts, military courts, taxation courts, coronial courts, mining warden courts, land courts, traffic courts, committal courts, grade five courts |
| Political parties and leaders: | National Alliance Party or NAP [Patrick PRUAITCH] |
| Political parties and leaders: | Papua and Niugini Union Party or PANGU [Sam BASIL] |
| Political parties and leaders: | Papua New Guinea Party or PNGP [Belden NAMAH] |
| Political parties and leaders: | People's National Congress Party or PNC [Peter Paire O'NEILL] |
| Political parties and leaders: | People's Party or PP [Peter IPATAS] |
| Political parties and leaders: | People's Progress Party or PPP [Sir Julius CHAN] |
| Political parties and leaders: | Social Democratic Party or SDP [Powes PARKOP] |
| Political parties and leaders: | Triumph Heritage Empowerment Party or THE [Don POLYE] |
| Political parties and leaders: | United Resources Party or URP [William DUMA] |
| Political parties and leaders: | note: as of 8 July 2017, 45 political parties were registered |
| International organization participation: | ACP, ADB, AOSIS, APEC, ARF, ASEAN (observer), C, CD, CP, EITI (candidate country), FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, MIGA, NAM, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UNIDO, UNMISS, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador (vacant); Charge Dâ€™Affaires Elias Rahuromo WOHENGU (since 30 September 2017) |
| Diplomatic representation in the US: | chancery: 1779 Massachusetts Avenue NW, Suite 805, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 745-3680 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-3679 |
| Diplomatic representation from the US: | chief of mission: Ambassador Erin Elizabeth MCKEE (since 27Â November 2019); note - also accredited to the Solomon Islands and Vanuatu |
