| Government | Papua New Guinea |
| --- | --- |
| Country name: | conventional long form: Independent State of Papua New Guinea |
| Country name: | conventional short form: Papua New Guinea |
| Country name: | local short form: Papuaniugini |
| Country name: | former: Territory of Papua and New Guinea |
| Country name: | abbreviation: PNG |
| Government type: | constitutional parliamentary democracy and a Commonwealth realm |
| Capital: | name: Port Moresby |
| Capital: | geographic coordinates: 9 30 S, 147 10 E |
| Capital: | time difference: UTC+10 (15 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 18 provinces, 1 autonomous region*, and 1 district**; Bougainville*, Central, Chimbu, Eastern Highlands, East New Britain, East Sepik, Enga, Gulf, Madang, Manus, Milne Bay, Morobe, National Capital**, New Ireland, Northern, Sandaun, Southern Highlands, Western, Western Highlands, West New Britain |
| Independence: | 16 September 1975 (from the Australian-administered UN trusteeship) |
| National holiday: | Independence Day, 16 September (1975) |
| Constitution: | 16 September 1975 |
| Legal system: | mixed legal system of English common law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor Michael OGIO (since 25 February 2011) |
| Executive branch: | head of government: Prime Minister Peter Paire O'NEILL (since 2 August 2011); Deputy Prime Minister Belden NAMAH (since 9 August 2011) |
| Executive branch: | cabinet: National Executive Council appointed by the governor general on the recommendation of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; the governor general nominated by parliament and appointed by the chief of state; following legislative elections, the leader of the majority party or leader of the majority coalition usually appointed prime minister by the governor general acting in accordance with a decision of the parliament |
| Legislative branch: | unicameral National Parliament (109 seats, 89 filled from open electorates and 20 from provinces and national capital district; members elected by popular vote to serve five-year terms); constitution allows up to 126 seats |
| Legislative branch: | elections: last held from 30 June to 10 July 2007; next to be held in June 2012 |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NA 27, PNGP 8, PAP 6, URP 6, PANGU PATI 5, PDM 5, independents 19, others 33; note - election to 1 seat was nullified |
| Legislative branch: | note: 15 other parties won 4 or fewer seats; association with political parties is fluid |
| Judicial branch: | Supreme Court (the chief justice is appointed by the governor general on the proposal of the National Executive Council after consultation with the minister responsible for justice; other judges are appointed by the Judicial and Legal Services Commission) |
| Political parties and leaders: | National Alliance Party or NA [Don POLYE]; Papua and Niugini Union Party or PANGU PATI [Andrew KUMBAKOR]; Papua New Guinea Party or PNGP [Beldan NEMAH]; People's Action Party or PAP [Gabriel KAPRIS]; People's Democratic Movement or PDM; United Resources Party or URP [William DUMA] |
| Political parties and leaders: | note: as of December 2011, 33 political parties are registered |
| Political pressure groups and leaders: | Ahora [Andrew MAMOKO] (represents local tribes); Centre for Environment Law and Community Rights or Celcor [Damien ASE]; Community Coalition Against Corruption |
| International organization participation: | ACP, ADB, AOSIS, APEC, ARF, ASEAN (observer), C, CP, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM (observer), IPU, ISO (correspondent), ITSO, ITU, MIGA, NAM, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Evan Jeremy PAKI |
| Diplomatic representation in the US: | chancery: 1779 Massachusetts Avenue NW, Suite 805, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 745-3680 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-3679 |
| Diplomatic representation from the US: | chief of mission: Ambassador Teddy B. TAYLOR |
| Diplomatic representation from the US: | embassy: Douglas Street, Port Moresby, N.C.D. |
| Diplomatic representation from the US: | mailing address: 4240 Port Moresby PI, US Department of State, Washington DC 20521-4240 |
| Diplomatic representation from the US: | telephone: [675] 321-1455 |
| Diplomatic representation from the US: | FAX: [675] 321-3423 |
| Flag description: | divided diagonally from upper hoist-side corner; the upper triangle is red with a soaring yellow bird of paradise centered; the lower triangle is black with five, white, five-pointed stars of the Southern Cross constellation centered; red, black, and yellow are traditional colors of Papua New Guinea; the bird of paradise - endemic to the island of New Guinea - is an emblem of regional tribal culture and represents the emergence of Papua New Guinea as a nation; the Southern Cross, visible in the night sky, symbolizes Papua New Guinea's connection with Australia and several other countries in the South Pacific |
| National symbol(s): | bird of paradise |
| National anthem: | name: "O Arise All You Sons" |
| National anthem: | lyrics/music: Thomas SHACKLADY |
| National anthem: | note: adopted 1975 |
