| Government | Papua New Guinea |
| --- | --- |
| Country name: | conventional long form: Independent State of Papua New Guinea |
| Country name: | conventional short form: Papua New Guinea |
| Country name: | abbreviation: PNG |
| Country name: | former: Territory of Papua and New Guinea |
| Government type: | constitutional monarchy with parliamentary democracy |
| Capital: | Port Moresby |
| Administrative divisions: | 20 provinces; Bougainville, Central, Chimbu, Eastern Highlands, East New Britain, East Sepik, Enga, Gulf, Madang, Manus, Milne Bay, Morobe, National Capital, New Ireland, Northern, Sandaun, Southern Highlands, Western, Western Highlands, West New Britain |
| Independence: | 16 September 1975 (from the Australian-administered UN trusteeship) |
| National holiday: | Independence Day, 16 September (1975) |
| Constitution: | 16 September 1975 |
| Legal system: | based on English common law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952), represented by Governor General Sir Albert KIPALAN (since 13 November 2003) |
| Executive branch: | head of government: Prime Minister Sir Michael SOMARE (since 2 August 2002); Deputy Prime Minister Andrew BAING (since 15 November 2003) |
| Executive branch: | cabinet: National Executive Council appointed by the governor general on the recommendation of the prime minister |
| Executive branch: | elections: none; the monarch is hereditary; governor general appointed by the National Executive Council; following legislative elections, the leader of the majority party or the leader of the majority coalition usually is appointed prime minister by the governor general |
| Legislative branch: | unicameral National Parliament - sometimes referred to as the House of Assembly (109 seats, 89 elected from open electorates and 20 from provincial electorates; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 15-29 June 2002 and April and May 2003; completed in May 2003 (voting in the Southern Highlands was not completed during the June 2002 election period); next to be held not later than June 2007 |
| Legislative branch: | election results: percent of vote by party - PPP 15%, Pangu Pati 14%, NA 14%, PDM 8%, PNC 6%, PAP 5%, UP 3%, NP 1%, PUP 1%, independents 33%; seats by party - PPP 16, Pangu Pati 15, NA 15, PDM 9, PNC 7, PAP 5, UP 3, NP 1, PUP 1, independents 37; note - association with political parties is very fluid (2002) |
| Judicial branch: | Supreme Court (the chief justice is appointed by the governor general on the proposal of the National Executive Council after consultation with the minister responsible for justice; other judges are appointed by the Judicial and Legal Services Commission) |
| Political parties and leaders: | Melanesian Alliance Party or MAP [Bernard NAROKOBI]; National Alliance or NA [Michael SOMARE, party leader; George MANOA, party president]; National Front Party [leader NA]; National Party or NP [leader NA]; Papua New Guinea Revival Party [John PUNDARI]; Papua New Guinea United Party or Pangu Pati [Pate WAMP, party leader; Chris HAIVETA, parliamentary leader]; People's Action Party or PAP [Ted DIRO]; People's Democratic Movement or PDM [Sir Mekere MORAUTA]; People's Labor Party or PLP [Peter YAMA]; People's National Congress or PNC [Bill SKATE]; People's Progress Party or PPP [Michael NALI]; People's Unity Party or PUP [leader NA]; United Party or UP [Rimbiuk PATO] |
| Political parties and leaders: | note: 43 political parties registered to participate in the June 2002 elections |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, APEC, ARF (dialogue partner), AsDB, ASEAN (associate member), C, CP, ESCAP, FAO, G-77, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO (correspondent), ITU, NAM, OPCW, Sparteca, SPC, SPF, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Evan Jeremy PAKI |
| Diplomatic representation in the US: | chancery: 1779 Massachusetts Avenue NW, Suite 805, Washington, DC 20036 |
| Diplomatic representation in the US: | FAX: [1] (202) 745-3679 |
| Diplomatic representation in the US: | telephone: [1] (202) 745-3680 |
| Diplomatic representation from the US: | chief of mission: Ambassador Robert W. Fitts |
| Diplomatic representation from the US: | embassy: Douglas Street, Port Moresby |
| Diplomatic representation from the US: | mailing address: 4240 Port Moresby PI, US Department of State, Washington DC 20521-4240 |
| Diplomatic representation from the US: | telephone: [675] 321-1455 |
| Diplomatic representation from the US: | FAX: [675] 321-3423 |
| Flag description: | divided diagonally from upper hoist-side corner; the upper triangle is red with a soaring yellow bird of paradise centered; the lower triangle is black with five, white, five-pointed stars of the Southern Cross constellation centered |
