| Government | Senegal |
| --- | --- |
| Country name: | conventional long form: Republic of Senegal |
| Country name: | conventional short form: Senegal |
| Country name: | local long form: Republique du Senegal |
| Country name: | local short form: Senegal |
| Country name: | former: Senegambia (along with The Gambia), Mali Federation |
| Government type: | republic |
| Capital: | name: Dakar |
| Capital: | geographic coordinates: 14 44 N, 17 38 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 14 regions (regions, singular - region); Dakar, Diourbel, Fatick, Kaffrine, Kaolack, Kedougou, Kolda, Louga, Matam, Saint-Louis, Sedhiou, Tambacounda, Thies, Ziguinchor |
| Independence: | 4 April 1960 (from France); note - complete independence achieved upon dissolution of federation with Mali on 20 August 1960 |
| National holiday: | Independence Day, 4 April (1960) |
| Constitution: | previous 1959 (preindependence), 1963; latest adopted by referendum 7 January 2001, promulgated 22 January 2001; amended many times, last in 2008 (2011) |
| Legal system: | civil law system based on French law; judicial review of legislative acts in Constitutional Court |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Macky SALL (since 2 April 2012) |
| Executive branch: | head of government: Prime Minister Aminata TOURE (since 3 September 2013) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister in consultation with the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a seven-year term (eligible for a second term); election last held on 26 February 2012 with a second round runoff on 25 March 2012 (next to be held 2019); prime minister appointed by the president |
| Executive branch: | election results: Macky SALL elected president; percent of votes in a runoff - Macky SALL 65.8%, Abdoulaye WADE 34.2% |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (150 seats; 90 members elected by direct popular vote and 60 elected by proportional representation from party lists to serve five-year terms) |
| Legislative branch: | elections: National Assembly - last held on 1 July 2012 (next to be held in 2017) |
| Legislative branch: | election results: National Assembly results - percent of vote by party - NA; seats by party - Benno Bokk Yakaar coalition 119, PDS 12, Bokk Giss Giss coalition 4, MCRN-Bes Du Nakk 4, PVD 2, MRDS 2, URD 1, AJ/PADS 1, other 5 |
| Judicial branch: | highest court(s): Highest Appeals Court or Cour de Cassation (consists of 13 judges including the court president); Constitutional Council (consists of 5 members including the court president, vice-president, and 3 judges) |
| Judicial branch: | judge selection and term of office: Highest Appeals Court judges' tenure NA; Constitutional Council members appointed by the president of the republic to serve 6-year terms with renewal of 3 members every two years |
| Judicial branch: | subordinate courts: Court of Appeals; regional and first instance courts |
| Political parties and leaders: | African Party of Independence [Majhemout DIOP] |
| Political parties and leaders: | Alliance for the Republic-Yakaar [Macky SALL] |
| Political parties and leaders: | Alliance of Forces of Progress or AFP [Moustapha NIASSE] |
| Political parties and leaders: | And-Jef/African Party for Democracy and Socialism or AJ/PADS [Landing SAVANE] |
| Political parties and leaders: | Benno Bokk Yakaar coaltion [Macky SALL] |
| Political parties and leaders: | Benno Siggil Senegal (a coalition of opposition parties) |
| Political parties and leaders: | Bokk Giss Giss coalition [Pape DIOP] |
| Political parties and leaders: | Citizen Movement for National Reform or MCRN-Bes Du Nakk |
| Political parties and leaders: | Democratic League-Labor Party Movement or LD-MPT [Dr. Abdoulaye BATHILY] |
