| Government | SENEGAL |
| --- | --- |
| Country name: | conventional long form: Republic of Senegal |
| Country name: | conventional short form: Senegal |
| Country name: | local long form: Republique du Senegal |
| Country name: | local short form: Senegal |
| Country name: | former: Senegambia (along with The Gambia), Mali Federation |
| Government type: | republic |
| Capital: | name: Dakar |
| Capital: | geographic coordinates: 14 44 N, 17 38 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 14 regions (regions, singular - region); Dakar, Diourbel, Fatick, Kaffrine, Kaolack, Kedougou, Kolda, Louga, Matam, Saint-Louis, Sedhiou, Tambacounda, Thies, Ziguinchor |
| Independence: | 4 April 1960 (from France); note - complete independence achieved upon dissolution of federation with Mali on 20 August 1960 |
| National holiday: | Independence Day, 4 April (1960) |
| Constitution: | previous 1959 (preindependence), 1963; latest adopted by referendum 7 January 2001, promulgated 22 January 2001; amended many times, last in 2009 (2014) |
| Legal system: | civil law system based on French law; judicial review of legislative acts in Constitutional Court |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Macky SALL (since 2 April 2012) |
| Executive branch: | head of government: Prime Minister Mohammed Abdallah Boun DIONNE (since 4 July 2014) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister in consultation with the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 7-year term (eligible for a second term); election last held on 26 February 2012 with a runoff on 25 March 2012 (next to be held in 2019); prime minister appointed by the president |
| Executive branch: | election results: Macky SALL elected president; percent of vote in runoff - Macky SALL ( Alliance for the Republic-Yakaar ) 65.8%, Abdoulaye WADE (PDS) 34.2% |
| Legislative branch: | description: unicameral National Assembly or Assemblee Nationale (150 seats; 90 members directly elected in single- and multi-seat constituencies by simple majority vote and 60 directly elected in single- and multi-seat constituencies by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | elections: National Assembly - last held on 1 July 2012 (next to be held in 2017) |
| Legislative branch: | election results: National Assembly results - percent of vote by party - NA; seats by party - Benno Bokk Yakaar coalition 119, PDS 12, Bokk Giss Giss coalition 4, MCRN-Bes Du Nakk 4, PVD 2, MRDS 2, URD 1, AJ/PADS 1, other 5 |
| Judicial branch: | highest court(s): Court of Final Appeals or Cour de Cassation (consists of NA judges); Constitutional Council (consists of 5 members including the court president, vice-president, and 3 judges) |
| Judicial branch: | judge selection and term of office: Court of Final Appeals judges' appointed by the president upon recommendation of the Higher Council of the Judiciary, a body chaired by the president of the republic; judge tenure NA; Constitutional Council members appointed by the president of the republic to serve 6-year terms with renewal of 3 members every 2 years |
| Judicial branch: | subordinate courts: High Court of Justice (for crime of high treason by president); Supreme Court (for abuses by government executives and local officials); Court of Auditors; Courts of Appeal; Assize Courts (4); Regional and District Courts, Labor Court |
| Political parties and leaders: | Alliance for the Republic-Yakaar [Macky SALL] |
| Political parties and leaders: | Alliance of Forces of Progress or AFP [Moustapha NIASSE] |
| Political parties and leaders: | And-Jef/African Party for Democracy and Socialism or AJ/PADS [Mamadou DIOP, Landing SAVANE] |
| Political parties and leaders: | Benno Bokk Yakaar coaltion [Macky SALL] |
| Political parties and leaders: | Benno Siggil Senegal (a coalition of opposition parties) |
