| Government | Congo, Democratic Republic of the |
| --- | --- |
| Country name: | conventional long form: Democratic Republic of the Congo |
| Country name: | conventional short form: DRC |
| Country name: | local long form: Republique Democratique du Congo |
| Country name: | local short form: RDC |
| Country name: | former: Congo Free State, Belgian Congo, Congo/Leopoldville, Congo/Kinshasa, Zaire |
| Country name: | abbreviation: DRC |
| Government type: | republic |
| Capital: | name: Kinshasa |
| Capital: | geographic coordinates: 4 19 S, 15 18 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 provinces (provinces, singular - province) and 1 city* (ville); Bandundu, Bas-Congo (Lower Congo), Equateur, Kasai-Occidental (West Kasai), Kasai-Oriental (East Kasai), Katanga, Kinshasa*, Maniema, Nord-Kivu (North Kivu), Orientale, Sud-Kivu (South Kivu) |
| Administrative divisions: | note: according to the Constitution adopted in December 2005, the current administrative divisions were to be subdivided into 26 new provinces by 2009 but this has yet to be implemented |
| Independence: | 30 June 1960 (from Belgium) |
| National holiday: | Independence Day, 30 June (1960) |
| Constitution: | several previous; latest adopted 13 May 2005, approved by referendum 18-19 December 2005, promulgated 18 February 2006; revised 2011 (2011) |
| Legal system: | civil legal system based on Belgian version of French civil law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Joseph KABILA (since 17 January 2001) |
| Executive branch: | head of government: Prime Minister Augustin MATATA PONYO Mapon (since 18 April 2012) |
| Executive branch: | cabinet: Ministers of State appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: under the new constitution the president elected by popular vote for a five-year term (eligible for a second term); elections last held on 28 November 2011 (next to be held in November 2016); prime minister appointed by the president |
| Executive branch: | election results: Joseph KABILA reelected president; percent of vote - Joseph KABILA 49%, Etienne TSHISEKEDI 32.3%, other 18.7%; note - election marred by serious voting irregularities |
| Executive branch: | note: Joseph KABILA succeeded his father, Laurent Desire KABILA, following the latter's assassination in January 2001; negotiations with rebel leaders led to the establishment of a transitional government in July 2003 with free elections held on 30 July 2006 and a run-off on 29 October 2006 confirming Joseph KABILA as president |
| Legislative branch: | bicameral legislature consists of a Senate (108 seats; members elected by provincial assemblies to serve five-year terms) and a National Assembly (500 seats; 61 members elected by majority vote in single-member constituencies, 439 members elected by open list proportional-representation in multi-member constituencies to serve five-year terms) |
| Legislative branch: | elections: Senate - last held on 19 January 2007 (next scheduled for 5 June 2013; though likely to be delayed); National Assembly - last held on 28 November 2011 (next to be held in 2016) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PPRD 22, MLC 14, FR 7, RCD 7, PDC 6, CDC 3, MSR 3, PALU 2, independents 26, others 18 (political parties that won a single seat); National Assembly - percent of vote by party - NA; seats by party - PPRD 62, UDPS 41, PPPD 29, MSR 27, MLC 22, PALU 19, UNC 17, ARC 16, AFDC 15, ECT 11, RRC 11, independents 16, others 214 (includes numerous political parties that won 10 or fewer seats and 2 constituencies where voting was halted); note - the November 2011 elections were married by violence including the destruction of ballots in two constituencies resulting in the closure of polling sites; election results were delayed three months, stongly contested, and continue to be unresolved |
| Judicial branch: | highest court(s): Supreme Court of Justice (organized into legislative and judiciary sections and consists of 26 justices); Constitutional Court (consists of 9 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court of Justice judges nominated by the Judicial Service Council, an independent body of public prosecutors and selected judges of the lower courts; judges tenure NA; Constitutional Court judges - 3 nominated by the president, 3 by the Judicial Service Council, and 3 by the legislature; judges appointed by the president to serve 9-year non-renewable terms |
| Judicial branch: | subordinate courts: State Security Court; Court of Appeals (organized into administrative and judiciary sections); Tribunal de Grande; magistrates' courts; customary courts |
| Political parties and leaders: | Christian Democrat Party or PDC [Jose ENDUNDO] |
| Political parties and leaders: | Congolese Rally for Democracy or RCD [Azarias RUBERWA] |
| Political parties and leaders: | Convention of Christian Democrats or CDC |
| Political parties and leaders: | Forces of Renewal or FR [Mbusa NYAMWISI] |
| Political parties and leaders: | Movement for the Liberation of the Congo or MLC [Jean-Pierre BEMBA] |
| Political parties and leaders: | People's Party for Reconstruction and Democracy or PPRD [Joseph KABILA] |
| Political parties and leaders: | Social Movement for Renewal or MSR [Pierre LUMBI] |
| Political parties and leaders: | Unified Lumumbist Party or PALU [Antoine GIZENGA] |
| Political parties and leaders: | Union for the Congolese Nation or UNC [Vital KAMERHE] |
| Political parties and leaders: | Union for Democracy and Social Progress or UDPS [Etienne TSHISEKEDI] |
