| Government | Congo, Democratic Republic of the |
| --- | --- |
| Country name: | conventional long form: Democratic Republic of the Congo |
| Country name: | conventional short form: none |
| Country name: | local long form: Republique Democratique du Congo |
| Country name: | local short form: none |
| Country name: | former: Congo Free State, Belgian Congo, Congo/Leopoldville, Congo/Kinshasa, Zaire |
| Country name: | abbreviation: DRC |
| Government type: | transitional government |
| Capital: | name: Kinshasa |
| Capital: | geographic coordinates: 4 18 S, 15 18 E |
| Capital: | time difference: UTC+1 (six hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 provinces (provinces, singular - province) and 1 city* (ville); Bandundu, Bas-Congo, Equateur, Kasai-Occidental, Kasai-Oriental, Katanga, Kinshasa*, Maniema, Nord-Kivu, Orientale, Sud-Kivu |
| Independence: | 30 June 1960 (from Belgium) |
| National holiday: | Independence Day, 30 June (1960) |
| Constitution: | 18 February 2006 |
| Legal system: | a new constitution was adopted by referendum 18 December 2005; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Joseph KABILA (since 26 January 2001); note - following the assassination of his father, Laurent Desire KABILA, on 16 January 2001, Joseph KABILA succeeded to the presidency; the president is both the chief of state and head of government |
| Executive branch: | head of government: President Joseph KABILA (since 26 January 2001); note - following the assassination of his father, Laurent Desire KABILA, on 16 January 2001, Joseph KABILA succeeded to the presidency; the president is both the chief of state and head of government |
| Executive branch: | cabinet: National Executive Council appointed by the president |
| Executive branch: | elections: under the new constitution the president is elected by popular vote to a five-year term (eligible for a second term); elections last held 30 July 2006 with a second round held on 29 October 2006 (next to be held in 2011) |
| Executive branch: | election results: results of 29 October 2006 elections (second round); Joseph KABILA 58%, Jean-Pierre BEMBA Gombo 42% |
| Executive branch: | note: Joseph KABILA succeeded his father, Laurent Desire KABILA, following the latter's assassination in January 2001; negotiations with rebel leaders led to the establishment of a transitional government in July 2003 with free elections held on 30 July 2006 and 29 October 2006 where the poplar vote confirmed Joseph KABILA as president |
| Legislative branch: | bicameral legislature consists of a National Assembly (500 seats; 60 elected by majority vote and 440 by open list proportional representation; members serve 5-year terms) and a Senate (120 seats; members elected by indirect vote to serve 5-year terms) |
| Legislative branch: | elections: NA; members of the National Assembly were appointed by leaders in the factions integrated into the new government; elections scheduled for 30 July 2006 will establish a new legislature under the February 2006 constitution |
| Judicial branch: | Supreme Court or Cour Supreme |
| Political parties and leaders: | Democratic Social Christian Party or PDSC [Andre BO-BOLIKO]; Forces for Renovation for Union and Solidarity or FONUS [Joseph OLENGHANKOY]; National Congolese Lumumbist Movement or MNC [Francois LUMUMBA]; Popular Movement of the Revolution or MPR (three factions: MPR-Fait Prive [Catherine NZUZI wa Mbombo]; MPR/Vunduawe [Felix VUNDUAWE]; MPR/Mananga [MANANGA Dintoka Mpholo]); Unified Lumumbast Party or PALU [Antoine GIZENGA]; Union for Democracy and Social Progress or UDPS [Etienne TSHISEKEDI wa Mulumba]; Union of Federalists and Independent Republicans or UFERI (two factions: UFERI [Lokambo OMOKOKO]; UFERI/OR [Adolph Kishwe MAYA]) |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, AfDB, AU, CEPGL, COMESA, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO (suspended), ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITU, MIGA, NAM, OIF, OPCW, PCA, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Faida MITIFU |
| Diplomatic representation in the US: | chancery: 1800 New Hampshire Avenue NW, Washington, DC 20009: note - Consular Office at 1726 M Street, NW, Washington, DC, 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-7690, 7691 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-2609 |
| Diplomatic representation from the US: | chief of mission: Ambassador Roger MEECE |
| Diplomatic representation from the US: | embassy: 310 Avenue des Aviateurs, Kinshasa |
| Diplomatic representation from the US: | mailing address: Unit 31550, APO AE 09828 |
| Diplomatic representation from the US: | telephone: [243] (88) 43608 |
| Diplomatic representation from the US: | FAX: [243] (88) 43467 |
| Flag description: | sky blue field divided diagonally from the lower hoist corner to upper fly corner by a red stripe bordered by two narrow yellow stripes; a yellow, five-pointed star appears in the upper hoist corner |
