| Government | Congo, Democratic Republic of the |
| --- | --- |
| Country name: | conventional long form: Democratic Republic of the Congo |
| Country name: | conventional short form: none |
| Country name: | local long form: Republique Democratique du Congo |
| Country name: | local short form: none |
| Country name: | former: Congo Free State, Belgian Congo, Congo/Leopoldville, Congo/Kinshasa, Zaire |
| Country name: | abbreviation: DROC |
| Government type: | dictatorship; presumably undergoing a transition to representative government |
| Capital: | Kinshasa |
| Administrative divisions: | 10 provinces (provinces, singular - province) and 1 city* (ville); Bandundu, Bas-Congo, Equateur, Kasai-Occidental, Kasai-Oriental, Katanga, Kinshasa*, Maniema, Nord-Kivu, Orientale, Sud-Kivu |
| Independence: | 30 June 1960 (from Belgium) |
| National holiday: | Independence Day, 30 June (1960) |
| Constitution: | new constitution adopted 17 July 2003 |
| Legal system: | based on Belgian civil law system and tribal law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Joseph KABILA (since 26 January 2001); note - following the assassination of his father, Laurent Desire KABILA, on 16 January 2001, Joseph KABILA succeeded to the presidency; the president is both the chief of state and head of government |
| Executive branch: | head of government: President Joseph KABILA (since 26 January 2001); note - following the assassination of his father, Laurent Desire KABILA, on 16 January 2001, Joseph KABILA succeeded to the presidency; the president is both the chief of state and head of government |
| Executive branch: | cabinet: National Executive Council, appointed by the president |
| Executive branch: | elections: prior to the overthrow of MOBUTU Sese Seko, the president was elected by popular vote for a seven-year term; election last held 29 July 1984 (next was scheduled to be held in May 1997); formerly, there was also a prime minister who was elected by the High Council of the Republic; note - a Transitional Government is drafting a new constitution with free elections scheduled to be held in NA 2005 |
| Executive branch: | election results: MOBUTU Sese Seko Kuku Ngbendu wa Za Banga reelected president in 1984 without opposition |
| Executive branch: | note: Joseph KABILA succeeded his father, Laurent Desire KABILA, following the latter's assassination in January 2001, negotiations with rebel leaders led to the establishment of a transitional government in July 2003 with free elections scheduled to be held in NA 2005 |
| Legislative branch: | a 300-member Transitional Constituent Assembly established in August 2000 |
| Legislative branch: | elections: NA; members of the Transitional Constituent Assembly were appointed by former President Laurent Desire KABILA |
| Judicial branch: | Supreme Court or Cour Supreme |
| Political parties and leaders: | Democratic Social Christian Party or PDSC [Andre BO-BOLIKO]; Forces for Renovation for Union and Solidarity or FONUS [Joseph OLENGHANKOY]; National Congolese Lumumbist Movement or MNC [Francois LUMUMBA]; Popular Movement of the Revolution or MPR (three factions: MPR-Fait Prive [Catherine NZUZI wa Mbombo]; MPR/Vunduawe [Felix VUNDUAWE]; MPR/Mananga [MANANGA Dintoka Mpholo]); Unified Lumumbast Party or PALU [Antoine GIZENGA]; Union for Democracy and Social Progress or UDPS [Etienne TSHISEKEDI wa Mulumba]; Union of Federalists and Independent Republicans or UFERI (two factions: UFERI [Lokambo OMOKOKO]; UFERI/OR [Adolph Kishwe MAYA]) |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, AfDB, AU, CEPGL, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, MIGA, NAM, OPCW (signatory), PCA, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Faida MITIFU |
| Diplomatic representation in the US: | chancery: 1800 New Hampshire Avenue NW, Washington, DC 20009: note - Consular Office at 1726 M Street, NW, Wasington, DC, 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-7690, 7691 |
| Diplomatic representation in the US: | FAX: [1] (202) 234-2609 |
| Diplomatic representation from the US: | chief of mission: Ambassador Aubrey HOOKS |
| Diplomatic representation from the US: | embassy: 310 Avenue des Aviateurs, Kinshasa |
| Diplomatic representation from the US: | mailing address: Unit 31550, APO AE 09828 |
| Diplomatic representation from the US: | telephone: [243] (88) 43608 |
| Diplomatic representation from the US: | FAX: [243] (88) 43467 |
| Flag description: | light blue with a large yellow five-pointed star in the center and a columnar arrangement of six small yellow five-pointed stars along the hoist side |
