| Government | Togo |
| --- | --- |
| Country name: | conventional long form: Togolese Republic |
| Country name: | conventional short form: Togo |
| Country name: | local long form: Republique Togolaise |
| Country name: | local short form: none |
| Country name: | former: French Togoland |
| Country name: | etymology: derived from the Ewe words "to" (river) and "godo" (on the other side) to give the sense of "on the other side of the river"; originally, this designation applied to the town of Togodo (now Togoville) on the northern shore of Lake Togo, but the name was eventually extended to the entire nation |
| Government type: | presidential republic |
| Capital: | name: Lome |
| Capital: | geographic coordinates: 6 07 N, 1 13 E |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: Lome comes from "alotime" which in the native Ewe language means "among the alo plants"; alo trees dominated the city's original founding site |
| Administrative divisions: | 5 regions (regions, singular - region); Centrale, Kara, Maritime, Plateaux, Savanes |
| Independence: | 27 April 1960 (from French-administered UN trusteeship) |
| National holiday: | Independence Day, 27 April (1960) |
| Constitution: | history: several previous; latest adopted 27 September 1992, effective 14 October 1992 |
| Constitution: | amendments: proposed by the president of the republic or supported by at least one fifth of the National Assembly membership; passage requires four-fifths majority vote by the Assembly; a referendum is required if approved by only two-thirds majority of the Assembly or if requested by the president; constitutional articles on the republican and secular form of government cannot be amended; amended 2002, 2007, 2019 when the National Assembly unanimously approved a package of amendments, including setting presidential term limits of two 5-year mandates (2019) |
| Legal system: | customary law system |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Togo |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Faure GNASSINGBE (since 4 May 2005) |
| Executive branch: | head of government: Acting Prime Minister Komi KLASSOU (since 5 June 2015) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the advice of the prime minister |
| Executive branch: | elections/appointments: president directly elected by simple majority popular vote for a 5-year term (no term limits); election last held on 25 April 2015 (next to be held in 2020); prime minister appointed by the president |
| Executive branch: | election results: Faure GNASSINGBE reelected president; percent of vote - Faure GNASSINGBE (UNIR) 58.8%, Jean-Pierre FABRE (ANC) 35.2%, Tchaboure GOGUE (ADDI) 4%, other 2% |
| Legislative branch: | description: unicameral National Assembly or Assemblee Nationale (91 seats; members directly elected in multi-seat constituencies by closed, party-list proportional representation vote to serve 5-year terms) |
| Legislative branch: | elections: last held on 20 December 2018 (next to be held in 2023) |
| Legislative branch: | election results: percent of vote by coalition/party - NA; seats by party - UNIR 59, UFC 6, NET 3, MPDD 3, other 2, independent 18; composition - men 75, women 16, percent of women 17.6% |
| Judicial branch: | highest courts: Supreme Court or Cour Supreme (organized into criminal and administrative chambers, each with a chamber president and advisors); Constitutional Court (consists of 9 judges, including the court president) |
| Judicial branch: | judge selection and term of office: Supreme Court president appointed by decree of the president of the republic upon the proposal of the Supreme Council of the Magistracy, a 9-member judicial, advisory, and disciplinary body; other judicial appointments and judge tenure NA; Constitutional Court judges appointed by the National Assembly; judge tenure NA |
| Judicial branch: | subordinate courts: Court of Assizes (sessions court); Appeal Court; tribunals of first instance (divided into civil, commercial, and correctional chambers; Court of State Security; military tribunal |
| Political parties and leaders: | Action Committee for Renewal or CAR [Yaovi AGBOYIBO] |
| Political parties and leaders: | Alliance of Democrats for Integral Development or ADDI [Tchaboure GOGUE] |
| Political parties and leaders: | Democratic Convention of African Peoples or CDPA [Brigitte ADJAMAGBO-JOHNSON] |
| Political parties and leaders: | Democratic Forces for the Republic or FDR [Dodji APEVON] |
| Political parties and leaders: | National Alliance for Change or ANC [Jean-Pierre FABRE] |
| Political parties and leaders: | New Togolese Commitment [Gerry TAAMA] |
| Political parties and leaders: | Pan-African National Party or PNP [Tikpi ATCHADAM] |
| Political parties and leaders: | Pan-African Patriotic Convergence or CPP [Edem KODJO] |
| Political parties and leaders: | Patriotic Movement for Democracy and Development or MPDD |
| Political parties and leaders: | Socialist Pact for Renewal or PSR [Abi TCHESSA] |
| Political parties and leaders: | The Togolese Party [Nathaniel OLYMPIO] |
| Political parties and leaders: | Union of Forces for Change or UFC [Gilchrist OLYMPIO] |
| Political parties and leaders: | Union for the Republic or UNIR [Faure GNASSINGBE] |
| International organization participation: | ACP, AfDB, AU, ECOWAS, EITI (compliant country), Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MINUSMA, NAM, OIC, OIF, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNOCI, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | Ambassador Frederic Edem HEGBE (since 24 April 2017) |
