| Government | Togo |
| --- | --- |
| Country name: | conventional long form: Togolese Republic |
| Country name: | conventional short form: Togo |
| Country name: | local long form: Republique togolaise |
| Country name: | local short form: none |
| Country name: | former: French Togoland |
| Government type: | republic under transition to multiparty democratic rule |
| Capital: | name: Lome |
| Capital: | geographic coordinates: 6 08 N, 1 13 E |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 5 regions (regions, singular - region); Centrale, Kara, Maritime, Plateaux, Savanes |
| Independence: | 27 April 1960 (from French-administered UN trusteeship) |
| National holiday: | Independence Day, 27 April (1960) |
| Constitution: | multiparty draft constitution approved by High Council of the Republic 1 July 1992, adopted by public referendum 27 September 1992 |
| Legal system: | French-based court system; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | NA years of age; universal (adult) |
| Executive branch: | chief of state: President Faure GNASSINGBE (since 4 May 2005); note - Gnassingbe EYADEMA died on 5 February 2005 and was succeeded by his son, Faure GNASSINGBE, with the support of the military following international condemnation for the unconstitutional move he then stepped aside pending elections, and Abass BONFOH served as interim president; Faure GNASSINGBE later won popular elections in April 2005 |
| Executive branch: | head of government: Prime Minister Gilbert HOUNGBO (since 7 September 2008) |
| Executive branch: | cabinet: Council of Ministers appointed by the president and the prime minister |
| Executive branch: | elections: president elected by popular vote for a five-year term (no term limits); election last held 24 April 2005 (next to be held by 2010); prime minister appointed by the president |
| Executive branch: | election results: Faure GNASSINGBE elected president; percent of vote - Faure GNASSINGBE 60.2%, Emmanuel Akitani BOB 38.3%, Nicolas LAWSON 1%, Harry OLYMPIO 0.5% |
| Legislative branch: | unicameral National Assembly (81 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 14 October 2007 (next to be held in 2012) |
| Legislative branch: | election results: percent of vote by party - RPT 39.4%, UFC 37.0%, CAR 8.2%, independents 2.5%, other 12.9%; seats by party - RPT 50, UFC 27, CAR 4 |
| Judicial branch: | Court of Appeal or Cour d'Appel; Supreme Court or Cour Supreme |
| Political parties and leaders: | Action Committee for Renewal or CAR [Yawovi AGBOYIBO]; Democratic Convention of African Peoples or CDPA; Democratic Party for Renewal or PDR; Juvento [Monsilia DJATO]; Movement of the Believers of Peace and Equality or MOCEP; Pan-African Patriotic Convergence or CPP; Rally for the Support for Development and Democracy or RSDD [Harry OLYMPIO]; Rally of the Togolese People or RPT [Faure GNASSINGBE]; Socialist Pact for Renewal or PSR; Union for Democracy and Social Progress or UDPS [Gagou KOKOU]; Union of Forces for a Change or UFC [Gilchrist OLYMPIO] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AU, ECOWAS, Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC, MIGA, NAM, OIC, OIF, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNMIL, UNOCI, UNWTO, UPU, WADB (regional), WAEMU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Lorempo LANDJERGUE |
| Diplomatic representation in the US: | chancery: 2208 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-4212 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-3190 |
| Diplomatic representation from the US: | chief of mission: Ambassador Patricia McMahon HAWKINS |
| Diplomatic representation from the US: | embassy: 4332 Blvd. Gnassingbe Eyadema, Cite OUA, Lome |
| Diplomatic representation from the US: | mailing address: B. P. 852, Lome; 2300 Lome Place, Washington, DC 20512-2300 |
| Diplomatic representation from the US: | telephone: [228] 261-5470 |
| Diplomatic representation from the US: | FAX: [228] 261-5501 |
| Flag description: | five equal horizontal bands of green (top and bottom) alternating with yellow; a white five-pointed star on a red square is in the upper hoist-side corner; uses the popular pan-African colors of Ethiopia |
