| Government | Aruba |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Aruba |
| Dependency status: | part of the Kingdom of the Netherlands; full autonomy in internal affairs obtained in 1986 upon separation from the Netherlands Antilles; Dutch Government responsible for defense and foreign affairs |
| Government type: | parliamentary democracy |
| Capital: | Oranjestad |
| Administrative divisions: | none (part of the Kingdom of the Netherlands) |
| Independence: | none (part of the Kingdom of the Netherlands) |
| National holiday: | Flag Day, 18 March |
| Constitution: | 1 January 1986 |
| Legal system: | based on Dutch civil law system, with some English common law influence |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen BEATRIX of the Netherlands (since 30 April 1980), represented by Governor General Olindo KOOLMAN (since 1 January 1992) |
| Executive branch: | head of government: Prime Minister Nelson O. ODUBER (since 30 October 2001); deputy prime minister NA |
| Executive branch: | cabinet: Council of Ministers (elected by the Staten) |
| Executive branch: | election results: Nelson O. ODUBER elected prime minister; percent of legislative vote - NA% |
| Executive branch: | elections: the monarch is hereditary; governor general appointed for a six-year term by the monarch; prime minister and deputy prime minister elected by the Staten for four-year terms; election last held 28 September 2001 (next to be held by December 2005) |
| Legislative branch: | unicameral Legislature or Staten (21 seats; members elected by direct, popular vote to serve four-year terms) |
| Legislative branch: | election results: percent of vote by party - MEP 52.4%, AVP 26.7%, PPA 9.6%, OLA 5.7%, Aliansa 3.5%, other 2.1%; seats by party - MEP 12, AVP 6, PPA 2, OLA 1 |
| Legislative branch: | elections: last held 28 September 2001 (next to be held by NA 2005) |
| Judicial branch: | Joint High Court of Justice (judges are appointed by the monarch) |
| Political parties and leaders: | Aruba Solidarity Movement or MAS [leader NA]; Aruban Democratic Alliance or Aliansa [leader NA]; Aruban Democratic Party or PDA [Leo BERLINSKI]; Aruban Liberal Party or OLA [Glenbert CROES]; Aruban Patriotic Party or PPA [Benny NISBET]; Aruban People's Party or AVP [Jan (Henny) H. EMAN]; Concentration for the Liberation of Aruba or CLA [leader NA]; People's Electoral Movement Party or MEP [Nelson O. ODUBER]; For a Restructured Aruba Now or PARA [Urbana LOPEZ]; National Democratic Action or ADN [Pedro Charro KELLY] |
| Political pressure groups and leaders: | NA |
| International organization participation: | Caricom (observer), ECLAC (associate), Interpol, IOC, UNESCO (associate), WCL, WToO (associate) |
| Diplomatic representation in the US: | none (represented by the Kingdom of the Netherlands) |
| Diplomatic representation from the US: | chief of mission: Consul General Deborah A. BOLTON |
| Diplomatic representation from the US: | embassy: J. B. Gorsiraweg #1, Curacao |
| Diplomatic representation from the US: | mailing address: P. O. Box 158, Willemstad, Curacao |
| Diplomatic representation from the US: | telephone: [599] (9) 461-3066 |
| Diplomatic representation from the US: | FAX: [599] (9) 461-6489 |
| Flag description: | blue, with two narrow, horizontal, yellow stripes across the lower portion and a red, four-pointed star outlined in white in the upper hoist-side corner |
