| Government | Macau |
| --- | --- |
| Country name: | conventional long form: Macau Special Administrative Region |
| Country name: | conventional short form: Macau |
| Country name: | official long form: Aomen Tebie Xingzhengqu (Chinese); Regiao Administrativa Especial de Macau (Portuguese) |
| Country name: | official short form: Aomen (Chinese); Macau (Portuguese) |
| Dependency status: | special administrative region of the People's Republic of China |
| Government type: | limited democracy |
| Administrative divisions: | none (special administrative region of the People's Republic of China) |
| Independence: | none (special administrative region of China) |
| National holiday: | National Day (Anniversary of the Founding of the People's Republic of China), 1 October (1949); note - 20 December 1999 is celebrated as Macau Special Administrative Region Establishment Day |
| Constitution: | The Basic Law, approved 31 March 1993 by China's National People's Congress, is Macau's charter |
| Legal system: | civil law system based on the Portuguese model |
| Suffrage: | 18 years of age in direct elections for some legislative positions, universal for permanent residents living in Macau for the past seven years; note - indirect elections are limited to organizations registered as "corporate voters" (973 were registered in the 2009 legislative elections) and a 300-member Election Committee for the Chief Executive (CE) drawn from broad regional groupings, municipal organizations, central government bodies, and elected Macau officials |
| Executive branch: | chief of state: President of China HU Jintao (since 15 March 2003) |
| Executive branch: | head of government: Chief Executive Fernando CHUI Sai-on (since 20 December 2009) |
| Executive branch: | cabinet: Executive Council consists of 1 government secretary, 3 legislators, 4 businessmen, 1 pro-Beijing unionist, and 1 pro-Beijing educator |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: chief executive chosen by a 300-member Election Committee for a five-year term (current chief executive is eligible for a second term); election last held on 26 July 2009 (next to be held in July 2014) |
| Executive branch: | election results: Fernando CHUI Sai-on elected in 2009 with 282 votes, took office on 20 December 2009 |
| Legislative branch: | unicameral Legislative Assembly (29 seats; 12 members elected by popular vote, 10 by indirect vote, and 7 appointed by the chief executive; members serve four-year terms) |
| Legislative branch: | elections: last held on 20 September 2009 (next to be held in September 2013) |
| Legislative branch: | election results: percent of vote - UPD 14.9%, ACUM 12%, APMD 11.6%, NUDM 9.9%, UPP 9.9%, ANMD 7.8%, UMG 7.3%, MUDAR 5.5%, others 21.1%; seats by political group - UPD 2, ACUM 2, APMD 2, NUMD 1, UPP 1, ANMD 1, UMG 1, MUDAR 1; 10 seats filled by professional and business groups; 7 members appointed by the chief executive |
| Judicial branch: | Court of Final Appeal in Macau Special Administrative Region |
| Political parties and leaders: | Alliance for Change or MUDAR; Macau Development Alliance or NUDM [Angela LEONG On-kei]; Macau-Guangdong Union or UNG; Macau United Citizens' Association or ACUM [CHAN Meng-kam]; New Macau Association or NMA [Jason CHAO]; New Hope or NE [Jose Maria Pereira COUTINHO]; Union for Promoting Progress or UPP [LEONG Heng-teng] |
| Political parties and leaders: | note: there is no political party ordinance, so there are no registered political parties; politically active groups register as societies or companies |
| Political pressure groups and leaders: | Civic Power [Agnes LAM lok-fong]; Macau New Chinese Youth Association [LEONG Sin-man]; Macau Society of Tourism and Entertainment or STDM [Stanley HO]; Macau Worker's Union [HO Heng-kuok]; Union for Democracy Development [Antonio NG Kuok-cheong] |
| International organization participation: | ICC (national committees), IHO, IMF, IMO (associate), Interpol (subbureau), ISO (correspondent), UNESCO (associate), UNWTO (associate), UPU, WCO, WTO |
| Diplomatic representation in the US: | none (special administrative region of China) |
| Diplomatic representation from the US: | the US has no offices in Macau; US Consulate General in Hong Kong is accredited to Macau |
| Flag description: | green with a lotus flower above a stylized bridge and water in white, beneath an arc of five gold, five-pointed stars: one large in the center of the arc and two smaller on either side; the lotus is the floral emblem of Macau, the three petals represent the peninsula and two islands that make up Macau; the five stars echo those on the flag of China |
| National symbol(s): | lotus blossom |
| National anthem: | note: as a Special Administrative Region of China, "Yiyonggjun Jinxingqu" is the official anthem (see China) |
