| Government | New Caledonia |
| --- | --- |
| Country name: | conventional long form: Territory of New Caledonia and Dependencies |
| Country name: | conventional short form: New Caledonia |
| Country name: | local long form: Territoire des Nouvelle-Caledonie et Dependances |
| Country name: | local short form: Nouvelle-Caledonie |
| Country name: | etymology: British explorer Captain James COOK discovered and named New Caledonia in 1774; he used the appellation because the northeast of the island reminded him of Scotland (Caledonia is the Latin designation for Scotland) |
| Dependency status: | special collectivity (or a sui generis collectivity) of France since 1998; note - an independence referendum took placeÂ on 4Â November 2018 with a majority voting to reject independence in favor of maintaining the status quo; two additional referenda, still unsceheduled, may occur in 2020 and 2022 |
| Government type: | parliamentary democracy (Territorial Congress); an overseas collectivity of France |
| Capital: | name: Noumea |
| Capital: | geographic coordinates: 22 16 S, 166 27 E |
| Capital: | time difference: UTC+11 (16 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 3 provinces; Province Iles (Islands Province), Province Nord (North Province), and Province Sud (South Province) |
| Independence: | none (overseas collectivity of France); note - in an independence referendum on 4Â November 2018, the majority voted to reject independence in favor of maintaining the status quo |
| National holiday: | Fete de la Federation, 14 July (1790); note - the local holiday is New Caledonia Day, 24 September (1853) |
| Constitution: | history: 4 October 1958 (French Constitution with changes as reflected in the Noumea Accord of 5 May 1998) |
| Constitution: | amendments: French constitution amendment procedures apply |
| Legal system: | civil law system based on French civil law |
| Citizenship: | see France |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Emmanuel MACRON (since 14 May 2017); represented by High Commissioner Laurent PREVOST (since 5 August 2019) |
| Executive branch: | head of government: President of the Government Thierry SANTA (since 9 July 2019); Temporary Vice President Gilbert TUIENON (since 9 July 2019); note - Temporary Vice President Gilbert TUIENON was elected so that the new government could take over; Philippe GERMAIN' s government remained caretaker government until the new government was settled |
| Executive branch: | cabinet: Cabinet elected from and by the Territorial Congress |
| Executive branch: | elections/appointments: French president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); high commissioner appointed by the French president on the advice of the French Ministry of Interior; president of New Caledonia elected by Territorial Congress for a 5-year term (no term limits); election last held on 13 June 2017 (next to be held in 2022) |
| Executive branch: | election results: Thierry SANTA elected president by Territorial Congress with 6 votes out of 11 |
| Legislative branch: | description: unicameral Territorial Congress or CongrÃ¨s du Territoire (54 seats; members indirectly selected proportionally by the partisan makeup of the 3 Provincial Assemblies or AssemblÃ©s Provinciales; members of the 3 Provincial Assemblies directly elected by proportional representation vote; members serve 5-year terms); note - the Customary Senate is the assembly of the various traditional councils of the Kanaks, the indigenous population, which rules on laws affecting the indigenous population |
| Legislative branch: | New Caledonia indirectly elects 2 members to the French Senate by an electoral colleges for a 6-year term with one seat renewed every 3 years and directly elects 2 members to the French National Assembly by absolute majority vote in 2 rounds if needed for a 5-year term |
| Legislative branch: | elections: |
| Legislative branch: | Territorial Congress - last held on 12 May 2019 (next to be held in May 2024) |
| Legislative branch: | French Senate - election last held on 24 September 2017 (next to be held not later than 2019) |
| Legislative branch: | French National Assembly - election last held on 11 and 18 June 2017 (next to be held by June 2022) |
| Legislative branch: | election results: |
| Legislative branch: | Territorial Congress - percent of vote by party - N/A; seats by party -Future With Confidence 18, UNI 9, UC 9, CE 7, FLNKS 6, Oceanic Awakening 3, PT 1, LKS 1 (Anti-Independence 28, Pro-Independence 26); composition - men 30, women 24, percent of women 44.4% |
| Legislative branch: | French Senate - percent of vote by party - NA; seats by party - UMP 2 |
| Legislative branch: | French National Assembly - percent of vote by party - NA; seats by party - CE 2 |
| Judicial branch: | highest courts: Court of Appeal in Noumea or Cour d'Appel; organized into civil, commercial, social, and pre-trial investigation chambers; court bench normally includes the court president and 2 counselors); Administrative Court (number of judges NA); note - final appeals beyond the Court of Appeal are referred to the Court of Cassation or Cour de Cassation (in Paris); final appeals beyond the Administrative Court are referred to the Administrative Court of Appeal (in Paris) |
| Judicial branch: | judge selection and term of office: judge appointment and tenure based on France's judicial system |
| Judicial branch: | subordinate courts: Courts of First Instance include: civil, juvenile, commercial, labor, police, criminal, assizes, and also a pre-trial investigation chamber; Joint Commerce Tribunal; administrative courts |
| Political parties and leaders: | Build Our Rainbow Nation |
| Political parties and leaders: | Caledonia Together or CE [Philippe GERMAIN] |
| Political parties and leaders: | Caledonian Union or UC [Daniel GOA] |
| Political parties and leaders: | Future Together (l'Avenir Ensemble) [Harold MARTIN] |
| Political parties and leaders: | Kanak Socialist Front for National Liberation or FLNKS (alliance includes PALIKA, UNI, UC, and UPM) [Victor TUTUGORO] |
| Political parties and leaders: | Labor Party (Parti Travailliste) or PT [Louis Kotra UREGEI] |
| Political parties and leaders: | National Union for Independence (Union Nationale pour l'Independance) or UNI |
| Political parties and leaders: | Party of Kanak Liberation (Parti de Liberation Kanak) or PALIKA [Paul NEAOUTYINE] |
| Political parties and leaders: | Socialist Kanak Liberation or LKS [Nidoish NAISSELINE] |
| Political parties and leaders: | The Republicans (formerly The Rally or UMP) [interim leader Thierry SANTA] |
| Political parties and leaders: | Union for Caledonia in France |
| International organization participation: | ITUC (NGOs), PIF (associate member), SPC, UPU, WFTU (NGOs), WMO |
| Diplomatic representation in the US: | none (overseas territory of France) |
| Diplomatic representation from the US: | none (overseas territory of France) |
| Flag description: | New Caledonia has two official flags; alongside the flag of France, the Kanak (indigenous Melanesian) flag has equal status; the latter consists of three equal horizontal bands of blue (top), red, and green; a large yellow disk - diameter two-thirds the height of the flag - shifted slightly to the hoist side is edged in black and displays a black fleche faitiere symbol, a native rooftop adornment |
| National symbol(s): | fleche faitiere (native rooftop adornment), kagu bird; national colors: gray, red |
| National anthem: | name: "Soyons unis, devenons freres" (Let Us Be United, Let Us Become Brothers) |
| National anthem: | lyrics/music: Chorale Melodia (a local choir) |
| National anthem: | note: adopted 2008; contains a mixture of lyrics in both French and Nengone (an indigenous language); as a self-governing territory of France, in addition to the local anthem, "La Marseillaise" is official (see France) |
