| Government | New Caledonia |
| --- | --- |
| Country name: | conventional long form: Territory of New Caledonia and Dependencies |
| Country name: | conventional short form: New Caledonia |
| Country name: | local long form: Territoire des Nouvelle-Caledonie et Dependances |
| Country name: | local short form: Nouvelle-Caledonie |
| Dependency status: | territorial collectivity of France since 1998 |
| Government type: | NA |
| Capital: | name: Noumea |
| Capital: | geographic coordinates: 22 16 S, 166 27 E |
| Capital: | time difference: UTC+11 (16 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | none (overseas territory of France); there are no first-order administrative divisions as defined by the US Government, but there are 3 provinces named Province des Iles, Province Nord, and Province Sud |
| Independence: | none (overseas territory of France); note - a referendum on independence was held in 1998 but did not pass; a new referendum is scheduled for 2014 |
| National holiday: | Bastille Day, 14 July (1789) |
| Constitution: | 4 October 1958 (French Constitution) |
| Legal system: | based on French civil law; the 1988 Matignon Accords grant substantial autonomy to the islands |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Nicolas SARKOZY (since 16 May 2007); represented by High Commissioner Yves DASSONVILLE (since 9 November 2007) |
| Executive branch: | head of government: President of the Government Philippe GOMES (since 5 June 2009) |
| Executive branch: | cabinet: Cabinet consisting of 11 members elected from and by the Territorial Congress |
| Executive branch: | elections: French president elected by popular vote for a five-year term; high commissioner appointed by the French president on the advice of the French Ministry of Interior; president of the government elected by the members of the Territorial Congress for a five-year term (no term limits); note - last election held 7 August 2007 when Harold MARTIN was elected following the resignation of Marie-Noelle THEMEREAU as president on 24 July 2007 (next to be held in 2012) |
| Legislative branch: | elections: unicameral Territorial Congress or Congres du territoire (54 seats; members belong to the three Provincial Assemblies or Assemblees Provinciales elected by popular vote to serve five-year terms) last held 9 May 2009 (next to be held in 10 May 2014) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - UMP 13, Caledonia Together 10, UC 8, UNI 8, AE 6, FLNKS 3, Labor Party 3, other 3 |
| Legislative branch: | note: New Caledonia holds two seats in the French Senate; elections last held 21 September 2008 (next to be held not later than September 2014); results - percent of vote by party - NA; seats by party - UMP 2; New Caledonia also elects two seats to the French National Assembly; elections last held 10 and 17 June 2007 (next to be held on June 2012); results - percent of vote by party - NA; seats by party - UMP 2 |
| Judicial branch: | Court of Appeal or Cour d'Appel; County Courts; Joint Commerce Tribunal Court; Children's Court |
| Political parties and leaders: | Alliance pour la Caledonie or APLC [Didier LE ROUX]; Caledonia Together [Philippe GOMES]; Caledonian Union or UC [Charles PIDJOT]; Federation des Comites de Coordination des Independantistes or FCCI [Francois BURCK]; Front National or FN [Jean-Marie LE PEN]; Front Uni de Liberation Kanak or FULK [Ernest UNE]; Labor Party or PT [Louis Kora UREGEI]; Kanak Socialist Front for National Liberation or FLNKS (includes PALIKA, UNI, UC, and UPM); Parti de Liberation Kanak or PALIKA [Paul NEAOUTYINE]; Rally for Caledonia or RPC [Jacques LAFLEUR]; The Future Together or AE [Didier LEROUX]; The Rally or UMP [Pierre FROGIER]; Union Nationale pour l'Independance or UNI; Union Progressiste Melanesienne or UPM [Victor TUTUGORO] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ITUC, PIF (associate member), SPC, UPU, WFTU, WMO |
| Diplomatic representation in the US: | none (overseas territory of France) |
| Diplomatic representation from the US: | none (overseas territory of France) |
| Flag description: | the flag of France is used |
