| Government | Tokelau |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Tokelau |
| Dependency status: | self-administering territory of New Zealand; note - Tokelau and New Zealand have agreed to a draft constitution as Tokelau moves toward free association with New Zealand; a UN-sponsored referendum on self governance in October 2007 did not produce the two-thirds majority vote necessary for changing the political status |
| Government type: | NA |
| Capital: | none; each atoll has its own administrative center |
| Capital: | time difference: UTC+14 (19 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | none (territory of New Zealand) |
| Independence: | none (territory of New Zealand) |
| National holiday: | Waitangi Day (Treaty of Waitangi established British sovereignty over New Zealand), 6 February (1840) |
| Constitution: | administered under the Tokelau Islands Act of 1948; amended in 1970 |
| Legal system: | common law system of New Zealand |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General of New Zealand Anand SATYANAND (since 23 August 2006); New Zealand is represented by Administrator Jonathan KINGS (since February 2011) |
| Executive branch: | head of government: Foua TOLOA (since 21 February 2009); note - position rotates annually among the 3 Faipule (village leaders) |
| Executive branch: | cabinet: the Council for the Ongoing Government of Tokelau, consisting of 3 Faipule (village leaders) and 3 Pulenuku (village mayors), functions as a cabinet |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; governor general appointed by the monarch; administrator appointed by the Minister of Foreign Affairs and Trade in New Zealand; the head of government chosen from the Council of Faipule and serves a one-year term |
| Legislative branch: | unicameral General Fono (20 seats; members elected by popular vote to serve three-year terms based upon proportional representation from the three islands - Atafu has 7 seats, Fakaofo has 7 seats, Nukunonu has 6 seats); note - the Tokelau Amendment Act of 1996 confers limited legislative power to the General Fono |
| Legislative branch: | elections: last held on 17-19 January 2008 (next to be held in 2011) |
| Legislative branch: | election results: independents 20 |
| Judicial branch: | Supreme Court in New Zealand exercises civil and criminal jurisdiction in Tokelau |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | none |
| International organization participation: | PIF (observer), SPC, UNESCO (associate), UPU |
| Diplomatic representation in the US: | none (territory of New Zealand) |
| Diplomatic representation from the US: | none (territory of New Zealand) |
| Flag description: | a yellow stylized Tokelauan canoe on a dark blue field sails toward the manu - the Southern Cross constellation of four, white, five-pointed stars at the hoist side; the Southern Cross represents the role of Christianity in Tokelauan culture and symbolizes the country's navigating into the future, the color yellow indicates happiness and peace, and the blue field represents the ocean on which the community relies |
| National symbol(s): | tuluma (fishing tackle box) |
| National anthem: | name: "Te Atua" (For the Almighty) |
| National anthem: | lyrics/music: unknown/Falani KALOLO |
| National anthem: | note: adopted 2008; in preparation for eventual self governance, Tokelau held a national contest to choose an anthem; as a territory of New Zealand, "God Defend New Zealand" and "God Save the Queen" are official (see New Zealand) |
