| Government | TONGA |
| --- | --- |
| Country name: | conventional long form: Kingdom of Tonga |
| Country name: | conventional short form: Tonga |
| Country name: | local long form: Pule'anga Tonga |
| Country name: | local short form: Tonga |
| Country name: | former: Friendly Islands |
| Country name: | etymology: "tonga" means "south" in the Tongan language and refers to the country's geographic position in relation to central Polynesia |
| Government type: | constitutional monarchy |
| Capital: | name: Nuku'alofa |
| Capital: | geographic coordinates: 21 08 S, 175 12 W |
| Capital: | time difference: UTC+13 (18 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 5 island divisions; 'Eua, Ha'apai, Ongo Niua, Tongatapu, Vava'u |
| Independence: | 4 June 1970 (from UK protectorate) |
| National holiday: | King's Official Birthday, 4 July (1959); Constitution Day (National Day), 4 November (1875) |
| Constitution: | adopted 4 November 1875, revised 1988; amended many times, last in 2014 (2016) |
| Legal system: | English common law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Tonga; if a child is born out of wedlock, the mother must be a citizen of Tonga |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: King TUPOU VI (since 18 March 2012); note - on 18 March 2012, King George TUPOU V died and his brother, Crown Prince TUPOUTO'A Lavaka, assumed the throne as TUPOU VI |
| Executive branch: | head of government: Prime Minister 'Akilisi POHIVA (since 30 December 2014) |
| Executive branch: | cabinet: Cabinet nominated by the prime minister and appointed by the monarch |
| Executive branch: | elections/appointments: the monarchy is hereditary; prime minister and deputy prime minister indirectly elected by the Legislative Assembly and appointed by the monarch; election last held on 21 December 2010 (next to be held in November 2014) |
| Executive branch: | election results: 'Akilisi POHIVA (Democratic Party of the Friendly Islands) elected prime minister by parliament on 29 December 2014; vote - 15 of 26 votes |
| Executive branch: | note: a Privy Council advises the monarch |
| Legislative branch: | description: unicameral Legislative Assembly or Fale Alea (26 seats; 17 people's representatives directly elected in single-seat constituencies by simple majority vote and 9 indirectly elected by hereditary leaders; members serve 3-year terms) |
| Legislative branch: | elections: last held on 27 November 2014 (next to be held in 2017) |
| Legislative branch: | election results: percent of vote - NA; seats by party - Democratic Party 9, noble's representatives 9, independent 8 |
| Judicial branch: | highest court(s): Court of Appeal (consists of the court president and a number of judges determined by the monarch); note - appeals beyond the Court of Appeal are brought before the King in Privy Council, the monarch's advisory organ that has both judicial and legislative powers |
| Judicial branch: | judge selection and term of office: judge appointments and tenures made by the King in Privy Council, judge appointments subject to consent of the Legislative Assembly |
| Judicial branch: | subordinate courts: Supreme Court; Magistrate's Courts; Land Courts |
| Political parties and leaders: | Democratic Party of the Friendly Islands [Samuela 'Akilisi POHIVA] |
| Political parties and leaders: | People's Democratic Party or PDP [Tesina FUKO] |
| Political parties and leaders: | Sustainable Nation-Building Party [Sione FONUA] |
| Political parties and leaders: | Tonga Democratic Labor Party |
| Political parties and leaders: | Tonga Human Rights and Democracy Movement or THRDM |
| Political pressure groups and leaders: | Human Rights and Democracy Movement Tonga or HRDMT [Rev. Simote VEA, chairman] |
| Political pressure groups and leaders: | Public Servant's Association [Finau TUTONE] |
| International organization participation: | ACP, ADB, AOSIS, C, FAO, G-77, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, IHO, IMF, IMO, IMSO, Interpol, IOC, IPU, ITU, ITUC (NGOs), OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mahe'uli'uli Sandhurst TUPOUNIUA (since 10 September 2013) |
| Diplomatic representation in the US: | chancery: 250 E. 51st Street, New York, NY, 10022 |
| Diplomatic representation in the US: | telephone: [1] (917) 369-1025 |
| Diplomatic representation in the US: | FAX: [1] (917) 369-1024 |
| Diplomatic representation in the US: | consulate(s) general: San Francisco |
| Diplomatic representation from the US: | the US does not have an embassy in Tonga; the US Ambassador to Fiji is accredited to Tonga |
| Flag description: | red with a bold red cross on a white rectangle in the upper hoist-side corner; the cross reflects the deep-rooted Christianity in Tonga; red represents the blood of Christ and his sacrifice; white signifies purity |
| National symbol(s): | red cross on white field, arms equal length; national colors: red, white |
| National anthem: | name: "Ko e fasi `o e tu"i `o e `Otu Tonga" (Song of the King of the Tonga Islands) |
| National anthem: | lyrics/music: Uelingatoni Ngu TUPOUMALOHI/Karl Gustavus SCHMITT |
| National anthem: | note: in use since 1875; more commonly known as "Fasi Fakafonua" (National Song) |
