| Government | Kyrgyzstan |
| --- | --- |
| Country name: | conventional long form: Kyrgyz Republic |
| Country name: | conventional short form: Kyrgyzstan |
| Country name: | local long form: Kyrgyz Respublikasy |
| Country name: | local short form: Kyrgyzstan |
| Country name: | former: Kirghiz Soviet Socialist Republic |
| Government type: | republic |
| Capital: | name: Bishkek |
| Capital: | geographic coordinates: 42 54 N, 74 36 E |
| Capital: | time difference: UTC+6 (11 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 7 provinces (oblastlar, singular - oblasty) and 1 city* (shaar); Batken Oblasty, Bishkek Shaary*, Chuy Oblasty (Bishkek), Jalal-Abad Oblasty, Naryn Oblasty, Osh Oblasty, Talas Oblasty, Ysyk-Kol Oblasty (Karakol) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 31 August 1991 (from Soviet Union) |
| National holiday: | Independence Day, 31 August (1991) |
| Constitution: | adopted 5 May 1993; note - amendment proposed by President Askar AKAYEV and passed in a national referendum on 2 February 2003 significantly expands the powers of the president at the expense of the legislature; following the spring 2005 demonstrations, a new Constitutional Council was appointed and the reform process is ongoing |
| Legal system: | based on civil law system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Kurmanbek BAKIYEV (since 14 August 2005); note - former President Askar AKAYEV resigned effective 11 April 2005 following widespread protests that forced him to flee the country on 24 March 2005 |
| Executive branch: | head of government: Prime Minister Feliks KULOV (since 1 September 2005); First Deputy Prime Minister Daniyar USENOV (since 10 May 2006) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president on the recommendation of the prime minister; note - the new constitution of November 2006 calls for the legislature to appoint the prime minister and members of the Cabinet after the elections of 2010 |
| Executive branch: | elections: Kurmanbek BAKIYEV elected by popular vote for a five-year term (eligible for a second term); election last held 10 July 2005 (next scheduled for 2010); prime minister nominated by the president for approval by Parliament; note - the new constitution of November 2006 calls for the legislature to appoint the prime minister and members of the Cabinet after the elections of 2010 |
| Executive branch: | election results: Kurmanbek BAKIYEV elected president; percent of vote - Kurmanbek BAKIYEV 88.6%, Tursunbai BAKIR-UULU 3.9%, other candidates 7.5%; Feliks KULOV approved as prime minister 55-8 |
| Legislative branch: | unicameral Supreme Council or Jorgorku Kenesh (75 seats; members are elected by popular vote to serve five year terms) |
| Legislative branch: | elections: elections for the new unicameral body or Jorgorku Kenesh were held 27 February 2005, but the vast majority of positions remained undecided and were contested in a runoff election on 13 March 2005; election irregularities caused widespread protests that resulted in the president being forced to flee the country |
| Legislative branch: | election results: Supreme Council - percent of vote by party - NA; seats by party - NA |
| Judicial branch: | Supreme Court (judges are appointed for 10-year terms by the Supreme Council on the recommendation of the president); Constitutional Court; Higher Court of Arbitration |
| Political parties and leaders: | Adilet (Justice) Party [Toychubek KASYMOV]; Agrarian Labor Party of Kyrgyzstan [Uson SYDYKOV]; Agrarian Party of Kyrgyzstan [Erkin ALIYEV]; Alga, Kyrgyzstan (Forward, Kyrgyzstan) [Bolot BEGALIYEV]; Ar-Namys (Dignity) Party [Emil ALIYEV]; Asaba (Banner National Revival Party) [Azimbek BEKNAZAROV]; Ata-Meken (Fatherland) [Omurbek TEKEBAYEV]; Communist Party of Kyrgyzstan [Klara ADZHIBEKOVA]; Democratic Movement of Kyrgyzstan or DDK [Jypar JEKSHEYEV]; Erkin Kyrgyzstan Progressive and Democratic Party [Bektur ASANOV]; Erkindik (Freedom) Party [Topchubek TURGUNALIYEV]; Future of Kyrgyzstan [Balbak TULEBAYEV]; Jany Kyrgyzstan (New Kyrgyzstan) [Dosbol NUR UULU]; Kairan El [Dooronbek SADYKOV]; Kyrgyz National Party [Bakyt BESHIMOV]; Kyrgyzstan Kelechegi [Ruslan CHYNYBAYEV]; Manas El (Party of Spiritual Restoration) [Chingiz AITMATOV]; Moya Strana (My Country Party of Action) [Joomart OTORBAYEV]; Party of Communists of Kyrgyzstan or KCP [Bakytbek BEKBOYEV]; Party of Justice and Progress [Muratbek IMANALIEV]; Party of Peasants [Esengul ISAKOV] |
| Political pressure groups and leaders: | Council of Free Trade Unions; Kyrgyz Committee on Human Rights [Ramazan DYRYLDAYEV]; National Unity Democratic Movement; Union of Entrepreneurs |
| International organization participation: | AsDB, CIS, EAPC, EBRD, ECO, FAO, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, MIGA, NAM (observer), OIC, OPCW, OSCE, PCA, PFP, SCO, UN, UNCTAD, UNESCO, UNIDO, UNMIL, UNMIS, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Zamira SYDYKOVA |
| Diplomatic representation in the US: | chancery: 2360 Massachusetts Ave. NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 338-5141 |
