| Government | Kyrgyzstan |
| --- | --- |
| Country name: | conventional long form: Kyrgyz Republic |
| Country name: | conventional short form: Kyrgyzstan |
| Country name: | local long form: Kyrgyz Respublikasy |
| Country name: | local short form: Kyrgyzstan |
| Country name: | former: Kirghiz Soviet Socialist Republic |
| Country name: | etymology: a combination of the Turkic words "kyrg" (forty) and "-yz" (tribes) with the Persian suffix "-stan" (country) creating the meaning "Land of the Forty Tribes"; the name refers to the 40 clans united by the legendary Kyrgyz hero, MANAS |
| Government type: | parliamentary republic |
| Capital: | name: Bishkek |
| Capital: | geographic coordinates: 42 52 N, 74 36 E |
| Capital: | time difference: UTC+6 (11 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: founded in 1868 as a Russian settlement on the site of a previously destroyed fortress named "Pishpek"; the name was retained and overtime became "Bishkek" |
| Administrative divisions: | 7 provinces (oblustar, singular - oblus) and 2 cities* (shaarlar, singular - shaar); Batken Oblusu, Bishkek Shaary*, Chuy Oblusu (Bishkek), Jalal-Abad Oblusu, Naryn Oblusu, Osh Oblusu, Osh Shaary*, Talas Oblusu, Ysyk-Kol Oblusu (Karakol) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 31 August 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 31 August (1991) |
| Constitution: | history: previous 1993; latest adopted by referendum 27 June 2010, effective 2 July 2010; note - constitutional amendments that bolstered some presidential powers and transferred others from the president to the prime minister passed in a referendum in December 2016, effective December 2017 |
| Constitution: | amendments: proposed as a draft law by the majority of the Supreme Council membership or by petition of 300,000 voters; passage requires at least two-thirds majority vote of the Council membership in each of at least three readings of the draft two months apart; the draft may be submitted to a referendum if approved by two thirds of the Council membership; adoption requires the signature of the president; amended 2017 |
| Legal system: | civil law system, which includes features of French civil law and Russian Federation laws |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Kyrgyzstan |
| Citizenship: | dual citizenship recognized: yes, but only if a mutual treaty on dual citizenship is in force |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Acting President Talant MAMYTOV (since 14 November 2020); President Sooronbay JEENBEKOV resigned on 16 October 2020 following massive protests brought on by disputed legislative election results of 4 October 2020Â  |
| Executive branch: | head of government: Acting Prime Minister Artem NOVIKOV (since 14 November 2020); note - Prime Minister Kubatbek BORONOV resigned on 9 October 2020 following massive protests brought on by disputed legislative election results of 4 October 2020Â  |
| Executive branch: | cabinet: Cabinet of Ministers proposed by the prime minister, appointed by the president upon approval by the Supreme Council; defense and security committee chairs appointed by the presidentÂ  |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a single 6-year term; election last held on 15 October 2017 (next to be held 10 January 2021); prime minister nominated by the majority party or majority coalition in the Supreme Council, appointed by the president upon approval by the Supreme Council |
| Executive branch: | election results: Sooronbay JEENBEKOV elected president in first round; percent of vote - Sooronbay JEENBEKOV (SDPK) 54.2%, Omurbek BABANOV (Respublika) 33.5%, Adakhan MADUMAROV (Butun Kyrgyzstan) 6.6%, Temir SARIYEV (Akshumar) 2.5%, other 3.2%; note - JEENBEKOV resigned as president on 16 October 2020; BORONOV resigned as prime minister on 9 October 2020 |
| Legislative branch: | description: unicameral Supreme Council or Jogorku Kengesh (120 seats; parties directly elected in a single nationwide constituency by closed party-list proportional representation vote; members selected from party lists to serve 5-year terms) |
| Legislative branch: | elections: last held on 4 October 2020 (next to be held NA); note - the results of the 2020 election were annulled on 6 October 2020 following mass protests |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NA |
| Judicial branch: | highest courts: Supreme Court (consists of 25 judges); Constitutional Chamber of the Supreme Court (consists of the chairperson, deputy chairperson, and 9 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court and Constitutional Court judges appointed by the Supreme Council on the recommendation of the president; Supreme Court judges serve for 10 years, Constitutional Court judges serve for 15 years; mandatory retirement at age 70 for judges of both courts |
| Judicial branch: | subordinate courts: Higher Court of Arbitration; oblast (provincial) and city courts |
| Political parties and leaders: | Ata-Meken (Fatherland) [Almambet SHYKMAMATOV] |
| Political parties and leaders: | Bir Bol (Stay United) [Altynbek SULAYMANOV] |
| Political parties and leaders: | Kyrgyzstan Party [Almazbek BAATYRBEKOV] |
| Political parties and leaders: | Onuguu-Progress (Development-Progress) [Bakyt TOROBAEV] |
| Political parties and leaders: | Respublika-Ata-Jurt (Republic-Homeland) [Jyrgalbek TURUSKULOV] (parliamentary faction) |
| Political parties and leaders: | Social-Democratic Party of Kyrgyzstan or SDPK [Almazbek ATAMBAEV, Isa OMURKULOV] |
