| Government | Kyrgyzstan |
| --- | --- |
| Country name: | conventional long form: Kyrgyz Republic |
| Country name: | conventional short form: Kyrgyzstan |
| Country name: | local long form: Kyrgyz Respublikasy |
| Country name: | local short form: none |
| Country name: | former: Kirghiz Soviet Socialist Republic |
| Government type: | republic |
| Capital: | Bishkek |
| Administrative divisions: | 7 provinces (oblastlar, singular - oblasty) and 1 city* (shaar); Batken Oblasty, Bishkek Shaary*, Chuy Oblasty (Bishkek), Jalal-Abad Oblasty, Naryn Oblasty, Osh Oblasty, Talas Oblasty, Ysyk-Kol Oblasty (Karakol) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 31 August 1991 (from Soviet Union) |
| National holiday: | Independence Day, 31 August (1991) |
| Constitution: | adopted 5 May 1993; note - amendment proposed by President AKAYEV and passed in a national referendum on 2 February 2003 significantly expands the powers of the president at the expense of the legislature |
| Legal system: | based on civil law system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Kurmanbek BAKIYEV (since 14 August 2005); note - former President Askar AKAYEV resigned effective 11 April 2005 following widespread protests that forced him to flee the country on 24 March 2005 |
| Executive branch: | head of government: Prime Minister Feliks KULOV (since 1 September 2005) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections: Kurmanbek BAKIYEV elected by popular vote for a five-year term; election last held 10 July 2005 (next scheduled for NA 2010); prime minister nominated by the president for approval by Parliament |
| Executive branch: | election results: Kurmanbek BAKIYEV elected president; percent of vote - Kurmanbek BAKIYEV 88.6%, Tursunbai BAKIR-UULU 3.9%, other candidates 7.5%; Feliks KULOV approved as prime minister 55-8 |
| Legislative branch: | bicameral Supreme Council or Jorgorku Kenesh consists of the Assembly of People's Representatives (70 seats; members are elected by popular vote to serve five-year terms) and the Legislative Assembly (35 seats; members are elected by popular vote to serve five-year terms); note - in accordance with a 2003 referendum, the Parliament is slated to become unicameral with 75 deputies after the 27 February 2005 elections |
| Legislative branch: | elections: Assembly of People's Representatives - last held 20 February and 12 March 2000; Legislative Assembly - last held 20 February and 12 March 2000; elections for the new unicameral body or Jorgorku Kenesh were held 27 February 2005, but the vast majority of positions remained undecided and were to be contested in a runoff election scheduled for 13 March 2005; election irregularities caused widespread protests that resulted in the president being forced to flee the country; new legislative elections have not yet been rescheduled |
| Legislative branch: | election results: Assembly of People's Representatives - percent of vote by party - NA%; seats by party - NA; and Legislative Assembly - percent of vote by party - NA%; seats by party - NA; note - total seats by party in the Supreme Council were as follows: Union of Democratic Forces 12, Communists 6, My Country Party of Action 4, independents 73, other 10 |
| Legislative branch: | note: the legislature became bicameral for the 5 February 1995 elections; the 2000 election results include both the Assembly of People's Representatives and the Legislative Assembly |
| Judicial branch: | Supreme Court (judges are appointed for 10-year terms by the Supreme Council on the recommendation of the president); Constitutional Court; Higher Court of Arbitration |
| Political parties and leaders: | Adilet (Justice) Party [Toychubek KASYMOV]; Agrarian Labor Party of Kyrgyzstan [Uson SYDYKOV]; Agrarian Party of Kyrgyzstan [Erkin ALIYEV]; Alga, Kyrgyzstan (Forward, Kyrgyzstan) [Bolot BEGALIYEV]; Ar-Namys (Dignity) Party [Emil ALIYEV]; Asaba (Banner National Revival Party) [Azimbek BEKNAZAROV]; Ata-Meken (Fatherland) [Omurbek TEKEBAYEV]; Communist Party of Kyrgyzstan [Klara ADZHIBEKOVA]; Democratic Movement of Kyrgyzstan or DDK [Jypar JEKSHEYEV]; Erkin Kyrgyzstan Progressive and Democratic Party [Bektur ASANOV]; Erkindik (Freedom) Party [Topchubek TURGUNALIYEV]; Future of Kyrgyzstan [Balbak TULEBAYEV]; Jany Kyrgyzstan (New Kyrgyzstan) [Dosbol NUR UULU]; Kairan El [Dooronbek SADYKOV]; Kyrgyz National Party [Bakyt BESHIMOV]; Kyrgyzstan Kelechegi [Ruslan CHYNYBAYEV]; Manas El (Party of Spiritual Restoration) [Chingiz AITMATOV]; Moya Strana (My Country Party of Action) [Joomart OTORBAYEV]; Party of Communists of Kyrgyzstan or KCP [Bakytbek BEKBOYEV]; Party of Justice and Progress [Muratbek IMANALIEV]; Party of Peasants [Esengul ISAKOV] |
| Political pressure groups and leaders: | Council of Free Trade Unions; Kyrgyz Committee on Human Rights [Ramazan DYRYLDAYEV]; National Unity Democratic Movement; Union of Entrepreneurs |
| International organization participation: | AsDB, CIS, EAPC, EBRD, ECO, FAO, IAEA, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, ISO (correspondent), ITU, MIGA, NAM (observer), OIC, OPCW, OSCE, PCA, PFP, SCO, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNMIK, UNMIL, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Zamira SYDYKOVA |
