| Government | Barbados |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Barbados |
| Government type: | parliamentary democracy |
| Capital: | name: Bridgetown |
| Capital: | geographic coordinates: 13 06 N, 59 37 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 11 parishes and 1 city*; Bridgetown*, Christ Church, Saint Andrew, Saint George, Saint James, Saint John, Saint Joseph, Saint Lucy, Saint Michael, Saint Peter, Saint Philip, Saint Thomas |
| Independence: | 30 November 1966 (from UK) |
| National holiday: | Independence Day, 30 November (1966) |
| Constitution: | 30 November 1966 |
| Legal system: | English common law; no judicial review of legislative acts; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Sir Clifford Straughn HUSBANDS (since 1 June 1996) |
| Executive branch: | head of government: Prime Minister Owen Seymour ARTHUR (since 7 September 1994); Deputy Prime Minister Mia MOTTLEY (since 26 May 2003) |
| Executive branch: | cabinet: Cabinet appointed by the governor general on the advice of the prime minister |
| Executive branch: | elections: none; the monarch is hereditary; governor general appointed by the monarch; following legislative elections, the leader of the majority party or the leader of the majority coalition is usually appointed prime minister by the governor general; the prime minister recommends the deputy prime minister |
| Legislative branch: | bicameral Parliament consists of the Senate (21 seats; members appointed by the governor general) and the House of Assembly (30 seats; members are elected by direct popular vote to serve five-year terms) |
| Legislative branch: | elections: House of Assembly - last held 21 May 2003 (next to be held by May 2008) |
| Legislative branch: | election results: House of Assembly - percent of vote by party - NA; seats by party - BLP 23, DLP 7 |
| Judicial branch: | Supreme Court of Judicature (judges are appointed by the Service Commissions for the Judicial and Legal Services); Caribbean Court of Justice is the highest court of appeal |
| Political parties and leaders: | Barbados Labor Party or BLP [Owen ARTHUR]; Democratic Labor Party or DLP [David THOMPSON]; People's Empowerment Party or PEP [David COMISSIONG] |
| Political pressure groups and leaders: | Barbados Secondary Teachers' Union or BSTU [Patrick FROST]; Barbados Union of Teachers or BUT [Herbert GITTENS]; Congress of Trade Unions and Staff Associations of Barbados or CTUSAB, which includes the BWU, NUPW, BUT, and BSTU [Leroy TROTMAN]; Barbados Workers Union or BWU [Leroy TROTMAN]; Clement Payne Labor Union [David COMISSIONG]; National Union of Public Workers [Joseph GODDARD] |
| International organization participation: | ACP, C, Caricom, CDB, FAO, G-77, IADB, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO, ITSO, ITU, ITUC, LAES, MIGA, NAM, OAS, OPANAL, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Michael Ian KING |
| Diplomatic representation in the US: | chancery: 2144 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-9200 |
| Diplomatic representation in the US: | FAX: [1] (202) 332-7467 |
| Diplomatic representation in the US: | consulate(s) general: Miami, New York |
| Diplomatic representation in the US: | consulate(s): Los Angeles |
| Diplomatic representation from the US: | chief of mission: Ambassador Mary M. OURISMAN |
| Diplomatic representation from the US: | embassy: U.S. Embassy, Wildey Business Park, Wildey, St. Michael |
| Diplomatic representation from the US: | mailing address: P. O. Box 302, Bridgetown; CMR 1014, APO AA 34055 |
| Diplomatic representation from the US: | telephone: [1] (246) 436-4950 |
| Diplomatic representation from the US: | FAX: [1] (246) 429-5246, 429-3379 |
| Flag description: | three equal vertical bands of blue (hoist side), gold, and blue with the head of a black trident centered on the gold band; the trident head represents independence and a break with the past (the colonial coat of arms contained a complete trident) |
