| Government | Barbados |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Barbados |
| Country name: | etymology: the name derives from the Portuguese "as barbadas," which means "the bearded ones" and can refer either to the long, hanging roots of the island's bearded fig trees or to the alleged beards of the native Carib inhabitants |
| Government type: | parliamentary democracyÂ under a constitutional monarchy; a Commonwealth realm |
| Capital: | name: Bridgetown |
| Capital: | geographic coordinates: 13 06 N, 59 37 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: named after a bridge constructed over the swampy area (known as the Careenage) around the Constitution River that flows through the center of Bridgetown |
| Administrative divisions: | 11 parishes and 1 city*; Bridgetown*, Christ Church, Saint Andrew, Saint George, Saint James, Saint John, Saint Joseph, Saint Lucy, Saint Michael, Saint Peter, Saint Philip, Saint Thomas |
| Independence: | 30 November 1966 (from the UK) |
| National holiday: | Independence Day, 30 November (1966) |
| Constitution: | history: adopted 22 November 1966, effective 30 November 1966 |
| Constitution: | amendments: proposed by Parliament; passage of amendments to constitutional sections such as citizenship, fundamental rights and freedoms, and the organization and authorities of the branches of government requires two-thirds majority vote by the membership of both houses of Parliament; passage of other amendments only requires a majority vote of both houses; amended several times, last in 2010 |
| Legal system: | English common law; no judicial review of legislative acts |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent only: yes |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Sandra MASON (since 8 January 2018) |
| Executive branch: | head of government: Prime Minister Mia MOTTLEY (since 25 May 2018) |
| Executive branch: | cabinet: Cabinet appointed by the governor general on the advice of the prime minister |
| Executive branch: | elections/appointments: the monarchy is hereditary; governor general appointed by the monarch; following legislative elections, the leader of the majority party or leader of the majority coalition usually appointed prime minister by the governor general; the prime minister recommends the deputy prime minister |
| Legislative branch: | description: bicameral Parliament consists of: |
| Legislative branch: | Senate (21 seats; members appointed by the governor general - 12 on the advice of the Prime Minister, 2 on the advice of the opposition leader, and 7 at the discretion of the governor general) |
| Legislative branch: | House of Assembly (30 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Senate - last appointments on 5 June 2018 (next appointments NA) |
| Legislative branch: | House of Assembly - last held on 24 May 2018 (next to be held in 2023) |
| Legislative branch: | election results: |
| Legislative branch: | Senate - appointed; composition - men 16, women 5, percent of women 23.8% |
| Legislative branch: | House of Assembly - percent of vote by party - BLP 74.6%, DLP 22.6%, other 2.8%; seats by party - BLP 30; composition - men 24, women 6, percent of women 20%; note - total Parliament percent of women 21.6% |
| Legislative branch: | note: tradition dictates that the election is held within 5 years of the last election, but constitutionally it is 5 years from the first seating of Parliament plus a 90-day grace period |
| Judicial branch: | highest courts: Supreme Court (consists of the High Court with 8 justices) and the Court of Appeal (consists of the High Court chief justice and president of the court and 4 justices; note - in 2005, Barbados acceded to the Caribbean Court of Justice as the final court of appeal, replacing that of the Judicial Committee of the Privy Council (in London) |
| Judicial branch: | judge selection and term of office: Supreme Court chief justice appointed by the governor general on the recommendation of the prime minister and opposition leader of Parliament; other justices appointed by the governor general on the recommendation of the Judicial and Legal Service Commission, a 5-member independent body consisting of the Supreme Court chief justice, the commission head, and governor general appointees recommended by the prime minister; justices serve until mandatory retirement at age 65 |
| Judicial branch: | subordinate courts: Magistrates' Courts |
| Political parties and leaders: | Bajan Free Party [Alex MITCHELL] |
| Political parties and leaders: | Barbados Integrity Movement [Neil HOLDER] |
| Political parties and leaders: | Barbados Labor Party or BLP [Mia MOTTLEY] |
| Political parties and leaders: | Democratic Labor Party or DLP [Freundel STUART] |
| Political parties and leaders: | Peopleâ€™s Democratic Congress [Mark ADAMSON] |
| Political parties and leaders: | People's Empowerment Party or PEP [David COMISSIONG] |
| Political parties and leaders: | Solutions Barbados [Grenville PHILLIPS II] |
| Political parties and leaders: | United Progressive Party or UPP [Lynette EASTMOND] |
| International organization participation: | ACP, AOSIS, C, Caricom, CDB, CELAC, FAO, G-77, IADB, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO, ITSO, ITU, ITUC (NGOs), LAES, MIGA, NAM, OAS, OPANAL, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Noel Anderson LYNCH (sinceÂ 11 January 2019) |
| Diplomatic representation in the US: | chancery: 2144 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 939-9200 |
