| Government | Malaysia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Malaysia |
| Country name: | local long form: none |
| Country name: | local short form: Malaysia |
| Country name: | former: Federation of Malaya |
| Country name: | etymology: the name means "Land of the Malays" |
| Government type: | federal parliamentary constitutional monarchy |
| Government type: | note: all Peninsular Malaysian states have hereditary rulers (commonly referred to as sultans) except Melaka (Malacca) and Pulau Pinang (Penang); those two states along with Sabah and Sarawak in East Malaysia have governors appointed by government; powers of state governments are limited by federal constitution; under terms of federation, Sabah and Sarawak retain certain constitutional prerogatives (e.g., right to maintain their own immigration controls) |
| Capital: | name: Kuala Lumpur; note - nearby Putrajaya is referred to as a federal government administrative center but not the capital; Parliament meets in Kuala Lumpur |
| Capital: | geographic coordinates: 3 10 N, 101 42 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 13 states (negeri-negeri, singular - negeri); Johor, Kedah, Kelantan, Melaka, Negeri Sembilan, Pahang, Perak, Perlis, Pulau Pinang, Sabah, Sarawak, Selangor, Terengganu; and 1 federal territory (Wilayah Persekutuan) with 3 components, Kuala Lumpur, Labuan, and Putrajaya |
| Independence: | 31 August 1957 (from the UK) |
| National holiday: | Independence Day (or Merdeka Day), 31 August (1957) (independence of Malaya); Malaysia Day, 16 September (1963) (formation of Malaysia) |
| Constitution: | history: previous 1948; latest drafted 21 February 1957, effective 27 August 1957 (2017) |
| Constitution: | amendments: proposed as a "bill" by Parliament; passage requires at least two-thirds majority vote by the Parliament membership in the billâ€™s second and third readings; a number of constitutional sections are excluded from amendment or repeal; amended many times, last in 2010 (2017) |
| Legal system: | mixed legal system of English common law, Islamic law, and customary law; judicial review of legislative acts in the Federal Court at request of supreme head of the federation |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Malaysia |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 out 12 years preceding application |
| Suffrage: | 21 years of age; universal |
| Judicial branch: | highest courts: Federal Court (consists of the chief justice, president of the Court of Appeal, chief justice of the High Court of Malaya, chief judge of the High Court of Sabah and Sarawak, 8 judges, and 1 "additional" judge); note - Malaysia has a dual judicial hierarchy of civil and religious (sharia) courts |
| Judicial branch: | judge selection and term of office: Federal Court justices appointed by the monarch on advice of the prime minister; judges serve until mandatory retirement at age 66 with the possibility of 6-month extensions |
| Judicial branch: | subordinate courts: Court of Appeal; High Court; Sessions Court; Magistrates' Court |
| Executive branch: | chief of state: King MUHAMMAD V (formerly known as Tuanku Muhammad Faris Petra) (selected on 14 October 2016; installed on 13 December 2016); note - the position of the king is primarily ceremonial, but he is the final arbiter on the appointment of the prime minister |
| Executive branch: | head of government: Prime Minister MAHATHIR Mohamad (since 10 May 2018); Deputy Prime Minister WAN AZIZAH Wan Ismail (since 10 May 2018) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister from among members of Parliament with the consent of the king |
| Executive branch: | elections/appointments: king elected by and from the hereditary rulers of 9 states for a 5-year term; election is on a rotational basis among rulers of the 9 states; election last held on 14 October 2016 (next to be held in 2021); prime minister designated from among members of the House of Representatives; following legislative elections, the leader who commands support of the majority of members in the House becomes prime minister |
| Legislative branch: | description: bicameral Parliament or Parlimen consists of: |
| Legislative branch: | Senate or Dewan Negara (70 seats; 44 members appointed by the king and 26 indirectly elected by 13 state legislatures; members serve 3-year terms) |
| Legislative branch: | House of Representatives or Dewan Rakyat (222 seats; members directly elected in single-seat constituencies by simple majority vote to serve 5-year terms) |
| Legislative branch: | elections: Â  |
| Legislative branch: | Senate - appointed |
| Legislative branch: | House of Representatives - last held on 9 May 2018 (next to be held in 2023) |
| Legislative branch: | election results: |
| Legislative branch: | Senate - appointed; composition - men 54, women 14, percent of women 20.6% |
| Legislative branch: | House of Representatives - percent of vote by party/coalition - PH 45.6%, BN 33.8%, PAS 16.9%, WARISAN 2.3%, other 1.4%; seats by party/coalition - PH 113, BN 79, PAS 18, WARISAN 8, STAR 1, independent 3; composition - men 199, women 23, percent of women 10.4%; note - total Parliament percent of women 12.8% |
| Political parties and leaders: | National Front (Barisan Nasional) or BN: |
| Political parties and leaders: | Malaysian Chinese Association (Persatuan China Malaysia) or MCA [LIOW Tiong Lai] |
| Political parties and leaders: | Malaysian Indian Congress (Kongres India Malaysia) or MIC [S. SUBRAMANIAM] |
| Political parties and leaders: | United Malays National Organization or UMNO [Ahmad ZAHID Hamidi] |
| Political parties and leaders: | Coalition of Hope (Pakatan Harapan) or PH (formerly the People's Alliance): |
| Political parties and leaders: | Democratic Action Party (Parti Tindakan Demokratik) or DAP [TAN Kok Wai] |
