| Government | Malaysia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Malaysia |
| Country name: | local long form: none |
| Country name: | local short form: Malaysia |
| Country name: | former: Federation of Malaya |
| Government type: | constitutional monarchy |
| Government type: | note: nominally headed by paramount ruler (commonly referred to as the King) and a bicameral Parliament consisting of a nonelected upper house and an elected lower house; all Peninsular Malaysian states have hereditary rulers (commonly referred to as sultans) except Melaka and Pulau Pinang (Penang); those two states along with Sabah and Sarawak in East Malaysia have governors appointed by government; powers of state governments are limited by federal constitution; under terms of federation, Sabah and Sarawak retain certain constitutional prerogatives (e.g., right to maintain their own immigration controls) |
| Capital: | name: Kuala Lumpur |
| Capital: | geographic coordinates: 3 10 N, 101 42 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC during Standard Time) |
| Capital: | note: Putrajaya is referred to as administrative center not capital; Parliament meets in Kuala Lumpur |
| Administrative divisions: | 13 states (negeri-negeri, singular - negeri) Johor, Kedah, Kelantan, Melaka, Negeri Sembilan, Pahang, Perak, Perlis, Pulau Pinang, Sabah, Sarawak, Selangor, and Terengganu; and 1 federal territory (Wilayah Persekutuan) with three components, city of Kuala Lumpur, Labuan, and Putrajaya |
| Independence: | 31 August 1957 (from the UK) |
| National holiday: | Independence Day/Malaysia Day, 31 August (1957) |
| Constitution: | 31 August 1957; amended many times the latest in 2007 |
| Legal system: | based on English common law; judicial review of legislative acts in the Supreme Court at request of supreme head of the federation; Islamic law is applied to Muslims in matters of family law and religion; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: King - Sultan MIZAN Zainal Abidin (since 13 December 2006); (the position of the king is primarily ceremonial) |
| Executive branch: | head of government: Prime Minister Mohamed NAJIB bin Abdul Razak (since 3 April 2009); Deputy Prime Minister MUHYIDDIN bin Mohamed Yassin (since 9 April 2009) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister from among the members of Parliament with consent of the king |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: kings elected by and from the hereditary rulers of nine of the states for five-year terms; selection based on principle of rotation among rulers of states; election last held on 3 November 2006 (next to be held in 2011); prime minister designated from among the members of the House of Representatives; following legislative elections, the leader who commands the support of the majority of members in the House becomes prime minister (since independence this has been the leader of the UMNO party) |
| Executive branch: | election results: Sultan MIZAN Zainal Abidin elected king |
| Legislative branch: | bicameral Parliament or Parlimen consists of Senate or Dewan Negara (70 seats; 44 members appointed by the king, 26 elected by 13 state legislatures to serve three-year terms with a two term limit) and House of Representatives or Dewan Rakyat (222 seats; members elected by popular vote to serve up to five-year terms) |
| Legislative branch: | elections: House of Representatives - last held on 8 March 2008 (next to be held by June 2013) |
| Legislative branch: | election results: House of Representatives - percent of vote - BN coalition 50.3%, opposition parties 46.8%, others 2.9%; seats - BN coalition 140, opposition parties 82 |
| Judicial branch: | civil courts include Federal Court, Court of Appeal, High Court of Malaya on peninsula Malaysia, and High Court of Sabah and Sarawak in states of Borneo (judges are appointed by the king on the advice of the prime minister); sharia courts include Sharia Appeal Court, Sharia High Court, and Sharia Subordinate Courts at state-level and deal with religious and family matters such as custody, divorce, and inheritance only for Muslims; decisions of sharia courts cannot be appealed to civil courts |
| Political parties and leaders: | National Front (Barisan Nasional) or BN (ruling coalition) consists of the following parties: Gerakan Rakyat Malaysia Party or PGRM [KOH Tsu Koon]; Liberal Democratic Party (Parti Liberal Demokratik - Sabah) or LDP [LIEW Vui Keong]; Malaysian Chinese Association (Persatuan China Malaysia) or MCA [CHUA Soi Lek]; Malaysian Indian Congress (Kongres India Malaysia) or MIC [Govindasamy PALANIVEL]; Parti Bersatu Rakyat Sabah or PBRS [Joseph KURUP]; Parti Bersatu Sabah or PBS [Joseph PAIRIN Kitingan]; Parti Pesaka Bumiputera Bersatu or PBB [Abdul TAIB Mahmud]; Parti Rakyat Sarawak or PRS [James MASING]; Sarawak United People's Party (Parti Bersatu Rakyat Sarawak) or SUPP [George CHAN Hong Nam]; United Malays National Organization or UMNO [NAJIB bin Abdul Razak]; United Pasokmomogun Kadazandusun Murut Organization (Pertubuhan Pasko Momogun Kadazan Dusun Bersatu) or UPKO [Bernard DOMPOK]; People's Progressive Party (Parti Progresif Penduduk Malaysia) or PPP [M.Kayveas]; Sarawak Progressive Democratic Party or SPDP [William MAWAN]) |
| Political parties and leaders: | People's Alliance (Pakatan Rakyat) or PR (opposition coalition) consists of the following parties: Democratic Action Party (Parti Tindakan Demokratik) or DAP [KARPAL Singh]; Islamic Party of Malaysia (Parti Islam se Malaysia) or PAS [Abdul HADI Awang]; People's Justice Party (Parti Keadilan Rakyat) or PKR [WAN AZIZAH Wan Ismail]; Sarawak National Party or SNAP [Edwin DUNDANG] |
