| Government | Holy See (Vatican City) |
| --- | --- |
| Country name: | conventional long form: The Holy See (Vatican City State) |
| Country name: | conventional short form: Holy See (Vatican City) |
| Country name: | local long form: La Santa Sede (Stato della Citta del Vaticano) |
| Country name: | local short form: Santa Sede (Citta del Vaticano) |
| Country name: | etymology: "holy" comes from the Greek word "hera" meaning "sacred"; "see" comes from the Latin word "sedes" meaning "seat," and refers to the episcopal chair; the term "Vatican" derives from the hill Mons Vaticanus on which the Vatican is located and which comes from the Latin "vaticinari" (to prophesy), referring to the fortune tellers and soothsayers who frequented the area in Roman times |
| Government type: | ecclesiastical elective monarchy; self-described as an "absolute monarchy" |
| Capital: | name: Vatican City |
| Capital: | geographic coordinates: 41 54 N, 12 27 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | none |
| Independence: | 11 February 1929; note - the three treaties signed with Italy on 11 February 1929 acknowledged, among other things, the full sovereignty of the Holy See and established its territorial extent; however, the origin of the Papal States, which over centuries varied considerably in extent, may be traced back to A.D. 754 |
| National holiday: | Election Day of Pope FRANCIS, 13 March (2013) |
| Constitution: | history: previous 1929, 1963; latest adopted 26 November 2000, effective 22 February 2001 (Fundamental Law of Vatican City State); note - in October 2013, Pope Francis instituted a 9-member Council of Cardinal Advisors to reform the administrative apparatus of the Holy See (Roman Curia) to include writing a new constitution (2016) |
| Constitution: | amendments: note - although the Fundamental Law of Vatican City State makes no mention of amendments, Article Four (drafting laws), states that this legislative responsibility resides with the Pontifical Commission for Vatican City State; draft legislation is submitted through the Secretariat of State and considered by the pope (2016) |
| Legal system: | religious legal system based on canon (religious) law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: no |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: not applicable |
| Citizenship: | note: in the Holy See, citizenship is acquired by law, ex iure, or by adminstrative decision; in the first instance, citizenship is a function of holding office within the Holy See as in the case of cardinals resident in Vatican City or diplomats of the Holy See; in the second instance, citizenship may be requested in a limited set of circumstances for those who reside within Vatican City under papal authorization, as a function of their office or service, or as the spouses and children of current citizens; citizenship is lost once an individual no longer permanently resides in Vatican City, normally reverting to the citizenship previously held |
| Suffrage: | election of the pope is limited to cardinals less than 80 years old |
| Judicial branch: | highest courts: Supreme Court or Supreme Tribunal of the Apostolic Signatura (consists of the cardinal prefect, who serves as ex-officio president of the court, and 2 other cardinals of the Prefect Signatura); note - judicial duties were established by the Motu Proprio, papal directive, of Pope PIUS XII on 1 May 1946; most Vatican City criminal matters are handled by the Republic of Italy courts |
| Judicial branch: | judge selection and term of office: cardinal prefect appointed by the pope; the other 2 cardinals of the court appointed by the cardinal prefect on a yearly basis |
| Judicial branch: | subordinate courts: Appellate Court of Vatican City; Tribunal of Vatican City |
| Executive branch: | chief of state: Pope FRANCIS (since 13 March 2013) |
| Executive branch: | head of government: Secretary of State Cardinal Pietro PAROLIN (since 15 October 2013); note - Head of Government of Vatican City is President Cardinal Giuseppe BERTELLO (since 1 October 2011) |
| Executive branch: | cabinet: Pontifical Commission for the State of Vatican City appointed by the pope |
| Executive branch: | elections/appointments: pope elected by the College of Cardinals, usually for life or until voluntary resignation; election last held on 13 March 2013 (next to be held after the death or resignation of the current pope); Secretary of State appointed by the pope |
| Executive branch: | election results: Jorge Mario BERGOGLIO, former Archbishop of Buenos Aires, elected Pope FRANCIS |
| Legislative branch: | description: unicameral Pontifical Commission for Vatican City State or Pontificia Commissione per lo Stato della Citta del Vaticano (7 seats; members appointed by the pope to serve 5-year terms) |
| Legislative branch: | elections: last held on 1 June 2013 |
| Political parties and leaders: | none |
| International organization participation: | CE (observer), IAEA, Interpol, IOM, ITSO, ITU, ITUC (NGOs), OAS (observer), OPCW, OSCE, Schengen Convention (de facto member), SICA (observer), UN (observer), UNCTAD, UNHCR, Union Latina (observer), UNWTO (observer), UPU, WIPO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Apostolic Nuncio Archbishop Christophe PIERRE (since 27 June 2016) |
| Diplomatic representation in the US: | chancery: 3339 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-7121 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-4036 |
| Diplomatic representation from the US: | chief of mission: Ambassador Callista GINGRICH (since 22 December 2017) |
| Diplomatic representation from the US: | embassy: American Embassy to the Holy See, Via Sallustiana, 49, 00187 Rome, Italy |
| Diplomatic representation from the US: | mailing address: Unit 5660, Box 66, DPO AE 09624-0066 |
| Diplomatic representation from the US: | telephone: [39] (06) 4674-1 |
| Diplomatic representation from the US: | FAX: [39] (06) 4674-3412 |
| Flag description: | two vertical bands of yellow (hoist side) and white with the arms of the Holy See, consisting of the crossed keys of Saint Peter surmounted by the three-tiered papal tiara, centered in the white band; the yellow color represents the pope's spiritual power, the white his worldly power |
| National symbol(s): | crossed keys beneath a papal tiara; national colors: yellow, white |
| National anthem: | name: "Inno e Marcia Pontificale" (Hymn and Pontifical March); often called The Pontifical Hymn |
| National anthem: | lyrics/music: Raffaello LAVAGNA/Charles-Francois GOUNOD |
| National anthem: | note: adopted 1950 |
