| Government | Holy See (Vatican City) |
| --- | --- |
| Country name: | conventional long form: The Holy See (Vatican City State) |
| Country name: | conventional short form: Holy See (Vatican City) |
| Country name: | local long form: Santa Sede (Stato della Citta del Vaticano) |
| Country name: | local short form: Santa Sede (Citta del Vaticano) |
| Government type: | ecclesiastical |
| Capital: | name: Vatican City |
| Capital: | geographic coordinates: 41 54 N, 12 27 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | none |
| Independence: | 11 February 1929 (from Italy); note - the three treaties signed with Italy on 11 February 1929 acknowledged, among other things, the full sovereignty of the Holy See and established its territorial extent; however, the origin of the Papal States, which over centuries varied considerably in extent, may be traced back to 754 |
| National holiday: | Election Day of Pope BENEDICT XVI, 19 April (2005) |
| Constitution: | Fundamental Law promulgated by Pope JOHN PAUL II 26 November 2000, effective 22 February 2001 (replaced the first Fundamental Law of 1929) |
| Legal system: | religious legal system based on canon (religious) law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | limited to cardinals less than 80 years old |
| Executive branch: | chief of state: Pope BENEDICT XVI (since 19 April 2005) |
| Executive branch: | head of government: Secretary of State Cardinal Tarcisio BERTONE (since 15 September 2006) |
| Executive branch: | cabinet: Pontifical Commission for the State of Vatican City appointed by the pope |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: pope elected for life by the College of Cardinals; election last held on 19 April 2005 (next to be held after the death of the current pope); secretary of state appointed by the pope |
| Executive branch: | election results: Joseph RATZINGER elected Pope BENEDICT XVI |
| Legislative branch: | unicameral Pontifical Commission for Vatican City State |
| Judicial branch: | there are three tribunals responsible for civil and criminal matters within Vatican City; three other tribunals rule on issues pertaining to the Holy See |
| Judicial branch: | note: judicial duties were established by the Motu Proprio, papal directive, of Pope PIUS XII on 1 May 1946 |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | none (exclusive of influence exercised by church officers) |
| International organization participation: | CE (observer), IAEA, Interpol, IOM, ITSO, ITU, ITUC (NGOs), OAS (observer), OPCW, OSCE, Schengen Convention (de facto member), UN (observer), UNCTAD, UNHCR, Union Latina (observer), UNWTO (observer), UPU, WIPO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Apostolic Nuncio Carlo Maria VIGANO |
| Diplomatic representation in the US: | chancery: 3339 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-7121 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-4036 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Mario MESQUITA |
| Diplomatic representation from the US: | embassy: Villa Domiziana, Via delle Terme Deciane 26, 00153 Rome |
| Diplomatic representation from the US: | mailing address: PSC 833, Box 66, APO AE 09624 |
| Diplomatic representation from the US: | telephone: [39] (06) 4674-3428 |
| Diplomatic representation from the US: | FAX: [39] (06) 575-3411 |
| Flag description: | two vertical bands of yellow (hoist side) and white with the arms of the Holy See, consisting of the crossed keys of Saint Peter surmounted by the three-tiered papal tiara, centered in the white band; the yellow color represents the pope's spiritual power, the white his worldly power |
| National symbol(s): | crossed keys |
| National anthem: | name: "Inno e Marcia Pontificale" (Hymn and Pontifical March); often called The Pontifical Hymn |
| National anthem: | lyrics/music: Raffaello LAVAGNA/Charles-Francois GOUNOD |
| National anthem: | note: adopted 1950 |
