| Government | Thailand |
| --- | --- |
| Country name: | conventional long form: Kingdom of Thailand |
| Country name: | conventional short form: Thailand |
| Country name: | former: Siam |
| Government type: | constitutional monarchy |
| Capital: | Bangkok |
| Administrative divisions: | 76 provinces (changwat, singular and plural); Amnat Charoen, Ang Thong, Buriram, Chachoengsao, Chai Nat, Chaiyaphum, Chanthaburi, Chiang Mai, Chiang Rai, Chon Buri, Chumphon, Kalasin, Kamphaeng Phet, Kanchanaburi, Khon Kaen, Krabi, Krung Thep Mahanakhon (Bangkok), Lampang, Lamphun, Loei, Lop Buri, Mae Hong Son, Maha Sarakham, Mukdahan, Nakhon Nayok, Nakhon Pathom, Nakhon Phanom, Nakhon Ratchasima, Nakhon Sawan, Nakhon Si Thammarat, Nan, Narathiwat, Nong Bua Lamphu, Nong Khai, Nonthaburi, Pathum Thani, Pattani, Phangnga, Phatthalung, Phayao, Phetchabun, Phetchaburi, Phichit, Phitsanulok, Phra Nakhon Si Ayutthaya, Phrae, Phuket, Prachin Buri, Prachuap Khiri Khan, Ranong, Ratchaburi, Rayong, Roi Et, Sa Kaeo, Sakon Nakhon, Samut Prakan, Samut Sakhon, Samut Songkhram, Sara Buri, Satun, Sing Buri, Sisaket, Songkhla, Sukhothai, Suphan Buri, Surat Thani, Surin, Tak, Trang, Trat, Ubon Ratchathani, Udon Thani, Uthai Thani, Uttaradit, Yala, Yasothon |
| Independence: | 1238 (traditional founding date; never colonized) |
| National holiday: | Birthday of King PHUMIPHON, 5 December (1927) |
| Constitution: | new constitution signed by King PHUMIPHON on 11 October 1997 |
| Legal system: | based on civil law system, with influences of common law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: King PHUMIPHON Adunyadet (since 9 June 1946) |
| Executive branch: | head of government: Prime Minister THAKSIN Chinnawat (since 9 February 2001) and Deputy Prime Ministers CHITCHAI Wannasathi (since 11 March 2005), PHINIT Charusombat (since 6 October 2004), SOMKHIT Chatusiphithak (since 11 March 2005), SURAKIAT Sathianthai (since 11 March 2005); SURIYA Chungrungruankit (since 3 August 2005), SUWAT Liptapanlop (since 3 August 2005), WISANU Kruangam (since 8 November 2003) |
| Executive branch: | cabinet: Council of Ministers |
| Executive branch: | note: there is also a Privy Council |
| Executive branch: | elections: none; the monarch is hereditary; prime minister is designated from among the members of the House of Representatives; following national elections for the House of Representatives, the leader of the party that can organize a majority coalition usually is appointed prime minister by the king |
| Legislative branch: | bicameral National Assembly or Rathasapha consists of the Senate or Wuthisapha (200 seats; members elected by popular vote to serve six-year terms) and the House of Representatives or Sapha Phuthaen Ratsadon (500 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: Senate - last held 4 March, 29 April, 4 June, 9 July, and 22 July 2000 (next to be held by March 2006); House of Representatives - last held 6 February 2005 (next to be held in February 2009) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - NA; House of Representatives - percent of vote by party - NA; seats by party - TRT 376, DP 97, TNP 25, PP 2 |
| Judicial branch: | Supreme Court or Sandika (judges appointed by the monarch) |
| Political parties and leaders: | Democrat Party or DP (Prachathipat Party) [ABHISIT Wetchachiwa]; People's Party or PP (Mahachon Party) [ANEK Laothamatas]; Thai Nation Party or TNP (Chat Thai Party) [BARNHARN SILPA-ARCHA]; Thai Rak Thai Party or TRT [THAKSIN Chinnawat] |
| Political pressure groups and leaders: | NA |
| International organization participation: | APEC, APT, ARF, AsDB, ASEAN, BIS, CP, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, NAM, OAS (observer), OIC (observer), OPCW, OSCE (partner), PCA, UN, UNAMSIL, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: KASIT Piromya |
| Diplomatic representation in the US: | chancery: 1024 Wisconsin Avenue NW, Suite 401, Washington, DC 20007-3681 |
| Diplomatic representation in the US: | telephone: [1] (202) 944-3600 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-3611 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, and New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Ralph L. BOYCE |
| Diplomatic representation from the US: | embassy: 120/22 Wireless Road, Bangkok |
| Diplomatic representation from the US: | mailing address: APO AP 96546 |
| Diplomatic representation from the US: | telephone: [66] (2) 205-4000 |
| Diplomatic representation from the US: | FAX: [66] (2) 254-2990, 205-4131 |
| Diplomatic representation from the US: | consulate(s) general: Chiang Mai |
| Flag description: | five horizontal bands of red (top), white, blue (double width), white, and red |
