| Government | BURUNDI |
| --- | --- |
| Country name: | conventional long form: Republic of Burundi |
| Country name: | conventional short form: Burundi |
| Country name: | local long form: Republique du Burundi/Republika y'u Burundi |
| Country name: | local short form: Burundi |
| Country name: | former: Urundi |
| Government type: | republic |
| Capital: | name: Bujumbura |
| Capital: | geographic coordinates: 3 22 S, 29 21 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 18 provinces; Bubanza, Bujumbura Mairie, Bujumbura Rural, Bururi, Cankuzo, Cibitoke, Gitega, Karuzi, Kayanza, Kirundo, Makamba, Muramvya, Muyinga, Mwaro, Ngozi, Rumonge, Rutana, Ruyigi |
| Independence: | 1 July 1962 (from UN trusteeship under Belgian administration) |
| National holiday: | Independence Day, 1 July (1962) |
| Constitution: | several previous; latest ratified by popular referendum 28 February 2005 (2012) |
| Legal system: | mixed legal system of Belgian civil law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Pierre NKURUNZIZA (since 26 August 2005); First Vice President Prosper BAZOMBAZA (since 13 February 2014); Second Vice President Gervais RUFYIKIRI (since 29 August 2010); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Pierre NKURUNZIZA (since 26 August 2005); First Vice President Prosper BAZOMBAZA (since 13 February 2014); Second Vice President Gervais RUFYIKIRI (since 29 August 2010) |
| Executive branch: | cabinet: Council of Ministers appointed by president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 21 July 2015(next to be held in 2020); vice presidents nominated by the president, endorsed by Parliament |
| Executive branch: | election results: Pierre NKURUNZIZA reelected president; percent of vote - Pierre NKURUNZIZA (CNDD-FDD ) 69.4%, Agathon RWASA (National Liberation Forces) 19%, other 11.6% |
| Legislative branch: | description: bicameral Parliament or Parlement consists of the Senate (54 seats; 34 members indirectly elected by an electoral college of provincial councils using a two-thirds majority vote and 20 seats reserved for former heads of state; members serve 5-year terms) and the National Assembly or Assemblee Nationale (100 seats; members directly elected in multi-seat constituencies by proportional representation vote with a required ethnic mix of 60 percent Hutu and 40 percent Tutsi, and at least 30 percent women; members serve 5-year terms) |
| Legislative branch: | elections: last held on 23 July 2010 (next to be held on 26 June 2015); note - legislative election delayed because of unrest |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - NA; National Assembly - percent of vote by party - CNDD-FDD 81.2%, UPRONA 11.6%, FRODEBU 5.9%, other 1.3%; seats by party - CNDD-FDD 81, UPRONA 17, FRODEBU 5, other 3 |
| Judicial branch: | highest court(s): Supreme Court (consists of 9 judges and organized into judicial, administrative, and cassation chambers) |
| Judicial branch: | judge selection and term of office: judges nominated by the Judicial Service Commission, a 15-member independent body of judicial and legal profession officials); judges appointed by the president with the approval of the Senate; judge tenure NA |
| Judicial branch: | subordinate courts: Courts of Appeal; County Courts; Courts of Residence |
| Political parties and leaders: | governing parties: |
| Political parties and leaders: | Burundi Democratic Front or FRODEBU [Leonce NGENDAKUMANA] |
| Political parties and leaders: | National Council for the Defense of Democracy - Front for the Defense of Democracy or CNDD-FDD [Jeremie NGENDAKUMANA] |
| Political parties and leaders: | National Liberation Forces or FNL [Agathon RWASA] |
| Political parties and leaders: | Union for National Progress (Union pour le Progress Nationale) or UPRONA [Bonaventure NIYOYANKANA] |
| note: a multiparty system introduced in 1998 includes: | National Council for the Defense of Democracy or CNDD [Leonard NYANGOMA] |
| note: a multiparty system introduced in 1998 includes: | National Resistance Movement for the Rehabilitation of the Citizen or MRC-Rurenzangemero [Epitace BANYAGANAKANDI] |
| note: a multiparty system introduced in 1998 includes: | Party for National Redress or PARENA [Jean-Baptiste BAGAZA] |
| Political pressure groups and leaders: | Forum for the Strengthening of Civil Society or FORSC [Pacifique NININAHAZWE] (civil society umbrella organization) |
| Political pressure groups and leaders: | Observatoire de lutte contre la corruption et les malversations economiques or OLUCOME [Gabriel RUFYIRI] (anti-corruption pressure group) |
| Political pressure groups and leaders: | other: Hutu and Tutsi militias (loosely organized) |
| International organization participation: | ACP, AfDB, AU, CEMAC, CEPGL, CICA, COMESA, EAC, FAO, G-77, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC (NGOs), MIGA, NAM, OIF, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNISFA, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ernest NDABASHINZE (since 21 May 2014) |
| Diplomatic representation in the US: | chancery: 2233 Wisconsin Avenue NW, Suite 408, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 342-2574 |
| Diplomatic representation in the US: | FAX: [1] (202) 342-2578 |
| Diplomatic representation from the US: | chief of mission: Ambassador Dawn M. LIBERI (since 10 July 2012) |
| Diplomatic representation from the US: | embassy: Avenue des Etats-Unis, Bujumbura |
| Diplomatic representation from the US: | mailing address: B. P. 1720, Bujumbura |
| Diplomatic representation from the US: | telephone: [257] 22-207-000 |
| Diplomatic representation from the US: | FAX: [257] 22-222-926 |
| Flag description: | divided by a white diagonal cross into red panels (top and bottom) and green panels (hoist side and fly side) with a white disk superimposed at the center bearing three red six-pointed stars outlined in green arranged in a triangular design (one star above, two stars below); green symbolizes hope and optimism, white purity and peace, and red the blood shed in the struggle for independence; the three stars in the disk represent the three major ethnic groups: Hutu, Twa, Tutsi, as well as the three elements in the national motto: unity, work, progress |
| National symbol(s): | lion; national colors: red, white, green |
| National anthem: | name: "Burundi Bwacu" (Our Beloved Burundi) |
| National anthem: | lyrics/music: Jean-Baptiste NTAHOKAJA/Marc BARENGAYABO |
| National anthem: | note: adopted 1962 |
