| Government | Mauritania |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Mauritania |
| Country name: | conventional short form: Mauritania |
| Country name: | local long form: Al Jumhuriyah al Islamiyah al Muritaniyah |
| Country name: | local short form: Muritaniyah |
| Government type: | military junta |
| Capital: | name: Nouakchott |
| Capital: | geographic coordinates: 18 07 N, 16 02 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 13 regions (wilayas, singular - wilaya); Adrar, Assaba, Brakna, Dakhlet Nouadhibou, Gorgol, Guidimaka, Hodh ech Chargui, Hodh El Gharbi, Inchiri, Nouakchott, Tagant, Tiris Zemmour, Trarza |
| Independence: | 28 November 1960 (from France) |
| National holiday: | Independence Day, 28 November (1960) |
| Constitution: | 12 July 1991 |
| Legal system: | a combination of Islamic law and French civil law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mohamed Ould Abdel AZIZ (since 5 August 2009); note - AZIZ, who deposed democratically elected President Sidi Ould Cheikh ABDELLAHI in a coup and installed himself as President of the High State Council on 6 August 2008, retired from the military and stepped down from the Presidency in April 2009 to run for president; he was elected president in an election held on 18 July 2009 |
| Executive branch: | head of government: Prime Minister Moulaye Ould Mohamed LAGHDAF (since 14 August 2008) |
| Executive branch: | cabinet: Council of Ministers |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: following the August 2008 coup, the High State Council planned to hold a new presidential election in June 2009; the election was subsequently rescheduled to 18 July 2009 following the Dakar Accords, which brought Mauritania back to constitutional rule; under Mauritania's constitution, the president elected by popular vote for a five-year term; election last held on 18 July 2009 (next to be held by 2014) |
| Executive branch: | election results: percent of vote - Mohamed Ould Abdel AZIZ 52.6%, Messaoud Ould BOULKHEIR 16.3%, Ahmed Ould DADDAH 13.7%, Other 17.4% |
| Legislative branch: | bicameral legislature consists of the Senate or Majlis al-Shuyukh (56 seats; 53 members elected by municipal leaders and 3 members elected for Mauritanians abroad to serve six-year terms; a portion of seats up for election every two years) and the National Assembly or Al Jamiya Al Wataniya (95 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: Senate - last held on November 2009; National Assembly - last held on 19 November and 3 December 2006 (next to be held in 2011) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - CPM (Coalition of Majority Parties) 45, COD (Coordination of Democratic Opposition) 7, RNRD-TAWASSOUL 4; National Assembly - percent of vote by party - NA; seats by party - CPM 63 (UPR 50, PRDR 7, UDP 3, HATEM-PMUC 2, RD 1), COD 27 (RFD 9, UFP 6, APP 6, PNDD-ADIL 6), RNRD-TAWASSOUL 4, FP 1 |
| Judicial branch: | Supreme Court or Cour Supreme; Court of Appeals; lower courts |
| Political parties and leaders: | Alternative or El-Badil [Mohamed Yahdhi Ould MOCTAR HACEN]; Coalition of Majority Parties or CPM (parties supporting the regime including PRDR, UPR, RD, HATEM-PMUC, UCD); Coordination of Democratic Opposition or COD (coalition of opposition political parties opposed to the government including APP, RFD, UFP, PNDD-ADIL, Alternative or El-Badil); Democratic Renewal or RD [Moustapha Ould ABDEIDARRAHMANE]; Mauritanian Party for Unity and Change or HATEM-PMUC [Saleh Ould HANENA]; National Pact for Democracy and Development or PNDD-ADIL [Yahya Ould Ahmed Ould WAGHEF] (independents formerly supporting President Abdellahi); National Rally for Freedom, Democracy and Equality or RNDLE; National Rally for Reform and Development/RNRD-TAWASSOUL [Mohamed Jamil MANSOUR] (moderate Islamists); Popular Front or FP [Ch'bih Ould CHEIKH MALAININE]; Popular Progressive Alliance or APP [Messoud Ould BOULKHEIR]; Rally of Democratic Forces or RFD [Ahmed Ould DADDAH]; Republican Party for Democracy and Renewal or PRDR [Mintata Mint HDEID]; Socialist and Democratic Unity Party or PUDS; Union for Democracy and Progress or UDP [Naha Mint MOUKNASS]; Union for the Republic or UPR; Union of Democratic Center or UCD [Cheikh Sid'Ahmed Ould BABA]; Union of the Forces for Progress or UFP [Mohamed Ould MAOULOUD]; |
| Political pressure groups and leaders: | General Confederation of Mauritanian Workers or CGTM [Abdallahi Ould MOHAMED, secretary general]; Independent Confederation of Mauritanian Workers or CLTM [Samory Ould BEYE]; Mauritanian Workers Union or UTM [Mohamed Ely Ould BRAHIM, secretary general] |
| Political pressure groups and leaders: | other: Arab nationalists; Ba'thists; Islamists |
