| Government | Mauritania |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Mauritania |
| Country name: | conventional short form: Mauritania |
| Country name: | local long form: Al Jumhuriyah al Islamiyah al Muritaniyah |
| Country name: | local short form: Muritaniyah |
| Government type: | republic |
| Capital: | name: Nouakchott |
| Capital: | geographic coordinates: 18 06 N, 15 57 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 12 regions (regions, singular - region) and 1 capital district*; Adrar, Assaba, Brakna, Dakhlet Nouadhibou, Gorgol, Guidimaka, Hodh Ech Chargui, Hodh El Gharbi, Inchiri, Nouakchott*, Tagant, Tiris Zemmour, Trarza |
| Independence: | 28 November 1960 (from France) |
| National holiday: | Independence Day, 28 November (1960) |
| Constitution: | 12 July 1991 |
| Legal system: | a combination of Shari'a (Islamic law) and French civil law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Col. Ely Ould Mohamed VALL, whose Military Council for Justice and Democracy deposed longtime President Maaouya Ould Sid Ahmed TAYA in a coup on 3 August 2005 |
| Executive branch: | head of government: Prime Minister Sidi Mohamed Ould BOUBAKAR (since 8 August 2005) |
| Executive branch: | cabinet: Council of Ministers |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second consecutive term); note - passage of a constitutional reform referendum in July 2006 limits president to two five-year terms; election last held 7 November 2003 (next to be held 11 March 2007); prime minister appointed by the president |
| Executive branch: | election results: President Maaouya Ould Sid Ahmed TAYA reelected for a third term with 60.8% of the vote |
| Legislative branch: | bicameral legislature consists of the Senate or Majlis al-Shuyukh (56 seats; a portion of seats up for election every two years; members elected by municipal leaders to serve six-year terms) and the National Assembly or Majlis al-Watani (95 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: Senate - last held 9 and 16 April 2004 (next to be held 21 January 2007); National Assembly - last held 19 November and 3 December 2006 |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - NA; National Assembly - percent of vote by party - NA; seats by party - NA |
| Judicial branch: | Supreme Court or Cour Supreme; Court of Appeals; lower courts |
| Political parties and leaders: | Action for Change or AC (no longer active) [Messoud Ould BOULKHEIR]; Alliance for Justice and Democracy or AJD [Cisse Amadou CHEIKHOU]; National Union for Democracy and Development or UNDD [Tidjane KOITA]; Party for Liberty, Equality, and Justice or PLEJ [Ba Mamdou ALASSANE]; Party of Democratic Convergence or PCD [Cheikh Ould HORMA]; Popular Front or FP [Ch'bih Ould CHEIKH MALAININE]; Popular Progressive Alliance or APP [Messoud Ould BOULKHEIR]; Progress Force Union or UFP (no longer active) [Mohamed Ould MAOULOUD]; Rally of Democratic Forces or RFD [Ahmed Ould DADDAH]; Rally for Democracy and Unity or RDU [Ahmed Ould SIDI BABA]; Republican Party for Democracy and Renewal or PRDR (formerly ruling Democratic and Social Republican Party or PRDS) [Boullah Ould MOGUEYA]; Right Way or SAWAB [Cheikh Ould Sidi Ould HANANA]; Union for Democracy and Progress or UDP [Naha Mint MOUKNASS]; Union of Forces of Progress or UFP [Mohamed Ould MAOULOUD] |
| Political parties and leaders: | note: the Party of Democratic Convergence was banned in October 2005 because it was regarded as Islamist and therefore in breach of Mauritanian law |
| Political pressure groups and leaders: | Arab nationalists; Ba'thists; General Confederation of Mauritanian Workers or CGTM [Abdallahi Ould MOHAMED, secretary general]; Independent Confederation of Mauritanian Workers or CLTM [Samory Ould BEYE]; Islamists; Mauritanian Workers Union or UTM [Mohamed Ely Ould BRAHIM, secretary general] |
| International organization participation: | ABEDA, ACCT, ACP, AfDB, AFESD, AMF, AMU, AU, CAEU, FAO, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, LAS, MIGA, NAM, OIC, OIF, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Tijani Ould Mohamed EL KERIM |
| Diplomatic representation in the US: | chancery: 2129 Leroy Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-5700, 5701 |
| Diplomatic representation in the US: | FAX: [1] (202) 319-2623 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Steven KOUTSIS |
| Diplomatic representation from the US: | embassy: 288 Rue Abdallaye (between Presidency building and Spanish Embassy), Nouakchott |
| Diplomatic representation from the US: | mailing address: BP 222, Nouakchott |
| Diplomatic representation from the US: | telephone: [222] 525-2660/525-2663 |
| Diplomatic representation from the US: | FAX: [222] 525-1592 |
| Flag description: | green with a yellow five-pointed star above a yellow, horizontal crescent; the closed side of the crescent is down; the crescent, star, and color green are traditional symbols of Islam |
