| Government | MAURITANIA |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Mauritania |
| Country name: | conventional short form: Mauritania |
| Country name: | local long form: Al Jumhuriyah al Islamiyah al Muritaniyah |
| Country name: | local short form: Muritaniyah |
| Country name: | etymology: named for the ancient kingdom of Mauretania (3rd century B.C. to 1st century A.D.), which existed further north in present-day Morocco; the name derives from the Mauri (Moors), the Berber-speaking peoples of northwest Africa |
| Government type: | presidential republic |
| Capital: | name: Nouakchott |
| Capital: | geographic coordinates: 18 04 N, 15 58 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 15 regions (wilayas, singular - wilaya); Adrar, Assaba, Brakna, Dakhlet Nouadhibou, Gorgol, Guidimaka, Hodh ech Chargui, Hodh El Gharbi, Inchiri, Nouakchott Nord, Nouakchott Ouest, Nouakchott Sud, Tagant, Tiris Zemmour, Trarza |
| Independence: | 28 November 1960 (from France) |
| National holiday: | Independence Day, 28 November (1960) |
| Constitution: | history: previous 1964; latest adopted 12 July 1991 |
| Constitution: | amendments: proposed by the president of the republic or by either house of Parliament; consideration of amendments by Parliament requires approval of at least one-third of the membership of either house; a referendum is held only if it is approved by two-thirds majority vote in both houses; passage by referendum requires simple majority vote by eligible voters; passage of amendments proposed by the president can bypass a referendum if approved by at least three-fifths majority vote by Parliament in joint session; amended 2004, 2006, 2017 (2017) |
| Legal system: | mixed legal system of Islamic and French civil law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Mauritania |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mohamed Ould Abdel AZIZ (since 5 August 2009); note - AZIZ deposed President Sidi Ould Cheikh ABDELLAHI in a coup and installed himself as president in August 2008; he subsequently retired from the military, stepped down from the appropriated presidency in April 2009 to run for the legitimate presidency; he was elected president in July 2009 and reelected in June 2014 |
| Executive branch: | head of government: Prime Minister Yahya Ould HADEMINE (since 21 August 2014) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 21 June 2014 (next to be held by 2019); prime minister appointed by the president |
| Executive branch: | election results: Mohamed Ould Abdel AZIZ elected president in first round; percent of vote - Mohamed Ould Abdel AZIZ (UPR) 81.9%, Biram Dah ABEID (IRA) 8.7%, Boidiel Ould HOUMEIT (El Wiam) 4.5%, Ibrahima Moctar SARR (SJD/MR) 4.4%, other 0.5% |
| Legislative branch: | description: unicameral Parliament or Barlamane consists of the National Assembly or Al Jamiya Al Wataniya (147 seats; 107 members directly elected in single- and two-seat constituencies by absolute majority vote in 2 rounds if needed and 40 directly elected in constituencies with 3 or more seats by proportional representation vote; members serve a 5-year term); note - a referendum held in August 2017 approved a constitutional amendment to change the Parliament structure from bicameral to unicameral by abolishing the Senate |
| Legislative branch: | elections: Senate - last held on 23 November 2013 (next election scheduled for 2015 but delayed because of opposition party threats to boycott election); National Assembly - first round last held on 23 November and second round on 21 December 2013 (next to be held in 2018) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - NA; National Assembly - percent of vote by party - NA; seats by party - UPR 75, RNRD-TAWASSOUL 16, El Wiam 10, APP 7, El Karama Party 6, UDP 6, AJD/MR 4, Burst of Youth for the Nation 4, El Vadila Party 3, PRDR 3, PUD 3, Ravah Party 3, other 6; note - parties winning fewer than 3 seats sit as independents unless they join a coalition |
| Judicial branch: | highest court(s): Supreme Court or Cour Supreme (subdivided into 1 criminal and 2 civil chambers, each with a president and 5 counselors); Constitutional Council (consists of 6 members) |
| Judicial branch: | judge selection and term of office: Supreme Court president appointed by the president of the republic to serve a 5-year renewable term; Constitutional Council members appointed - 3 by the president of the republic, 2 by the president of the National Assembly, and 1 by the president of the Senate; members serve single, 9-year terms with one-third of membership renewed every 3 years |
| Judicial branch: | subordinate courts: High Court of Justice (cases involving treason and criminal acts of high government officials, including the president); courts of appeal; wilaya (regional) courts (located at the headquarters of each of the 13 regions); commercial and labor courts; criminal courts; moughataa (district) courts; informal/customary courts |
| Political parties and leaders: | Alliance for Justice and Democracy/Movement for Renewal or AJD/MR [Ibrahima Moctar SARR] |
| Political parties and leaders: | Burst of Youth for the Nation [Lalla CHERIVA] |
