| Government | Syria |
| --- | --- |
| Country name: | conventional long form: Syrian Arab Republic |
| Country name: | conventional short form: Syria |
| Country name: | local long form: Al Jumhuriyah al Arabiyah as Suriyah |
| Country name: | local short form: Suriyah |
| Country name: | former: United Arab Republic (with Egypt) |
| Government type: | republic under an authoritarian regime |
| Capital: | name: Damascus |
| Capital: | geographic coordinates: 33 30 N, 36 18 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins midnight on the last Friday in March; ends at midnight on the first Friday in November |
| Administrative divisions: | 14 provinces (muhafazat, singular - muhafazah); Al Hasakah, Al Ladhiqiyah (Latakia), Al Qunaytirah, Ar Raqqah, As Suwayda', Dar'a, Dayr az Zawr, Dimashq (Damascus), Halab, Hamah, Hims (Homs), Idlib, Rif Dimashq (Damascus Countryside), Tartus |
| Independence: | 17 April 1946 (from League of Nations mandate under French administration) |
| National holiday: | Independence Day, 17 April (1946) |
| Constitution: | several previous; latest issued 15 February 2012, passed by referendum 26 February 2012 (2013) |
| Legal system: | mixed legal system of civil and Islamic law (for family courts) |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Bashar al-ASAD (since 17 July 2000); Vice President Farouk al-SHARA (since 21 February 2006); Vice President Najah al-ATTAR (since 23 March 2006) |
| Executive branch: | head of government: Prime Minister Wael al-HALQI (since 9 August 2012); Deputy Prime Ministers Fahd Jasim al-FURAYJ, Lt. Gen. Walid al-MUALEM |
| Executive branch: | cabinet: Council of Ministers appointed by the president; note - new Council appointed on 14 April 2011 |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president approved by popular referendum (the 2012 constitution allows for two successive 7-year terms); referendum last held in 3 June 2014 (next to be held in June 2021); the president appoints the vice presidents, prime minister, and deputy prime ministers |
| Executive branch: | election results: Bashar al-ASAD approved as president; percent of vote - Bashar al-ASAD 88.7%, Hassan al-NOURI 4.3%, Maher HAJJER 3.2%, other/invalid 3.8% |
| Legislative branch: | unicameral People's Assembly or Majlis al-Shaab (250 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 7 May 2012 (next to be held in 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NA |
| Judicial branch: | highest court(s): Court of Cassation (organized into civil, criminal, religious, and military divisions, each with 3 judges); Supreme Constitutional Court (consists of 4 members) |
| Judicial branch: | judge selection and term of office: Court of Cassation judges appointed by the Supreme Judicial Council or SJC, a judicial management body headed by the minister of justice with 7 members including the national president; judge tenure NA; Supreme Constitutional Court judges nominated by the president and appointed by the SJC; judges appointed for 4-year renewable terms |
| Judicial branch: | subordinate courts: courts of first instance; magistrates' courts; religious and military courts; Economic Security Court |
| Political parties and leaders: | legal parties: |
| Political parties and leaders: | National Progressive Front or NPF [President Bashar al-ASAD, Dr. Suleiman QADDAH] (includes Arab Socialist Renaissance (Ba'th) Party [President Bashar al-ASAD] |
| Political parties and leaders: | Socialist Unionist Democratic Party [Fadlallah Nasr al-DIN] |
| Political parties and leaders: | Syrian Arab Socialist Union or ASU [Safwan al-QUDSI] |
| Political parties and leaders: | Syrian Communist Party (two branches) [Wissal Farha BAKDASH, Yusuf Rashid FAYSAL] |
| Political parties and leaders: | Syrian Social Nationalist Party [As'ad HARDAN] |
| Political parties and leaders: | Unionist Socialist Party [Fayez ISMAIL]) |
| Kurdish parties (considered illegal): | Kurdish Azadi Party |
| Kurdish parties (considered illegal): | Kurdish Democratic Accord Party (al Wifaq) |
| Kurdish parties (considered illegal): | Kurdish Democratic Party (al Parti-Ibrahim wing) |
| Kurdish parties (considered illegal): | Kurdish Democratic Party (al Parti-Mustafa wing) |
| Kurdish parties (considered illegal): | Kurdish Democratic Party in Syria or KDP-S |
| Kurdish parties (considered illegal): | Kurdish Democratic Patriotic/National Party |
| Kurdish parties (considered illegal): | Kurdish Democratic Progressive Party or KDPP-Darwish |
| Kurdish parties (considered illegal): | Kurdish Democratic Progressive Party or KDPP-Muhammad |
| Kurdish parties (considered illegal): | Kurdish Democratic Union Party or PYD [Salih Muslim MOHAMMAD] |
| Kurdish parties (considered illegal): | Kurdish Democratic Unity Party |
| Kurdish parties (considered illegal): | Kurdish Democratic Yekiti Party |
| Kurdish parties (considered illegal): | Kurdish Future Party or KFP |
| Kurdish parties (considered illegal): | Kurdish Future Party [Rezan HASSAN] |
| Kurdish parties (considered illegal): | Kurdish Left Party |
| Kurdish parties (considered illegal): | Kurdish Yekiti (Union) Party |
| Kurdish parties (considered illegal): | Syrian Kurdish Democratic Party |
| Kurdish parties (considered illegal): | other parties: Syrian Democratic Party [Mustafa QALAAJI] |
| Political pressure groups and leaders: | Free Syrian Army |
| Political pressure groups and leaders: | Syrian Muslim Brotherhood or SMB [Muhammad Riyad al-SHAQFAH] (operates in exile in London) |
| Political pressure groups and leaders: | Syrian Opposition Coalition or National Coalition of Syrian Revolutionary and Opposition Forces [al-Asi- al-JARBAL] |
| Political pressure groups and leaders: | note: there are also hundreds of local groups that organize protests and stage armed attacks |
| International organization participation: | ABEDA, AFESD, AMF, CAEU, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IPU, ISO, ITSO, ITU, MIGA, NAM, OAPEC, OIC, UN, UNCTAD, UNESCO, UNIDO, UNRWA, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | note: |
| Diplomatic representation in the US: | embassy ceased operation since 18 March 2014 |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Mounir KOUDMANI |
| Diplomatic representation in the US: | chancery: 2215 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 232-6313 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-4585 |
