| Government | Kazakhstan |
| --- | --- |
| Country name: | conventional long form: Republic of Kazakhstan |
| Country name: | conventional short form: Kazakhstan |
| Country name: | local long form: Qazaqstan Respublikasy |
| Country name: | local short form: Qazaqstan |
| Country name: | former: Kazakh Soviet Socialist Republic |
| Government type: | republic; authoritarian presidential rule, with little power outside the executive branch |
| Capital: | name: Astana |
| Capital: | geographic coordinates: 51 10 N, 71 25 E |
| Capital: | time difference: UTC+6 (11 hours ahead of Washington, DC, during Standard Time) |
| Capital: | note: Kazakhstan has two time zones |
| Administrative divisions: | 14 provinces (oblystar, singular - oblys) and 3 cities* (qalalar, singular - qala); Almaty Oblysy, Almaty Qalasy*, Aqmola Oblysy (Astana), Aqtobe Oblysy, Astana Qalasy*, Atyrau Oblysy, Batys Qazaqstan Oblysy [West Kazakhstan] (Oral), Bayqongyr Qalasy [Baykonur]*, Mangghystau Oblysy (Aqtau), Ongtustik Qazaqstan Oblysy [South Kazakhstan] (Shymkent), Pavlodar Oblysy, Qaraghandy Oblysy, Qostanay Oblysy, Qyzylorda Oblysy, Shyghys Qazaqstan Oblysy [East Kazakhstan] (Oskemen), Soltustik Qazaqstan Oblysy [North Kazakhstan] (Petropavlovsk), Zhambyl Oblysy (Taraz) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses); in 1995, the Governments of Kazakhstan and Russia entered into an agreement whereby Russia would lease for a period of 20 years an area of 6,000 sq km enclosing the Baykonur space launch facilities and the city of Bayqongyr (Baykonur, formerly Leninsk); in 2004, a new agreement extended the lease to 2050 |
| Independence: | 16 December 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 16 December (1991) |
| Constitution: | previous 1937, 1978 (preindependence ); latest adopted 28 January 1993, approved by referendum 30 August 1995, effective 5 September 1995; amended 1998, 2007, 2011 (2012) |
| Legal system: | civil law system influenced by Roman-Germanic law and by the theory and practice of the Russian Federation |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Nursultan Abishuly NAZARBAYEV (chairman of the Supreme Soviet from 22 February 1990, elected president 1 December 1991) |
| Executive branch: | head of government: Prime Minister Karim MASIMOV (since 2 April 2014); First Deputy Prime Minister Bakytzhan SAGINTAYEV (since 16 January 2013); Deputy Prime Ministers Gulshara ABDYKALIKOVA (since 28 November 2013), Aset ISEKESHEV (since 25 September 2012); Bakyt SULTANOV (since 6 November 2013) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
