| Government | Kazakhstan |
| --- | --- |
| Country name: | conventional long form: Republic of Kazakhstan |
| Country name: | conventional short form: Kazakhstan |
| Country name: | local long form: Qazaqstan Respublikasy |
| Country name: | local short form: none |
| Country name: | former: Kazakh Soviet Socialist Republic |
| Government type: | republic; authoritarian presidential rule, with little power outside the executive branch |
| Capital: | Astana; note - the government moved from Almaty to Astana in December 1998 |
| Administrative divisions: | 14 provinces (oblystar, singular - oblys) and 3 cities* (qala, singular - qalasy); Almaty Oblysy, Almaty Qalasy*, Aqmola Oblysy (Astana), Aqtobe Oblysy, Astana Qalasy*, Atyrau Oblysy, Batys Qazaqstan Oblysy (Oral), Bayqongyr Qalasy*, Mangghystau Oblysy (Aqtau), Ongtustik Qazaqstan Oblysy (Shymkent), Pavlodar Oblysy, Qaraghandy Oblysy, Qostanay Oblysy, Qyzylorda Oblysy, Shyghys Qazaqstan Oblysy (Oskemen), Soltustik Qazaqstan Oblysy (Petropavlovsk), Zhambyl Oblysy (Taraz) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses); in 1995, the Governments of Kazakhstan and Russia entered into an agreement whereby Russia would lease for a period of 20 years an area of 6,000 sq km enclosing the Baykonur space launch facilities and the city of Bayqongyr (Baykonur, formerly Leninsk); in 2004, a new agreement extended the lease to 2050 |
| Independence: | 16 December 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 16 December (1991) |
| Constitution: | first post-independence constitution adopted 28 January 1993; new constitution adopted by national referendum 30 August 1995 |
| Legal system: | based on civil law system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Nursultan A. NAZARBAYEV (chairman of the Supreme Soviet from 22 February 1990, elected president 1 December 1991) |
| Executive branch: | head of government: Prime Minister Daniyal AKHMETOV (since 13 June 2003); First Deputy Prime Minister Akhmetzhan YESIMOV (since 14 May 2004) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president elected by popular vote for a seven-year term; election last held 10 January 1999, a year before it was previously scheduled (next to be held NA 2006); note - President NAZARBAYEV's previous term was extended to 2000 by a nationwide referendum held 30 April 1995; prime minister and first deputy prime minister appointed by the president |
| Executive branch: | election results: Nursultan A. NAZARBAYEV reelected president; percent of vote - Nursultan A. NAZARBAYEV 81.7%, Serikbolsyn ABDILDIN 12.1%, Gani KASYMOV 4.7%, Engels GABBASSOV 1.5% |
| Executive branch: | note: President NAZARBAYEV arranged a referendum in 1995 that expanded his presidential powers: only he can initiate constitutional amendments, appoint and dismiss the government, dissolve Parliament, call referenda at his discretion, and appoint administrative heads of regions and cities |
