| Government | Kazakhstan |
| --- | --- |
| Country name: | conventional long form: Republic of Kazakhstan |
| Country name: | conventional short form: Kazakhstan |
| Country name: | local long form: Qazaqstan Respublikasy |
| Country name: | local short form: Qazaqstan |
| Country name: | former: Kazakh Soviet Socialist Republic |
| Country name: | etymology: the name "Kazakh" derives from the Turkic word "kaz" meaning "to wander," recalling the Kazakh's nomadic lifestyle; the Persian suffix "-stan" means "place of" or "country," so the word Kazakhstan literally means "Land of the Wanderers" |
| Government type: | presidential republic |
| Capital: | name: Astana |
| Capital: | geographic coordinates: 51 10 N, 71 25 E |
| Capital: | time difference: UTC+6 (11 hours ahead of Washington, DC, during Standard Time) |
| Capital: | note: Kazakhstan has two time zones |
| Administrative divisions: | 14 provinces (oblyslar, singular - oblys) and 4 cities* (qalalar, singular - qala); Almaty (Taldyqorghan), Almaty*, Aqmola (Kokshetau), Aqtobe, Astana*, Atyrau, Batys Qazaqstan [West Kazakhstan] (Oral), Bayqongyr*, Mangghystau (Aqtau), Turkistan, Pavlodar, Qaraghandy, Qostanay, Qyzylorda, Shyghys Qazaqstan [East Kazakhstan] (Oskemen), Shymkent*, Soltustik Qazaqstan [North Kazakhstan] (Petropavl), Zhambyl (Taraz) |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses); in 1995, the Governments of Kazakhstan and Russia entered into an agreement whereby Russia would lease for a period of 20 years an area of 6,000 sq km enclosing the Baykonur space launch facilities and the city of Bayqongyr (Baykonur, formerly Leninsk); in 2004, a new agreement extended the lease to 2050 |
| Independence: | 16 December 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 16 December (1991) |
| Constitution: | history: previous 1937, 1978 (preindependence), 1993; latest approved by referendum 30 August 1995, effective 5 September 1995 (2017) |
| Constitution: | amendments: proposed by the president of the republic, on the recommendation of Parliament, or by the government; the president has the option of submitting draft amendments to Parliament or directly to a referendum; passage of amendments by Parliament requires four-fifths majority vote of both houses and the signature of the president; passage by referendum requires absolute majority vote by more than one-half of the voters in at least two-thirds of the oblasts, major cities, and the capital, followed by the signature of the president; amended several times, last in 2017 (2017) |
| Legal system: | civil law system influenced by Roman-Germanic law and by the theory and practice of the Russian Federation |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Kazakhstan |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: Supreme Court of the Republic (consists of 44 members); Constitutional Council (consists of the chairman and 6 members) |
