| Government | France |
| --- | --- |
| Country name: | conventional long form: French Republic |
| Country name: | conventional short form: France |
| Country name: | local long form: Republique Francaise |
| Country name: | local short form: France |
| Government type: | republic |
| Capital: | Paris |
| Administrative divisions: | 22 regions (regions, singular - region); Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Roussillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays de la Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote d'Azur, Rhone-Alpes |
| Administrative divisions: | note: metropolitan France is divided into 22 regions (including the "territorial collectivity" of Corse or Corsica) and is subdivided into 96 departments; see separate entries for the overseas departments (French Guiana, Guadeloupe, Martinique, Reunion) and the overseas territorial collectivities (Mayotte, Saint Pierre and Miquelon) |
| Dependent areas: | Bassas da India, Clipperton Island, Europa Island, French Polynesia, French Southern and Antarctic Lands, Glorioso Islands, Juan de Nova Island, New Caledonia, Tromelin Island, Wallis and Futuna |
| Dependent areas: | note: the US does not recognize claims to Antarctica |
| Independence: | 486 (unified by Clovis) |
| National holiday: | Bastille Day, 14 July (1789) |
| Constitution: | 28 September 1958, amended concerning election of president in 1962, amended to comply with provisions of EC Maastricht Treaty in 1992, Amsterdam Treaty in 1996, Treaty of Nice in 2000; amended to tighten immigration laws 1993 |
| Legal system: | civil law system with indigenous concepts; review of administrative but not legislative acts |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Jacques CHIRAC (since 17 May 1995) |
| Executive branch: | head of government: Prime Minister Jean-Pierre RAFFARIN (since 7 May 2002) |
| Executive branch: | elections: president elected by popular vote for a five-year term (changed from seven-year term in 2001); election last held 21 April and 5 May 2002 (next to be held, first round NA April 2007, second round NA May 2007); prime minister nominated by the National Assembly majority and appointed by the president |
| Executive branch: | election results: Jacques CHIRAC reelected president; percent of vote, second ballot - Jacques CHIRAC (RPR) 81.96%, Jean-Marie LE PEN (FN) 18.04% |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the suggestion of the prime minister |
| Legislative branch: | bicameral Parliament or Parlement consists of the Senate or Senat (321 seats - 296 for metropolitan France, 13 for overseas departments and territories, and 12 for French nationals abroad; members are indirectly elected by an electoral college to serve nine-year terms; elected by thirds every three years) and the National Assembly or Assemblee Nationale (577 seats; members are elected by popular vote under a single-member majoritarian system to serve five-year terms) |
| Legislative branch: | election results: Senate - percent of vote by party - NA%; seats by party - RPR 83, PS 68, UDC 37, DL 35, RDES 16, PCF 16, other 66; National Assembly - percent of vote by party - NA%; seats by party - UMP 355, PS 140, UDF 29, PCF 21, Radical Party 7, The Greens 3, other 22 |
| Legislative branch: | elections: Senate - last held 23 September 2001 (next to be held NA September 2004); National Assembly - last held 8-16 June 2002 (next to be held NA June 2007) |
| Judicial branch: | Supreme Court of Appeals or Cour de Cassation (judges are appointed by the president from nominations of the High Council of the Judiciary); Constitutional Council or Conseil Constitutionnel (three members appointed by the president, three appointed by the president of the National Assembly, and three appointed by the president of the Senate); Council of State or Conseil d'Etat |
