| Government | Azerbaijan |
| --- | --- |
| Country name: | conventional long form: Republic of Azerbaijan |
| Country name: | conventional short form: Azerbaijan |
| Country name: | local long form: Azarbaycan Respublikasi |
| Country name: | local short form: Azarbaycan |
| Country name: | former: Azerbaijan Soviet Socialist Republic |
| Government type: | republic |
| Capital: | name: Baku (Baki, Baky) |
| Capital: | geographic coordinates: 40 23 N, 49 52 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 59 rayons (rayonlar; rayon - singular), 11 cities (saharlar; sahar - singular), 1 autonomous republic (muxtar respublika) |
| Administrative divisions: | rayons: Abseron Rayonu, Agcabadi Rayonu, Agdam Rayonu, Agdas Rayonu, Agstafa Rayonu, Agsu Rayonu, Astara Rayonu, Balakan Rayonu, Barda Rayonu, Beylaqan Rayonu, Bilasuvar Rayonu, Cabrayil Rayonu, Calilabad Rayonu, Daskasan Rayonu, Davaci Rayonu, Fuzuli Rayonu, Gadabay Rayonu, Goranboy Rayonu, Goycay Rayonu, Haciqabul Rayonu, Imisli Rayonu, Ismayilli Rayonu, Kalbacar Rayonu, Kurdamir Rayonu, Lacin Rayonu, Lankaran Rayonu, Lerik Rayonu, Masalli Rayonu, Neftcala Rayonu, Oguz Rayonu, Qabala Rayonu, Qax Rayonu, Qazax Rayonu, Qobustan Rayonu, Quba Rayonu, Qubadli Rayonu, Qusar Rayonu, Saatli Rayonu, Sabirabad Rayonu, Saki Rayonu, Salyan Rayonu, Samaxi Rayonu, Samkir Rayonu, Samux Rayonu, Siyazan Rayonu, Susa Rayonu, Tartar Rayonu, Tovuz Rayonu, Ucar Rayonu, Xacmaz Rayonu, Xanlar Rayonu, Xizi Rayonu, Xocali Rayonu, Xocavand Rayonu, Yardimli Rayonu, Yevlax Rayonu, Zangilan Rayonu, Zaqatala Rayonu, Zardab Rayonu |
| Administrative divisions: | cities: Ali Bayramli Sahari, Baki Sahari, Ganca Sahari, Lankaran Sahari, Mingacevir Sahari, Naftalan Sahari, Saki Sahari, Sumqayit Sahari, Susa Sahari, Xankandi Sahari, Yevlax Sahari |
