| Government | CUBA |
| --- | --- |
| Country name: | conventional long form: Republic of Cuba |
| Country name: | conventional short form: Cuba |
| Country name: | local long form: Republica de Cuba |
| Country name: | local short form: Cuba |
| Country name: | etymology: name derives from the Taino Indian designation for the island "coabana" meaning "great place" |
| Government type: | communist state |
| Capital: | name: Havana |
| Capital: | geographic coordinates: 23 07 N, 82 21 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November; note - Cuba has been known to alter the schedule of DST on short notice in an attempt to conserve electricity for lighting |
| Administrative divisions: | 15 provinces (provincias, singular - provincia) and 1 special municipality* (municipio especial); Artemisa, Camaguey, Ciego de Avila, Cienfuegos, Granma, Guantanamo, | lguin, Isla de la Juventud*, La Habana, Las Tunas, Matanzas, Mayabeque, Pinar del Rio, Sancti Spiritus, Santiago de Cuba, Villa Clara |
| Independence: | 20 May 1902 (from Spain 10 December 1898; administered by the US from 1898 to 1902); not acknowledged by the Cuban Government as a day of independence |
| National holiday: | Triumph of the Revolution (Liberation Day), 1 January (1959) |
| Constitution: | several previous; latest adopted by referendum 15 February 1976, effective 24 February 1976; amended 1978, 1992, 2002 (2016) |
| Legal system: | civil law system based on Spanish civil code |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: yes |
| Citizenship: | citizenship by descent: yes |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: unknown |
| Suffrage: | 16 years of age; universal |
| Executive branch: | chief of state: President of the Council of State and President of the Council of Ministers Gen. Raul CASTRO Ruz (president since 24 February 2008); First Vice President of the Council of State and First Vice President of the Council of Ministers Miguel DIAZ-CANEL Bermudez (since 24 February 2013); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President of the Council of State and President of the Council of Ministers Gen. Raul CASTRO Ruz (president since 24 February 2008); First Vice President of the Council of State and First Vice President of the Council of Ministers Miguel DIAZ-CANEL Bermudez (since 24 February 2013) |
| Executive branch: | cabinet: Council of Ministers proposed by the president of the Council of State, appointed by the National Assembly or the 28-member Council of State, and elected by the assembly to act on its behalf when it is not in session |
| Executive branch: | elections/appointments: president and vice presidents indirectly elected by the National Assembly for a 5-year term (no term limit); election last held on 24 February 2013 (next to be held in 2018) |
| Executive branch: | election results: Gen. Raul CASTRO Ruz (PCC) reelected president; percent of National Assembly vote - 100%; Miguel DIAZ-CANEL (PCC) Bermudez elected vice president; percent of National Assembly vote- 100% |
| Legislative branch: | description: unicameral National Assembly of People's Power or Asemblea Nacional del Poder Popular (614 seats; members directly elected by absolute majority in a modified two-round vote; members serve 5-year terms); note - the National Candidature Commission submits a slate of approved candidates who must obtain 50-percent of valid votes to be elected; if not, a byelection may be held or the seat remains vacant |
