| Government | Cuba |
| --- | --- |
| Country name: | conventional long form: Republic of Cuba |
| Country name: | conventional short form: Cuba |
| Country name: | local long form: Republica de Cuba |
| Country name: | local short form: Cuba |
| Government type: | Communist state |
| Capital: | name: Havana |
| Capital: | geographic coordinates: 23 07 N, 82 21 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 14 provinces (provincias, singular - provincia) and 1 special municipality* (municipio especial); Camaguey, Ciego de Avila, Cienfuegos, Ciudad de La Habana, Granma, Guantanamo, Holguin, Isla de la Juventud*, La Habana, Las Tunas, Matanzas, Pinar del Rio, Sancti Spiritus, Santiago de Cuba, Villa Clara |
| Independence: | 20 May 1902 (from Spain 10 December 1898; administered by the US from 1898 to 1902); not acknowledged by the Cuban Government as a day of independence |
| National holiday: | Triumph of the Revolution, 1 January (1959) |
| Constitution: | 24 February 1976; amended July 1992 and June 2002 |
| Legal system: | based on Spanish civil law and influenced by American legal concepts, with large elements of Communist legal theory; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 16 years of age; universal |
| Executive branch: | chief of state: President of the Council of State and President of the Council of Ministers Fidel CASTRO Ruz (prime minister from February 1959 until 24 February 1976 when office was abolished; president since 2 December 1976); First Vice President of the Council of State and First Vice President of the Council of Ministers Gen. Raul CASTRO Ruz (since 2 December 1976); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President of the Council of State and President of the Council of Ministers Fidel CASTRO Ruz (prime minister from February 1959 until 24 February 1976 when office was abolished; president since 2 December 1976); First Vice President of the Council of State and First Vice President of the Council of Ministers Gen. Raul CASTRO Ruz (since 2 December 1976) |
| Executive branch: | cabinet: Council of Ministers proposed by the president of the Council of State and appointed by the National Assembly or the 31-member Council of State, elected by the Assembly to act on its behalf when it is not in session |
| Executive branch: | elections: president and vice presidents elected by the National Assembly for a term of five years; election last held 6 March 2003 (next to be held in 2008) |
| Executive branch: | election results: Fidel CASTRO Ruz reelected president; percent of legislative vote - 100%; Raul CASTRO Ruz elected vice president; percent of legislative vote - 100% |
| Executive branch: | note: due to an ongoing health problem, Fidel CASTRO Ruz provisionally transferred power to his brother Gen. Raul CASTRO Ruz on 31 July 2006 in accordance with the Cuban Constitution; Fidel CASTRO has not yet reclaimed control of the government |
| Legislative branch: | unicameral National Assembly of People's Power or Asemblea Nacional del Poder Popular (609 seats; members elected directly from slates approved by special candidacy commissions to serve five-year terms) |
| Legislative branch: | elections: last held 19 January 2003 (next to be held in 2008) |
| Legislative branch: | election results: percent of vote - PCC 97.6%; seats - PCC 609 |
| Judicial branch: | People's Supreme Court or Tribunal Supremo Popular (president, vice president, and other judges are elected by the National Assembly) |
| Political parties and leaders: | Cuban Communist Party or PCC [Fidel CASTRO Ruz, first secretary] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, FAO, G-77, IAEA, ICAO, ICC, ICRM, IFAD, IFRCS, IHO, ILO, IMO, IMSO, Interpol, IOC, IOM (observer), IPU, ISO, ITSO, ITU, LAES, LAIA, NAM, OAS (excluded from formal participation since 1962), OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | none; note - Cuba has an Interests Section in the Swiss Embassy, headed by Principal Officer Dagoberto RODRIGUEZ Barrera; address: Cuban Interests Section, Swiss Embassy, 2630 16th Street NW, Washington, DC 20009; telephone: [1] (202) 797-8518; FAX: [1] (202) 797-8521 |
| Diplomatic representation from the US: | none; note - the US has an Interests Section in the Swiss Embassy, headed by Principal Officer Michael E. PARMLY; address: USINT, Swiss Embassy, Calzada between L and M Streets, Vedado, Havana; telephone: [53] (7) 833-3551 through 3559 (operator assistance required); FAX: [53] (7) 833-3700; protecting power in Cuba is Switzerland |
| Flag description: | five equal horizontal bands of blue (top, center, and bottom) alternating with white; a red equilateral triangle based on the hoist side bears a white, five-pointed star in the center |
