| Government |
| --- | --- |
| Country name: | conventional long form: Territory of Norfolk Island |
| Country name: | conventional short form: Norfolk Island |
| Dependency status: | territory of Australia; Canberra administers Commonwealth responsibilities on Norfolk Island through the Department of Environment, Sport, and Territories |
| Government type: | NA |
| Capital: | Kingston |
| Administrative divisions: | none (territory of Australia) |
| Independence: | none (territory of Australia) |
| National holiday: | Pitcairners Arrival Day, 8 June (1856) |
| Constitution: | Norfolk Island Act of 1979 |
| Legal system: | based on the laws of Australia, local ordinances and acts; English common law applies in matters not covered by either Australian or Norfolk Island law |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); the UK and Australia are represented by Administrator Anthony J. MESSNER (since 4 August 1997) |
| Executive branch: | head of government: Assembly President and Chief Minister Ronald Coane NOBBS (since 23 February 2000) |
| Executive branch: | cabinet: Executive Council is made up of four of the nine members of the Legislative Assembly; the council devises government policy and acts as an advisor to the Administrator |
| Executive branch: | elections: the monarch is hereditary; administrator appointed by the governor general of Australia; chief minister elected by the Legislative Assembly for a term of not more than three years; election last held 23 February 2000 (next to be held by March 2003) |
| Executive branch: | election results: Ronald Coane NOBBS elected chief minister; percent of Legislative Assembly vote - NA% |
| Legislative branch: | unicameral Legislative Assembly (9 seats; members elected by electors who have nine equal votes each but only four votes can be given to any one candidate; members serve three-year terms) |
| Legislative branch: | elections: last held 23 February 2000 (next to be held by March 2003) |
| Legislative branch: | election results: percent of vote - NA%; seats - independents 9 |
| Judicial branch: | Supreme Court; Court of Petty Sessions |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | none |
| International organization participation: | none |
| Diplomatic representation in the US: | none (territory of Australia) |
| Diplomatic representation from the US: | none (territory of Australia) |
| Flag description: | three vertical bands of green (hoist side), white, and green with a large green Norfolk Island pine tree centered in the slightly wider white band |
