| Government |
| --- | --- |
| Country name: | conventional long form: Republic of Ecuador |
| Country name: | conventional short form: Ecuador |
| Country name: | local long form: Republica del Ecuador |
| Country name: | local short form: Ecuador |
| Government type: | republic |
| Capital: | Quito |
| Administrative divisions: | 22 provinces (provincias, singular - provincia); Azuay, Bolivar, Canar, Carchi, Chimborazo, Cotopaxi, El Oro, Esmeraldas, Galapagos, Guayas, Imbabura, Loja, Los Rios, Manabi, Morona-Santiago, Napo, Orellana, Pastaza, Pichincha, Sucumbios, Tungurahua, Zamora-Chinchipe |
| Independence: | 24 May 1822 (from Spain) |
| National holiday: | Independence Day (independence of Quito), 10 August (1809) |
| Constitution: | 10 August 1998 |
| Legal system: | based on civil law system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal, compulsory for literate persons ages 18-65, optional for other eligible voters |
| Executive branch: | chief of state: President Gustavo NOBOA Bejarano (since 22 January 2000) selected president following coup that deposed President MAHUAD; Vice President Pedro PINTO Rubianes (since 28 January 2000) elected by National Congress from a slate of candidates submitted by President NABOA; note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Gustavo NOBOA Bejarano (since 22 January 2000) selected president following coup that deposed President MAHUAD; Vice President Pedro PINTO Rubianes (since 28 January 2000) elected by National Congress from a slate of candidates submitted by President NABOA; note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year term (no reelection); election last held 31 May 1998; runoff election held 12 July 1998 (next to be held NA 2002) |
| Executive branch: | election results: results of the last election prior to the coup were: Jamil MAHUAD elected president; percent of vote - 51% |
| Executive branch: | note: a military-indigenous coup toppled democratically elected President Jamil MAHAUD on 21 January 2000; the military quickly handed power over to Vice President Gustavo NOBOA on 22 January; National Congress then elected a new vice president from a slate of candidates submitted by NOBOA; the new administration is scheduled to complete the remainder of MAHAUD's term, due to expire in January 2003 |
| Legislative branch: | unicameral National Congress or Congreso Nacional (121 seats; 79 members are popularly elected at-large nationally to serve four-year terms; 42 members are popularly elected by province - two per province - for four-year terms) |
| Legislative branch: | elections: last held 31 May 1998 (next to be held NA 2002) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - DP 32, PSC 27, PRE 24, ID 18, P-NP 9, FRA 5, PCE 3, MPD 2, CFP 1; note - defections by members of National Congress are commonplace, resulting in frequent changes in the numbers of seats held by the various parties |
| Judicial branch: | Supreme Court or Corte Suprema (new justices are elected by the full Supreme Court) |
| Political parties and leaders: | Concentration of Popular Forces or CFP [Averroes BUCARAM]; Democratic Left or ID [Rodrigo BORJA Cevallos]; Ecuadorian Conservative Party or PCE [Sixto DURAN Ballen]; Independent National Movement or MIN [leader NA]; Pachakutik-New Country or P-NP [Rafael PANDAM]; Popular Democracy or DP [Ramiro RIVERA]; Popular Democratic Movement or MPD [leader NA]; Radical Alfarista Front or FRA [Fabian ALARCON, director]; Roldosist Party or PRE [Abdala BUCARAM Ortiz, director]; Social Christian Party or PSC [Jaime NEBOT Saadi, president] |
| Political pressure groups and leaders: | Confederation of Indigenous Nationalities of Ecuador or CONAIE [Antonio VARGAS]; Coordinator of Social Movements or CMS [F. Napoleon SANTOS]; Popular Front or FP [Luis VILLACIS] |
| International organization participation: | CAN, CCC, ECLAC, FAO, G-11, G-77, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Intelsat, Interpol, IOC, IOM, ISO, ITU, LAES, LAIA, NAM, OAS, OPANAL, OPCW, PCA, RG, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ivonne A-BAKI |
| Diplomatic representation in the US: | chancery: 2535 15th Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-7200 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-3482 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles, Miami, New Orleans, New York, Newark, Philadelphia, and San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Gwen C. CLARE |
| Diplomatic representation from the US: | embassy: Avenida 12 de Octubre y Avenida Patria, Quito |
| Diplomatic representation from the US: | mailing address: APO AA 34039 |
| Diplomatic representation from the US: | telephone: [593] (2) 562-890 |
| Diplomatic representation from the US: | FAX: [593] (2) 502-052 |
| Diplomatic representation from the US: | consulate(s) general: Guayaquil |
| Flag description: | three horizontal bands of yellow (top, double width), blue, and red with the coat of arms superimposed at the center of the flag; similar to the flag of Colombia which is shorter and does not bear a coat of arms |
