| Government | Singapore |
| --- | --- |
| Country name: | conventional long form: Republic of Singapore |
| Country name: | conventional short form: Singapore |
| Country name: | local long form: Republic of Singapore |
| Country name: | local short form: Singapore |
| Country name: | etymology: name derives from the Sanskrit words "simha" (lion) and "pura" (city) to describe the city-state's leonine symbol |
| Government type: | parliamentary republic |
| Capital: | name: Singapore |
| Capital: | geographic coordinates: 1 17 N, 103 51 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: name derives from the Sanskrit words "simha" (lion) and "pura" (city), thus creating the city's epithet "lion city" |
| Administrative divisions: | no first order administrative divisions; there are five community development councils: Central Singapore Development Council, North East Development Council, North West Development Council, South East Development Council, South West Development Council (2019) |
| Independence: | 9 August 1965 (from Malaysian Federation) |
| National holiday: | National Day, 9 August (1965) |
| Constitution: | history: several previous; latest adopted 22 December 1965 |
| Constitution: | amendments: proposed by Parliament; passage requires two-thirds majority vote in the second and third readings by the elected Parliament membership and assent of the president of the republic; passage of amendments affecting sovereignty or control of the Police Force or the Armed Forces requires at least two-thirds majority vote in a referendum; amended many times, last in 2016 |
| Legal system: | English common law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICC (2019) |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Singapore |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 21 years of age; universal and compulsory |
| Executive branch: | chief of state: President HALIMAH Yacob (since 14 September 2017); note - President TAN's term ended on 31 August 2017; HALIMAH is Singapore's first female president; the head of the Council of Presidential Advisors, J.Y. PILLAY, served as acting president until HALIMAH was sworn in as president on 14 September 2017 |
| Executive branch: | head of government: Prime Minister LEE Hsien Loong (since 12 August 2004, reelected 10 July 2020); Deputy Prime Ministers HENG Swee Keat (since 1 May 2019) (2019) |
| Executive branch: | cabinet: Cabinet appointed by the president on the advice of the prime minister; Cabinet responsible to ParliamentÂ  |
| Executive branch: | elections/appointments: president directly elected by simple majority popular vote for a fixed term of 6-yearsÂ (there are no term limits); election last held on 13 September 2017 (next to be held in 2023); following legislative elections, leader of majority party or majority coalition appointed prime minister by president; deputy prime ministers appointed by the president |
| Executive branch: | election results: HALIMAH Yacob was declared president on 13 September 2017, being the only eligible candidate; Tony TAN Keng Yam elected president in the previous contested election on 27 August 2011; percent of vote - Tony TAN Keng Yam (independent) 35.2% , TAN Cheng Bock (independent) 34.9%, TAN Jee Say (independent) 25%, TAN Kin Lian (independent) 4.9% |
| Legislative branch: | description: unicameral Parliament (104 seats;Â 93 members directly elected by popular vote, up to 9 nominated by a parliamentary selection committee and appointed by the president, and up toÂ 12 non-constituency members from opposition parties to ensure political diversity; members serve 5-year terms); note - the number of nominated members will increase to 12 for theÂ 2020 election for the first time (2020) |
| Legislative branch: | elections: last held on 10 July 2020 (next must be held by 2025) |
| Legislative branch: | election results: percent of vote by party - PAP 61.2%, WP 11.2%, PSP 10.2%; seats by party - PAP 83, WP 10, PSP 2; composition - men 79, women 25, percent of women 24% |
| Judicial branch: | highest courts: Supreme Court (although the number of judges varies - as of April 2019,Â the courtÂ totaled 20 judges, 7 judicial commissioners, 4 judges of appeal, and 16 international judges); the court is organized into an upper tier Appeal Court and a lower tier High Court |
| Judicial branch: | judge selection and term of office: judges appointed by the president from candidates recommended by the prime minister after consultation with the chief justice; judges usually serve until retirement at age 65, but terms can be extended |
| Judicial branch: | subordinate courts: district, magistrates', juvenile, family, community, and coroners' courts; small claims tribunals; employment claims tribunals |
| Political parties and leaders: | National Solidarity Party or NSP [Reno FONG] |
| Political parties and leaders: | People's Action Party or PAP [LEE Hsien Loong] |
| Political parties and leaders: | People's Power Party or (PPP) [Goh Meng SENG] |
| Political parties and leaders: | People's Voice or PV [Lim TEAN] |
| Political parties and leaders: | Progress Singapore Party or PSP [Tan Cheng Bock] |
| Political parties and leaders: | Red Dot United or RDU [Ravi PHILEMON] |
| Political parties and leaders: | Reform Party or RP [Kenneth JEYARETNAM] |
| Political parties and leaders: | Singapore Democratic Alliance or SDA [Abu MOHAMED] |
| Political parties and leaders: | Singapore Democratic Party or SDP [Dr. CHEE Soon Juan] |
| Political parties and leaders: | Singapore People's Party or SPP [Steve Chia] |
| Political parties and leaders: | Workers' Party or WP [Pritam SINGH] (2020) |
| International organization participation: | ADB, AOSIS, APEC, Arctic Council (observer), ARF, ASEAN, BIS, C, CP, EAS, FAO, FATF, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OPCW, Pacific Alliance (observer), PCA, UN, UNCTAD, UNESCO, UNHCR, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ashok KUMAR Mirpuri (since 30 July 2012) |
| Diplomatic representation in the US: | chancery: 3501 International Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 537-3100 |
| Diplomatic representation in the US: | FAX: [1] (202) 537-0876 |
| Diplomatic representation in the US: | consulate(s) general: San Francisco |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Rafik MANSOUR (since July 2019) |
| Diplomatic representation from the US: | telephone: [65] 6476-9100 |
| Diplomatic representation from the US: | embassy: 27 Napier Road, Singapore 258508 |
| Diplomatic representation from the US: | mailing address: FPO AP 96507-0001 |
| Diplomatic representation from the US: | FAX: [65] 6476-9340 |
| Flag description: | two equal horizontal bands of red (top) and white; near the hoist side of the red band, there is a vertical, white crescent (closed portion is toward the hoist side) partially enclosing five white five-pointed stars arranged in a circle; red denotes brotherhood and equality; white signifies purity and virtue; the waxing crescent moon symbolizes a young nation on the ascendancy; the five stars represent the nation's ideals of democracy, peace, progress, justice, and equality |
| National symbol(s): | lion, merlion (mythical half lion-half fish creature), orchid; national colors: red, white |
| National anthem: | name: "Majulah Singapura" (Onward Singapore) |
| National anthem: | lyrics/music: ZUBIR Said |
| National anthem: | note: adopted 1965; first performed in 1958 at the Victoria Theatre, the anthem is sung only in Malay |
