| Government | SINGAPORE |
| --- | --- |
| Country name: | conventional long form: Republic of Singapore |
| Country name: | conventional short form: Singapore |
| Country name: | local long form: Republic of Singapore |
| Country name: | local short form: Singapore |
| Government type: | parliamentary republic |
| Capital: | name: Singapore |
| Capital: | geographic coordinates: 1 17 N, 103 51 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | none |
| Independence: | 9 August 1965 (from Malaysian Federation) |
| National holiday: | National Day, 9 August (1965) |
| Constitution: | several previous; latest adopted 22 December 1965; amended several times, last in 2010 (2013) |
| Legal system: | English common law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 21 years of age; universal and compulsory |
| Executive branch: | chief of state: President Tony TAN Keng Yam (since 1 September 2011) |
| Executive branch: | head of government: Prime Minister LEE Hsien Loong (since 12 August 2004); Deputy Prime Ministers TEO Chee Hean (since 1 April 2009) and Tharman SHANMUGARATNAM (since 21 May 2011) |
| Executive branch: | cabinet: Cabinet appointed by the president on the advice of the prime minister; Cabinet responsible to Parliament |
| Executive branch: | elections/appointments: president directly elected by simple majority popular vote for a single 6-year term; election last held on 27 August 2011 (next to be held by August 2017); following legislative elections, leader of majority party or majority coalition usually appointed prime minister by president; deputy prime ministers appointed by the president |
| Executive branch: | election results: Tony TAN Keng Yam elected president; percent of vote -  Tony TAN Keng Yam (independent) 35.2% , TAN Cheng Bock (independent) 34.9%, TAN Jee Say (independent) 25% , TAN Kin Lian (PP) 4.9% |
| Legislative branch: | description: unicameral Parliament (99 seats; 75 members directly elected in single- and multi-seat constituencies by majority party bloc vote, 12 directly elected in single-seat constituencies by simple majority vote, 9 nominated by the president, and 3 appointed from a "national compensatory" list to ensure political diversity; members serve 5-year terms) |
| Legislative branch: | elections: last held on 11 September 2015 (next to be held in 2020); note - Parliament was dissolved on 25 August 2015 amid public concerns over immigration and the rising cost of living, resulting in an early election |
| Legislative branch: | election results: percent of vote by party - PAP 69.9%, WP 12.5%, other 17.6%; seats by party - PAP 83, WP 6 |
| Judicial branch: | highest court(s): Supreme Court (consists of the president or chief justice and 16 justices and organized into an upper tier Appeal Court and a lower tier High Court) |
| Judicial branch: | judge selection and term of office: all judges appointed by the president from candidates recommended by the prime minister after consultation with the chief justice; justices appointed for life |
| Judicial branch: | subordinate courts: district, magistrates', juvenile, family, community, and coroners' courts; small claims tribunals |
| Political parties and leaders: | National Solidarity Party or NSP [LIM Tean, acting secretary general] |
| Political parties and leaders: | People's Action Party or PAP [LEE Hsien Loong] |
| Political parties and leaders: | Singapore Democratic Party or SDP [CHEE Soon Juan] |
| Political parties and leaders: | Workers' Party or WP [LOW Thia Khiang] |
| Political pressure groups and leaders: | none |
| International organization participation: | ADB, AOSIS, APEC, Arctic Council (observer), ARF, ASEAN, BIS, C, CP, EAS, FAO, FATF, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OPCW, Pacific Alliance (observer), PCA, UN, UNCTAD, UNESCO, UNHCR, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ashok Kumar MIRPURI (since 24 July 2012) |
| Diplomatic representation in the US: | chancery: 3501 International Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 537-3100 |
| Diplomatic representation in the US: | FAX: [1] (202) 537-0876 |
| Diplomatic representation in the US: | consulate(s) general: San Francisco |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Kirk W. WAGAR (since 25 September 2013) |
| Diplomatic representation from the US: | embassy: 27 Napier Road, Singapore 258508 |
| Diplomatic representation from the US: | mailing address: FPO AP 96507-0001 |
| Diplomatic representation from the US: | telephone: [65] 6476-9100 |
| Diplomatic representation from the US: | FAX: [65] 6476-9340 |
| Flag description: | two equal horizontal bands of red (top) and white; near the hoist side of the red band, there is a vertical, white crescent (closed portion is toward the hoist side) partially enclosing five white five-pointed stars arranged in a circle; red denotes brotherhood and equality; white signifies purity and virtue; the waxing crescent moon symbolizes a young nation on the ascendancy; the five stars represent the nation's ideals of democracy, peace, progress, justice, and equality |
| National symbol(s): | lion, merlion (mythical half lion-half fish creature), orchid; national colors: red, white |
| National anthem: | name: "Majulah Singapura" (Onward Singapore) |
| National anthem: | lyrics/music: ZUBIR Said |
| National anthem: | note: adopted 1965; first performed in 1958 at the Victoria Theatre, the anthem is sung only in Malay |
