| Government | Singapore |
| --- | --- |
| Country name: | conventional long form: Republic of Singapore |
| Country name: | conventional short form: Singapore |
| Country name: | local long form: Republic of Singapore |
| Country name: | local short form: Singapore |
| Government type: | parliamentary republic |
| Capital: | name: Singapore |
| Capital: | geographic coordinates: 1 17 N, 103 51 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | none |
| Independence: | 9 August 1965 (from Malaysian Federation) |
| National holiday: | National Day, 9 August (1965) |
| Constitution: | 3 June 1959; amended 1965 (based on pre-independence State of Singapore constitution) |
| Legal system: | English common law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 21 years of age; universal and compulsory |
| Executive branch: | chief of state: President Tony TAN Keng Yam (since 1 September 2011) |
| Executive branch: | head of government: Prime Minister LEE Hsien Loong (since 12 August 2004); Deputy Prime Minister TEO Chee Hean (since 1 April 2009) and Deputy Prime Minister Tharman SHANMUGARATNAM (since 21 May 2011) |
| Executive branch: | cabinet: appointed by president, responsible to parliament |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for six-year term; election last held on 27 August 2011 (next to be held by August 2017); following legislative elections, leader of majority party or leader of majority coalition usually appointed prime minister by president; deputy prime ministers appointed by president |
| Executive branch: | election results: Tony TAN Keng Yam elected president from a field of four candidates with 35.2% of the votes cast |
| Legislative branch: | unicameral Parliament (87 seats; members elected by popular vote to serve five-year terms); note - in addition, there are up to nine nominated members; up to three losing opposition candidates who came closest to winning seats may be appointed as Nominated Members of Parliament (NMP) |
| Legislative branch: | elections: last held on 7 May 2011 (next to be held in May 2016) |
| Legislative branch: | election results: percent of vote by party - PAP 60.1%, WP 12.8%, NSP 12.1%, others 15%; seats by party - PAP 81, WP 6 |
| Judicial branch: | Supreme Court consists of High Court and Court of Appeals; Specialist Commercial Courts consist of Admiralty Court, Intellectual Property Court, and Abritation Court |
| Judicial branch: | note: (chief justice, judges of appeal, and judicial commissioners are appointed by the president with the advice of the prime minister) |
| Political parties and leaders: | National Solidarity Party or NSP [Hazel POA]; People's Action Party or PAP [LEE Hsien Loong]; Reform Party [Kenneth JEYARETNAM]; Singapore Democratic Alliance or SDA [Desmond LIM]; Singapore People's Party or SPP [CHIAM See Tong]; Workers' Party or WP [LOW Thia Khiang] |
| Political parties and leaders: | note: SDA includes Singapore Justice Party or SJP and Singapore National Malay Organization or PKMS |
| Political pressure groups and leaders: | none |
| International organization participation: | ADB, AOSIS, APEC, ARF, ASEAN, BIS, C, CP, EAS, FATF, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, NAM, OPCW, PCA, UN, UNCTAD, UNESCO, UNMIT, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ashok Kumar MIRPURI |
| Diplomatic representation in the US: | chancery: 3501 International Place NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 537-3100 |
| Diplomatic representation in the US: | FAX: [1] (202) 537-0876 |
| Diplomatic representation in the US: | consulate(s) general: San Francisco |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador David I. ADELMAN |
| Diplomatic representation from the US: | embassy: 27 Napier Road, Singapore 258508 |
| Diplomatic representation from the US: | mailing address: FPO AP 96507-0001 |
| Diplomatic representation from the US: | telephone: [65] 6476-9100 |
| Diplomatic representation from the US: | FAX: [65] 6476-9340 |
| Flag description: | two equal horizontal bands of red (top) and white; near the hoist side of the red band, there is a vertical, white crescent (closed portion is toward the hoist side) partially enclosing five white five-pointed stars arranged in a circle; red denotes brotherhood and equality; white signifies purity and virtue; the waxing crescent moon symbolizes a young nation on the ascendancy; the five stars represent the nation's ideals of democracy, peace, progress, justice, and equality |
| National symbol(s): | lion |
| National anthem: | name: "Majulah Singapura" (Onward Singapore) |
| National anthem: | lyrics/music: ZUBIR Said |
| National anthem: | note: adopted 1965; the anthem, which was first performed in 1958 at the Victoria Theatre, is sung only in Malay |
