| Government | United Kingdom |
| --- | --- |
| Country name: | conventional long form: United Kingdom of Great Britain and Northern Ireland |
| Country name: | conventional short form: United Kingdom |
| Country name: | abbreviation: UK |
| Government type: | constitutional monarchy |
| Capital: | London |
| Administrative divisions: | England - 47 boroughs, 36 counties*, 29 London boroughs**, 12 cities and boroughs***, 10 districts****, 12 cities*****, 3 royal boroughs******; Barking and Dagenham**, Barnet**, Barnsley, Bath and North East Somerset****, Bedfordshire*, Bexley**, Birmingham***, Blackburn with Darwen, Blackpool, Bolton, Bournemouth, Bracknell Forest, Bradford***, Brent**, Brighton and Hove, City of Bristol*****, Bromley**, Buckinghamshire*, Bury, Calderdale, Cambridgeshire*, Camden**, Cheshire*, Cornwall*, Coventry***, Croydon**, Cumbria*, Darlington, Derby*****, Derbyshire*, Devon*, Doncaster, Dorset*, Dudley, Durham*, Ealing**, East Riding of Yorkshire****, East Sussex*, Enfield**, Essex*, Gateshead, Gloucestershire*, Greenwich**, Hackney**, Halton, Hammersmith and Fulham**, Hampshire*, Haringey**, Harrow**, Hartlepool, Havering**, Herefordshire*, Hertfordshire*, Hillingdon**, Hounslow**, Isle of Wight*, Islington**, Kensington and Chelsea******, Kent*, City of Kingston upon Hull*****, Kingston upon Thames******, Kirklees, Knowsley, Lambeth**, Lancashire*, Leeds***, Leicester*****, Leicestershire*, Lewisham**, Lincolnshire*, Liverpool***, City of London*****, Luton, Manchester***, Medway, Merton**, Middlesbrough, Milton Keynes, Newcastle upon Tyne***, Newham**, Norfolk*, Northamptonshire*, North East Lincolnshire****, North Lincolnshire****, North Somerset****, North Tyneside, Northumberland*, North Yorkshire*, Nottingham*****, Nottinghamshire*, Oldham, Oxfordshire*, Peterborough*****, Plymouth*****, Poole, Portsmouth*****, Reading, Redbridge**, Redcar and Cleveland, Richmond upon Thames**, Rochdale, Rotherham, Rutland****, Salford***, Shropshire*, Sandwell, Sefton, Sheffield***, Slough, Solihull, Somerset*, Southampton*****, Southend-on-Sea, South Gloucestershire****, South Tyneside, Southwark**, Staffordshire*, St. Helens, Stockport, Stockton-on-Tees, Stoke-on-Trent*****, Suffolk*, Sunderland***, Surrey*, Sutton**, Swindon, Tameside, Telford and Wrekin****, Thurrock, Torbay, Tower Hamlets**, Trafford, Wakefield***, Walsall, Waltham Forest**, Wandsworth**, Warrington, Warwickshire*, West Berkshire****, Westminster***, West Sussex*, Wigan, Wiltshire*, Windsor and Maidenhead******, Wirral, Wokingham****, Wolverhampton, Worcestershire*, York*****; Northern Ireland - 24 districts, 2 cities*, 6 counties**; Antrim, County Antrim**, Ards, Armagh, County Armagh**, Ballymena, Ballymoney, Banbridge, Belfast*, Carrickfergus, Castlereagh, Coleraine, Cookstown, Craigavon, Down, County Down**, Dungannon, Fermanagh, County Fermanagh**, Larne, Limavady, Lisburn, County Londonderry**, Derry*, Magherafelt, Moyle, Newry and Mourne, Newtownabbey, North Down, Omagh, Strabane, County Tyrone**; Scotland - 32 council areas; Aberdeen City, Aberdeenshire, Angus, Argyll and Bute, The Scottish Borders, Clackmannanshire, Dumfries and Galloway, Dundee City, East Ayrshire, East Dunbartonshire, East Lothian, East Renfrewshire, City of Edinburgh, Falkirk, Fife, Glasgow City, Highland, Inverclyde, Midlothian, Moray, North Ayrshire, North Lanarkshire, Orkney Islands, Perth and Kinross, Renfrewshire, Shetland Islands, South Ayrshire, South Lanarkshire, Stirling, West Dunbartonshire, Eilean Siar (Western Isles), West Lothian; Wales - 11 county boroughs, 9 counties*, 2 cities and counties**; Isle of Anglesey*, Blaenau Gwent, Bridgend, Caerphilly, Cardiff**, Ceredigion*, Carmarthenshire*, Conwy, Denbighshire*, Flintshire*, Gwynedd, Merthyr Tydfil, Monmouthshire*, Neath Port Talbot, Newport, Pembrokeshire*, Powys*, Rhondda Cynon Taff, Swansea**, Torfaen, The Vale of Glamorgan*, Wrexham |
| Dependent areas: | Anguilla, Bermuda, British Indian Ocean Territory, British Virgin Islands, Cayman Islands, Falkland Islands, Gibraltar, Guernsey, Jersey, Isle of Man, Montserrat, Pitcairn Islands, Saint Helena, South Georgia and the South Sandwich Islands, Turks and Caicos Islands |
| Independence: | England has existed as a unified entity since the 10th century; the union between England and Wales was enacted under the Statute of Rhuddlan in 1284; in the Act of Union of 1707, England and Scotland agreed to permanent union as Great Britain; the legislative union of Great Britain and Ireland was implemented in 1801, with the adoption of the name the United Kingdom of Great Britain and Ireland; the Anglo-Irish treaty of 1921 formalized a partition of Ireland; six northern Irish counties remained part of the United Kingdom as Northern Ireland and the current name of the country, the United Kingdom of Great Britain and Northern Ireland, was adopted in 1927 |
| National holiday: | Birthday of Queen ELIZABETH II, celebrated on the second Saturday in June (1926) |
| Constitution: | unwritten; partly statutes, partly common law and practice |
| Legal system: | common law tradition with early Roman and modern continental influences; no judicial review of Acts of Parliament; accepts compulsory ICJ jurisdiction, with reservations; British courts and legislation are increasingly subject to review by European Union courts |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); Heir Apparent Prince CHARLES (son of the queen, born 14 November 1948) |
| Executive branch: | head of government: Prime Minister Anthony (Tony) BLAIR (since 2 May 1997) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the prime minister |
| Executive branch: | elections: none; the monarchy is hereditary; following legislative elections, the leader of the majority party or the leader of the majority coalition is usually the prime minister |
| Legislative branch: | bicameral Parliament comprised of House of Lords (consists of approximately 500 life peers, 92 hereditary peers and 26 clergy) and House of Commons (659 seats; members are elected by popular vote to serve five-year terms unless the House is dissolved earlier) |
| Legislative branch: | elections: House of Lords - no elections (some proposals for further reform include elections); House of Commons - last held 7 June 2001 (next to be held by NA May 2006) |
| Legislative branch: | election results: House of Commons - percent of vote by party - Labor 42.1%, Conservative and Unionist 32.7%, Liberal Democrats 18.8%, other 6.4%; seats by party - Labor 412, Conservative and Unionist 166, Liberal Democrat 52, other 29; note - seating as of 15 February 2002: Labor 410, Conservative 164, Liberal Democrats 53, other 32 |
| Legislative branch: | note: in 1998 elections were held for a Northern Ireland Parliament (because of unresolved disputes among existing parties, the transfer of power from London to Northern Ireland came only at the end of 1999 and was twice rescinded before reinstatement in November 2001); in 1999 there were elections for a new Scottish Parliament and a new Welsh Assembly |
| Judicial branch: | House of Lords (highest court of appeal; several Lords of Appeal in Ordinary are appointed by the monarch for life); Supreme Courts of England, Wales, and Northern Ireland (comprising the Courts of Appeal, the High Courts of Justice, and the Crown Courts); Scotland's Court of Session and Court of the Justiciary |
| Political parties and leaders: | Conservative and Unionist Party [Iain DUNCAN SMITH]; Democratic Unionist Party (Northern Ireland) [Rev. Ian PAISLEY]; Labor Party [Anthony (Tony) BLAIR]; Liberal Democrats [Charles KENNEDY]; Party of Wales (Plaid Cymru) [Ieuan Wyn JONES]; Scottish National Party or SNP [John SWINNEY]; Sinn Fein (Northern Ireland) [Gerry ADAMS]; Social Democratic and Labor Party or SDLP (Northern Ireland) [Mark DURKAN]; Ulster Unionist Party (Northern Ireland) [David TRIMBLE] |
| Political pressure groups and leaders: | Campaign for Nuclear Disarmament; Confederation of British Industry; National Farmers' Union; Trades Union Congress |
