| Government | United Kingdom |
| --- | --- |
| Country name: | conventional long form: United Kingdom of Great Britain and Northern Ireland; note - Great Britain includes England, Scotland, and Wales |
| Country name: | conventional short form: United Kingdom |
| Country name: | abbreviation: UK |
| Government type: | constitutional monarchy |
| Capital: | London |
| Administrative divisions: | England - 47 boroughs, 36 counties, 29 London boroughs, 12 cities and boroughs, 10 districts, 12 cities, 3 royal boroughs |
| Administrative divisions: | : boroughs: Barnsley, Blackburn with Darwen, Blackpool, Bolton, Bournemouth, Bracknell Forest, Brighton and Hove, Bury, Calderdale, Darlington, Doncaster, Dudley, Gateshead, Halton, Hartlepool, Kirklees, Knowsley, Luton, Medway, Middlesbrough, Milton Keynes, North Tyneside, Oldham, Poole, Reading, Redcar and Cleveland, Rochdale, Rotherham, Sandwell, Sefton, Slough, Solihull, Southend-on-Sea, South Tyneside, St. Helens, Stockport, Stockton-on-Tees, Swindon, Tameside, Thurrock, Torbay, Trafford, Walsall, Warrington, Wigan, Wirral, Wolverhampton |
| Administrative divisions: | : counties: Bedfordshire, Buckinghamshire, Cambridgeshire, Cheshire, Cornwall, Cumbria, Derbyshire, Devon, Dorset, Durham, East Sussex, Essex, Gloucestershire, Hampshire, Herefordshire, Hertfordshire, Isle of Wight, Kent, Lancashire, Leicestershire, Lincolnshire, Norfolk, Northamptonshire, Northumberland, North Yorkshire, Nottinghamshire, Oxfordshire, Shropshire, Somerset, Staffordshire, Suffolk, Surrey, Warwickshire, West Sussex, Wiltshire, Worcestershire |
| Administrative divisions: | : London boroughs: Barking and Dagenham, Barnet, Bexley, Brent, Bromley, Camden, Croydon, Ealing, Enfield, Greenwich, Hackney, Hammersmith and Fulham, Haringey, Harrow, Havering, Hillingdon, Hounslow, Islington, Lambeth, Lewisham, Merton, Newham, Redbridge, Richmond upon Thames, Southwark, Sutton, Tower Hamlets, Waltham Forest, Wandsworth |
| Administrative divisions: | : cities and boroughs: Birmingham, Bradford, Coventry, Leeds, Liverpool, Manchester, Newcastle upon Tyne, Salford, Sheffield, Sunderland, Wakefield, Westminster |
| Administrative divisions: | : districts: Bath and North East Somerset, East Riding of Yorkshire, North East Lincolnshire, North Lincolnshire, North Somerset, Rutland, South Gloucestershire, Telford and Wrekin, West Berkshire, Wokingham |
| Administrative divisions: | : cities: City of Bristol, Derby, City of Kingston upon Hull, Leicester, City of London, Nottingham, Peterborough, Plymouth, Portsmouth, Southampton, Stoke-on-Trent, York |
| Administrative divisions: | : royal boroughs: Kensington and Chelsea, Kingston upon Thames, Windsor and Maidenhead |
| Administrative divisions: | : Northern Ireland - 24 districts, 2 cities, 6 counties |
| Administrative divisions: | : districts: Antrim, Ards, Armagh, Ballymena, Ballymoney, Banbridge, Carrickfergus, Castlereagh, Coleraine, Cookstown, Craigavon, Down, Dungannon, Fermanagh, Larne, Limavady, Lisburn, Magherafelt, Moyle, Newry and Mourne, Newtownabbey, North Down, Omagh, Strabane |
| Administrative divisions: | : cities: Belfast, Derry |
