| Government | Isle of Man |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Isle of Man |
| Country name: | abbreviation: I.O.M. |
| Country name: | etymology: the name "man" may be derived from the Celtic word for "mountain" |
| Dependency status: | British crown dependency |
| Government type: | parliamentary democracy (Tynwald) |
| Capital: | name: Douglas |
| Capital: | geographic coordinates: 54 09 N, 4 29 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | etymology: name derives from the Dhoo and Glass Rivers, which flow through the valley in which the town is located and which in Manx mean the "dark" and the "light" rivers respectively |
| Administrative divisions: | none; there are no first-order administrative divisions as defined by the US Government, but there are 24 local authorities each with its own elections |
| Independence: | none (British Crown dependency) |
| National holiday: | Tynwald Day, 5 July (1417); date Tynwald Day was first recorded |
| Constitution: | history: development of the Isle of Man constitution dates to at least the 14th century |
| Constitution: | amendments: proposed as a bill in the House of Keys, by the "Government," by a "Member of the House," or through petition to the House or Legislative Council; passage normally requires three separate readings and approval of at least 13 House members; following both House and Council agreement, assent is required by the lieutenant governor on behalf of the Crown; the constitution has been expanded and amended many times, last in 2019 |
| Legal system: | the laws of the UKÂ apply where applicable and include Manx statutes |
| Citizenship: | see United Kingdom |
| Suffrage: | 16 years of age; universal |
| Executive branch: | chief of state: Lord of Mann Queen ELIZABETH II (since 6 February 1952); represented by Lieutenant Governor Sir Richard GOZNEY (since 27 May 2016) |
| Executive branch: | head of government: Chief Minister Howard QUAYLE (since 4 October 2016) |
| Executive branch: | cabinet: Council of Ministers appointed by the lieutenant governor |
| Executive branch: | elections/appointments: the monarchy is hereditary; lieutenant governor appointed by the monarch; chief minister indirectly elected by the Tynwald for a 5-year term (eligible for second term); election last held on 4 October 2016 (next to be held in 2021) |
| Executive branch: | election results: Howard QUAYLE (independent) elected chief minister; Tynwald vote - 21 of 33 |
| Legislative branch: | description: bicameral Tynwald or the High Court of Tynwald consists of: |
| Legislative branch: | Legislative Council (11 seats; includes the President of Tynwald, 2 ex-officio members - the Lord Bishop of Sodor and Man and the attorney general (non-voting) - and 8 members indirectly elected by the House of Keys with renewal of 4 members every 2 years; elected members serve 4-year terms) |
| Legislative branch: | House of Keys (24 seats; 2 members directly elected by simple majority vote from 12 constituencies to serve 5-year terms) |
| Legislative branch: | elections: |
| Legislative branch: | Legislative Council -Â last held 28 February 2018 (next to be held 12 March 2020) |
| Legislative branch: | House of Keys - last held on 22 September 2016 (next to be held on 23 September 2021) |
| Legislative branch: | election results: Â  |
| Legislative branch: | Legislative Council - composition - men 6, women 5, percent of women 45.5% |
| Legislative branch: | House of Keys - percent of vote by party - Liberal Vannin 6.4%, independent 92.3%, other 1.3%; seats by party - Liberal Vannin 3, independent 21; composition - men 19, women 5, percent of women 20.8%; note - total Tynwald percent of women 28.6% |
| Legislative branch: | note: as of January 2019, seats by party - Liberal Vannin 2, independent 22 |
| Judicial branch: | highest courts: Isle of Man High Court of Justice (consists of 3 permanent judges or "deemsters" and 1 judge of appeal; organized into the Staff of Government Division or Court of Appeal and the Civil Division); the Court of General Gaol Delivery is not formally part of the High Court but is administered as though part of the High Court and deals with serious criminal cases; note - appeals beyond the Court of Appeal are referred to the Judicial Committee of the Privy Council (in London) |
| Judicial branch: | judge selection and term of office: deemsters appointed by the Lord Chancellor of England on the nomination of the lieutenant governor; deemsters can serve until age 70 |
| Judicial branch: | subordinate courts: High Court; Court of Summary Gaol Delivery; Summary Courts; Magistrate's Court; specialized courts |
| Political parties and leaders: | Liberal Vannin Party [Kate BEECROFT] |
| Political parties and leaders: | Manx Labor Party |
| Political parties and leaders: | Mec Vannin [Mark KERMODE] (sometimes referred to as the Manx Nationalist Party) |
| Political parties and leaders: | note: most members sit as independents |
| International organization participation: | UPU |
| Diplomatic representation in the US: | none (British crown dependency) |
| Diplomatic representation from the US: | none (British crown dependency) |
| Flag description: | red with the Three Legs of Man emblem (triskelion), in the center; the three legs are joined at the thigh and bent at the knee; in order to have the toes pointing clockwise on both sides of the flag, a two-sided emblem is used; the flag is based on the coat of arms of the last recognized Norse King of Mann, Magnus III (r. 1252-65); the triskelion has its roots in an early Celtic sun symbol |
| National symbol(s): | triskelion (a motif of three legs); national colors: red, white |
| National anthem: | name: "Arrane Ashoonagh dy Vannin" (O Land of Our Birth) |
| National anthem: | lyrics/music: William Henry GILL [English], John J. KNEEN [Manx]/traditional |
| National anthem: | note: adopted 2003, in use since 1907; serves as a local anthem; as a British Crown dependency, "God Save the Queen" is official (see United Kingdom) and is played when the sovereign, members of the royal family, or the lieutenant governor are present |
