| Government | Burkina Faso |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Burkina Faso |
| Country name: | local long form: none |
| Country name: | local short form: Burkina Faso |
| Country name: | former: Upper Volta, Republic of Upper Volta |
| Government type: | parliamentary republic |
| Capital: | name: Ouagadougou |
| Capital: | geographic coordinates: 12 22 N, 1 31 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 13 regions; Boucle du Mouhoun, Cascades, Centre, Centre-Est, Centre-Nord, Centre-Ouest, Centre-Sud, Est, Hauts-Bassins, Nord, Plateau-Central, Sahel, Sud-Ouest |
| Independence: | 5 August 1960 (from France) |
| National holiday: | Republic Day, 11 December (1958); note - commemorates the day that Upper Volta became an autonomous republic in the French Community |
| Constitution: | several previous; latest approved by referendum 2 June 1991, adopted 11 June 1991; amended several times, last in 2012 (2012) |
| Legal system: | civil law based on the French model and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Blaise COMPAORE (since 15 October 1987) |
| Executive branch: | head of government: Prime Minister Luc-Adolphe TIAO (since 18 April 2011) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the recommendation of the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 21 November 2010 (next to be held in 2015); prime minister appointed by the president with the consent of the National Assembly |
| Executive branch: | election results: Blaise COMPAORE reelected president; percent of popular vote - Blaise COMPAORE 80.2%, Hama Arba DIALLO 8.2%, Benewende Stanislas SANKARA 6.3%, other 5.3% |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (127 seats; members are elected by proportional representation in one national constituency of 16 seats, and 45 multi-member constituencies having between 2 and 9 seats with members serving five-year terms) |
| Legislative branch: | elections: National Assembly election last held on 2 December 2012 (next to be held in 2017) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - CDP 70, ADF-RDA 19, Union for Progress and Reform 19, UPR 4, UNIR-MS 4, CFD-B 3, PDS/Metba 2, other 6 |
| Judicial branch: | highest court(s): Supreme Court of Appeals or Cour de Cassation (consists of NA judges); Constitutional Council or Conseil Constitutionnel (consists of the council president and 3 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judge appointments mostly controlled by the president of Burkina Faso; judge tenure NA; Constitutional Council judges appointed by the president of Burkina Faso upon the proposal of the minister of justice and the president of the National Assembly; judges appointed for 9-year terms with one-third of judges renewed every 3 years |
| Judicial branch: | subordinate courts: Appeals Court; High Court; first instance tribunals; district courts; specialized courts relating to issues of labor, children, and juveniles; village (customary) courts |
| Political parties and leaders: | African Democratic Rally-Alliance for Democracy and Federation or ADF-RDA [Gilbert OUEDRAOGO] |
| Political parties and leaders: | Citizen's Popular Rally or RPC [Antoine QUARE] |
| Political parties and leaders: | Coalition of Democratic Forces of Burkina or CFD-B [Zio Eric FRANCOIS] |
| Political parties and leaders: | Congress for Democracy and Progress or CDP [Assimi KOUANDA] |
| Political parties and leaders: | Democratic and Popular Rally or RDP [Nana THIBAUT] |
| Political parties and leaders: | Movement for Tolerance and Progress or MTP [Nayabtigungou Congo KABORE] |
| Political parties and leaders: | Party for African Independence or PAI [Soumane TOURE] |
| Political parties and leaders: | Party for Democracy and Progress-Socialist Party or PDP-PS [Francois O. KABORE] |
| Political parties and leaders: | Party for Democracy and Socialism/Metba or PDS/Metba [Hama Arba DIALLO] |
| Political parties and leaders: | Party for National Rebirth or PAREN [Barry TAHIROU] |
| Political parties and leaders: | People's Movement for Progress or MPP [Roch March KABORE] |
| Political parties and leaders: | Rally for the Development of Burkina or RDB [Celestin Saidou COMPAORE] |
| Political parties and leaders: | Rally of Ecologists of Burkina Faso or RDEB [Ram OUEDRAGO] |
| Political parties and leaders: | Republican Party for Integration and Solidarity or PARIS |
| Political parties and leaders: | Union for Democracy and Social Progress or UDPS [Fidele HIEN] |
| Political parties and leaders: | Union for Progress and Change or UPC [Zephirin DIABRE] |
| Political parties and leaders: | Union for Rebirth - Sankarist Movement or UNIR-MS [Benewende Stanislas SANKARA] |
| Political parties and leaders: | Union for the Republic or UPR [Toussaint Abel COULIBALY] |
| Political parties and leaders: | Union of Sankarist Parties or UPS [Ernest Nongma OUEDRAOGO] |
| Political pressure groups and leaders: | Burkinabe General Confederation of Labor or CGTB [Tole SAGNON] |
| Political pressure groups and leaders: | Burkinabe Movement for Human Rights or MBDHP [Chrysigone ZOUGMORE] |
| Political pressure groups and leaders: | Citizen's Resistance Front [Luc Marius IBRIGA] |
| Political pressure groups and leaders: | Group of 14 February [Benewende Stanislas SANKARA] |
| Political pressure groups and leaders: | National Confederation of Burkinabe Workers or CNTB [Laurent OUEDRAOGO] |
