| Government | Burkina Faso |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Burkina Faso |
| Country name: | local long form: none |
| Country name: | local short form: Burkina Faso |
| Country name: | former: Upper Volta, Republic of Upper Volta |
| Government type: | parliamentary republic |
| Capital: | name: Ouagadougou |
| Capital: | geographic coordinates: 12 22 N, 1 31 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 13 regions; Boucle du Mouhoun, Cascades, Centre, Centre-Est, Centre-Nord, Centre-Ouest, Centre-Sud, Est, Hauts-Bassins, Nord, Plateau-Central, Sahel, Sud-Ouest |
| Independence: | 5 August 1960 (from France) |
| National holiday: | Republic Day, 11 December (1958); note - commemorates the day that Upper Volta became an autonomous republic in the French Community |
| Constitution: | approved by referendum 2 June 1991; formally adopted 11 June 1991; last amended January 2002 |
| Legal system: | civil law based on the French model and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Blaise COMPAORE (since 15 October 1987) |
| Executive branch: | head of government: Prime Minister Luc-Adolphe TIAO (since 18 April 2011) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the recommendation of the prime minister |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 21 November 2010 (next to be held in 2015); prime minister appointed by the president with the consent of the legislature |
| Executive branch: | election results: Blaise COMPAORE reelected president; percent of popular vote - Blaise COMPAORE 80.2%, Hama Arba DIALLO 8.2%, Benewende Stanislas SANKARA 6.3%, other 5.3% |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (127 seats; members are elected by proportional representation in one national constituency of 16 seats, and 45 multi-member constituencies having between 2 and 9 seats with members serving five-year terms) |
| Legislative branch: | elections: National Assembly election last held on 2 December 2012 (next to be held in 2017) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - CDP 70, ADF-RDA 19, Union for Progress and Reform 19, UPR 4, UNIR-MS 4, CFD-B 3, PDS/Metba 2, other 6 |
| Judicial branch: | Supreme Court of Appeals or Cour de Cassation; Council of State or Conseil d'Etat; Court of Accounts or la Cour des Comptes; Constitutional Council or Conseil Constitutionnel |
| Political parties and leaders: | African Democratic Rally-Alliance for Democracy and Federation or ADF-RDA [Gilbert OUEDRAOGO]; Citizen's Popular Rally or RPC [Antoine QUARE]; Coalition of Democratic Forces of Burkina or CFD-B [Amadou Diemdioda DICKO]; Congress for Democracy and Progress or CDP [Roch Marc-Christian KABORE]; Democratic and Popular Rally or RDP [Nana THIBAUT]; Movement for Tolerance and Progress or MTP [Nayabtigungou Congo KABORE]; Party for African Independence or PAI [Soumane TOURE]; Party for Democracy and Progress-Socialist Party or PDP-PS [Ali LANKOANDE]; Party for Democracy and Socialism/Metba or PDS/Metba [Hama Arba DIALLO]; Party for National Rebirth or PAREN [Jeanne TRAORE]; Rally for the Development of Burkina or RDB [Antoine KARGOUGOU]; Rally of Ecologists of Burkina Faso or RDEB [Ram OUEDRAGO]; Republican Party for Integration and Solidarity or PARIS; Union for Democracy and Social Progress or UDPS [Fidele HIEN]; Union for Progress and Reform; Union for Rebirth - Sankarist Movement or UNIR-MS [Benewende STANISLAS]; Union for the Republic or UPR [Toussaint Abel COULIBALY]; Union of Sankarist Parties or UPS [Ernest Nongma OUEDRAOGO] |
| Political pressure groups and leaders: | Burkinabe General Confederation of Labor or CGTB [Tole SAGNON]; Burkinabe Movement for Human Rights or MBDHP [Chrysigone ZOUGMORE]; Group of 14 February [Benewende STANISLAS]; National Confederation of Burkinabe Workers or CNTB [Laurent OUEDRAOGO]; National Organization of Free Unions or ONSL [Paul KABORE] |
| Political pressure groups and leaders: | other: watchdog/political action groups throughout the country in both organizations and communities |
| International organization participation: | ACP, AfDB, AU, CD, ECOWAS, EITI (candidate country), Entente, FAO, FZ, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, MONUSCO, NAM, OIC, OIF, OPCW, PCA, UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNISFA, UNITAR, UNWTO, UPU, WADB (regional), WAEMU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Seydou BOUDA |
| Diplomatic representation in the US: | chancery: 2340 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-5577 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-1882 |
| Diplomatic representation from the US: | chief of mission: Ambassador Thomas DOUGHERTY |
