| Government | Sao Tome and Principe |
| --- | --- |
| Country name: | conventional long form: Democratic Republic of Sao Tome and Principe |
| Country name: | conventional short form: Sao Tome and Principe |
| Country name: | local short form: Sao Tome e Principe |
| Country name: | local long form: Republica Democratica de Sao Tome e Principe |
| Government type: | republic |
| Capital: | Sao Tome |
| Administrative divisions: | 2 provinces; Principe, Sao Tome |
| Administrative divisions: | note: Principe has had self-government since 29 April 1995 |
| Independence: | 12 July 1975 (from Portugal) |
| National holiday: | Independence Day, 12 July (1975) |
| Constitution: | approved March 1990; effective 10 September 1990 |
| Legal system: | based on Portuguese legal system and customary law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Fradique DE MENEZES (since 3 September 2001) |
| Executive branch: | election results: Fradique DE MENEZES elected president in Sao Tome's third multiparty presidential election; percent of vote - NA% |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 29 July 2001 (next to be held NA July 2006); prime minister chosen by the National Assembly and approved by the president |
| Executive branch: | head of government: Prime Minister Maria das NEVES (since 7 October 2002) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the proposal of the prime minister |
| Legislative branch: | unicameral National Assembly or Assembleia Nacional (55 seats; members are elected by direct, popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 3 March 2002 (next to be held NA March 2006) |
| Legislative branch: | election results: percent of vote by party - MLSTP 39.6%, Force for Change Democratic Movement 39.4%, Ue-Kedadji coalition 16.2%; seats by party - MLSTP 24, Force for Change Democratic Movement 23, Ue-Kedadji coalition 8 |
| Judicial branch: | Supreme Court (judges are appointed by the National Assembly) |
| Political parties and leaders: | Democratic Renovation Party [Armindo GRACA]; Force for Change Democratic Movement [leader NA]; Independent Democratic Action or ADI [Carlos NEVES]; Movement for the Liberation of Sao Tome and Principe-Social Democratic Party or MLSTP-PSD [Manuel Pinto Da COSTA]; Party for Democratic Convergence or PCD [Aldo BANDEIRA]; Ue-Kedadji coalition [leader NA]; other small parties |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, AfDB, CEEAC, ECA, FAO, G-77, IBRD, ICAO, ICCt (signatory), ICRM, IDA, IFAD, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ITU, NAM, OAU, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WHO, WIPO, WMO, WToO, WTrO (observer) |
| Diplomatic representation in the US: | Sao Tome and Principe does not have an embassy in the US, but does have a Permanent Mission to the UN, headed by First Secretary Domingos Augusto FERREIRA, located at 400 Park Avenue, 7th Floor, New York, NY 10022, telephone [1] (212) 317-0580 |
| Diplomatic representation from the US: | the US does not have an embassy in Sao Tome and Principe; the Ambassador to Gabon is accredited to Sao Tome and Principe on a nonresident basis and makes periodic visits to the islands |
| Flag description: | three horizontal bands of green (top), yellow (double width), and green with two black five-pointed stars placed side by side in the center of the yellow band and a red isosceles triangle based on the hoist side; uses the popular pan-African colors of Ethiopia |
