| Government | MOLDOVA |
| --- | --- |
| Country name: | conventional long form: Republic of Moldova |
| Country name: | conventional short form: Moldova |
| Country name: | local long form: Republica Moldova |
| Country name: | local short form: Moldova |
| Country name: | former: Moldavian Soviet Socialist Republic, Moldovan Soviet Socialist Republic |
| Government type: | republic |
| Capital: | name: Chisinau in Romanian (Kishinev in Russian) |
| Capital: | note: pronounced KEE-shee-now (KIH-shi-nyov) |
| Capital: | geographic coordinates: 47 00 N, 28 51 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 32 raions (raioane, singular - raion), 3 municipalities (municipii, singular - municipiul), 1 autonomous territorial unit (unitatea teritoriala autonoma), and 1 territorial unit (unitatea teritoriala) |
| Administrative divisions: | raions: Anenii Noi, Basarabeasca, Briceni, Cahul, Cantemir, Calarasi, Causeni, Cimislia, Criuleni, Donduseni, Drochia, Dubasari, Edinet, Falesti, Floresti, Glodeni, Hincesti, Ialoveni, Leova, Nisporeni, Ocnita, Orhei, Rezina, Riscani, Singerei, Soldanesti, Soroca, Stefan-Voda, Straseni, Taraclia, Telenesti, Ungheni |
| Administrative divisions: | municipalities: Balti, Bender, Chisinau |
| Administrative divisions: | autonomous territorial unit: Gagauzia |
| Administrative divisions: | territorial unit: Stinga Nistrului (Transnistria) |
| Independence: | 27 August 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 27 August (1991) |
| Constitution: | previous 1978; latest adopted 29 July 1994, effective 27 August 1994; amended 2003 (2011) |
| Legal system: | civil law system with Germanic law influences; Constitutional Court review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Nicolae TIMOFTI (since 23 March 2012) |
| Executive branch: | head of government: Prime Minister Chiril GABURICI (since 18 February 2015) |
