| Government | Honduras |
| --- | --- |
| Country name: | conventional long form: Republic of Honduras |
| Country name: | conventional short form: Honduras |
| Country name: | local long form: Republica de Honduras |
| Country name: | local short form: Honduras |
| Government type: | democratic constitutional republic |
| Capital: | name: Tegucigalpa |
| Capital: | geographic coordinates: 14 06 N, 87 13 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November |
| Administrative divisions: | 18 departments (departamentos, singular - departamento); Atlantida, Choluteca, Colon, Comayagua, Copan, Cortes, El Paraiso, Francisco Morazan, Gracias a Dios, Intibuca, Islas de la Bahia, La Paz, Lempira, Ocotepeque, Olancho, Santa Barbara, Valle, Yoro |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | 11 January 1982, effective 20 January 1982; amended many times |
| Legal system: | rooted in Roman and Spanish civil law with increasing influence of English common law; recent judicial reforms include abandoning Napoleonic legal codes in favor of the oral adversarial system; accepts ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal and compulsory |
| Executive branch: | chief of state: President Porfirio LOBO Sosa (since 27 January 2010); Vice President Maria Antonieta Guillen de BOGRAN (since 27 January 2010); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Porfirio LOBO Sosa (since 27 January 2010); Vice President Maria Antonieta Guillen de BOGRAN (since 27 January 2010) |
| Executive branch: | cabinet: Cabinet appointed by president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a four-year term; election last held on 29 November 2009 (next to be held in November 2013) |
| Executive branch: | election results: Porfirio "Pepe" LOBO Sosa elected president; percent of vote - Porfirio "Pepe" LOBO Sosa 56.3%, Elvin SANTOS Lozano 38.1%, other 5.6% |
| Legislative branch: | unicameral National Congress or Congreso Nacional (128 seats; members elected proportionally by department to serve four-year terms) |
| Legislative branch: | elections: last held on 29 November 2009 (next to be held in November 2013) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - PNH 71, PL 45, PDC 5, PUD 4, PINU 3 |
| Judicial branch: | Supreme Court of Justice or Corte Suprema de Justicia (15 judges are elected for seven-year terms by the National Congress) |
| Political parties and leaders: | Christian Democratic Party or PDC [Felicito AVILA Ordonez]; Democratic Unification Party or PUD [Cesar HAM]; Liberal Party or PL [Roberto MICHELETTI Bain]; National Party or PN [Antonio ALVAREZ Arias]; Social Democratic Innovation and Unity Party or PINU [Jorge Rafael AGUILAR Paredes] |
| Political pressure groups and leaders: | Beverage and Related Industries Syndicate or STIBYS; Committee for the Defense of Human Rights in Honduras or CODEH; Confederation of Honduran Workers or CTH; Coordinating Committee of Popular Organizations or CCOP; General Workers Confederation or CGT; Honduran Council of Private Enterprise or COHEP; National Association of Honduran Campesinos or ANACH; National Union of Campesinos or UNC; Popular Bloc or BP; United Confederation of Honduran Workers or CUTH |
| International organization participation: | BCIE, CACM, FAO, G-11, G-77, IADB, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC (suspended), IOM, ISO (subscriber), ITSO, ITU, ITUC, LAES, LAIA (observer), MIGA, MINURSO, NAM, OAS (suspended), OPANAL, OPCW, PCA, PetroCaribe, RG (suspended), SICA, UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO (suspended), WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jorge Ramon HERNANDEZ Alcerro |
| Diplomatic representation in the US: | chancery: Suite 4-M, 3007 Tilden Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 966-2604 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-9751 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Chicago, Houston, Los Angeles, Miami, New Orleans, New York, Phoenix, San Francisco |
| Diplomatic representation in the US: | honorary consulate(s): Jacksonville |
| Diplomatic representation from the US: | chief of mission: Ambassador Hugo LLORENS |
| Diplomatic representation from the US: | embassy: Avenida La Paz, Apartado Postal No. 3453, Tegucigalpa |
| Diplomatic representation from the US: | mailing address: American Embassy, APO AA 34022, Tegucigalpa |
| Diplomatic representation from the US: | telephone: [504] 236-9320, 238-5114 |
| Diplomatic representation from the US: | FAX: [504] 238-4357 |
| Flag description: | three equal horizontal bands of blue (top), white, and blue, with five blue, five-pointed stars arranged in an X pattern centered in the white band; the stars represent the members of the former Federal Republic of Central America - Costa Rica, El Salvador, Guatemala, Honduras, and Nicaragua; the blue bands symbolize the Pacific Ocean and the Caribbean Sea; the white band represents the land between the two bodies of water and the peace and prosperity of its people |
| Flag description: | note: similar to the flag of El Salvador, which features a round emblem encircled by the words REPUBLICA DE EL SALVADOR EN LA AMERICA CENTRAL centered in the white band; also similar to the flag of Nicaragua, which features a triangle encircled by the words REPUBLICA DE NICARAGUA on top and AMERICA CENTRAL on the bottom, centered in the white band |
| National anthem: | name: "Himno Nacional de Honduras" (National Anthem of Honduras) |
| National anthem: | lyrics/music: Augusto Constancio COELLO/Carlos HARTLING |
| National anthem: | note: adopted 1915; the anthem's seven verses chronicle Honduran history; on official occasions, only the chorus and last verse are sung |
