| Government |
| --- | --- |
| Country name: | conventional long form: Togolese Republic |
| Country name: | conventional short form: Togo |
| Country name: | local long form: Republique Togolaise |
| Country name: | local short form: none |
| Country name: | former: French Togoland |
| Government type: | republic under transition to multiparty democratic rule |
| Capital: | Lome |
| Administrative divisions: | 5 regions (regions, singular - region); De La Kara, Des Plateaux, Des Savanes, Du Centre, Maritime |
| Independence: | 27 April 1960 (from French-administered UN trusteeship) |
| National holiday: | Independence Day, 27 April (1960) |
| Constitution: | multiparty draft constitution approved by High Council of the Republic 1 July 1992; adopted by public referendum 27 September 1992 |
| Legal system: | French-based court system |
| Suffrage: | NA years of age; universal adult |
| Executive branch: | chief of state: President Gen. Gnassingbe EYADEMA (since 14 April 1967) |
| Executive branch: | head of government: Prime Minister Agbeyome KODJO (since 29 August 2000) |
| Executive branch: | cabinet: Council of Ministers appointed by the president and the prime minister |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 21 June 1998 (next to be held NA 2003); prime minister appointed by the president |
| Executive branch: | election results: Gnassingbe EYADEMA reelected president; percent of vote - Gnassingbe EYADEMA 52.13%, Gilchrist OLYMPIO 34.12%, other 13.75% |
| Legislative branch: | unicameral National Assembly (81 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 21 March 1999 (next due to be held NA October 2001) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - RPT 79, independents 2 |
| Legislative branch: | note: Togo's main opposition parties boycotted the election because of EYADEMA's alleged manipulation of 1998 presidential polling; in March of 1999, opposition parties entered into negotiations with the president over the establishment of an independent electoral commission and a new round of legislative elections, now scheduled for October 2001 |
| Judicial branch: | Court of Appeal or Cour d'Appel; Supreme Court or Cour Supreme |
| Political parties and leaders: | Action Committee for Renewal or CAR [Yawovi AGBOYIBO]; Coordination des Forces Nouvelles or CFN [Joseph KOFFIGOH]; Democratic Convention of African Peoples or CDPA [Leopold GNININVI]; Party for Democracy and Renewal or PDR [Zarifou AYEVA]; Patriotic Pan-African Convergence or CPP [Edem KODJO]; Rally of the Togolese People or RPT [President Gen. Gnassingbe EYADEMA]; Union of Forces for Change or UFC [Gilchrist OLYMPIO (in exile), Jeane-Pierre FABRE, general secretary in Togo]; Union of Independent Liberals or ULI [Jacques AMOUZO] |
| Political parties and leaders: | note: Rally of the Togolese People or RPT, led by President EYADEMA, was the only party until the formation of multiple parties was legalized 12 April 1991 |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, AfDB, CCC, ECA, ECOWAS, Entente, FAO, FZ, G-77, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Intelsat, Interpol, IOC, ITU, MIPONUH, NAM, OAU, OIC, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WADB, WAEMU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Akoussoulelov BODJONA |
| Diplomatic representation in the US: | chancery: 2208 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 234-4212 |
| Diplomatic representation in the US: | FAX: [1] (202) 232-3190 |
| Diplomatic representation from the US: | chief of mission: Ambassador Karl HOFMANN |
| Diplomatic representation from the US: | embassy: Angle Rue Kouenou and Rue 15 Beniglato, Lome |
| Diplomatic representation from the US: | mailing address: B. P. 852, Lome |
| Diplomatic representation from the US: | telephone: [228] 21 29 91 through 21 29 94 |
| Diplomatic representation from the US: | FAX: [228] 21 79 52 |
| Flag description: | five equal horizontal bands of green (top and bottom) alternating with yellow; there is a white five-pointed star on a red square in the upper hoist-side corner; uses the popular pan-African colors of Ethiopia |
