| Government | Cyprus |
| --- | --- |
| Country name: | conventional long form: Republic of Cyprus |
| Country name: | conventional short form: Cyprus |
| Country name: | note: the Turkish Cypriot area refers to itself as the "Turkish Republic of Northern Cyprus" (TRNC) |
| Government type: | republic |
| Government type: | note: a disaggregation of the two ethnic communities inhabiting the island began following the outbreak of communal strife in 1963; this separation was further solidified after the Turkish intervention in July 1974 after a Greek junta-based coup attempt gave the Turkish Cypriots de facto control in the north; Greek Cypriots control the only internationally recognized government; on 15 November 1983 Turkish Cypriot "President" Rauf DENKTASH declared independence and the formation of a "Turkish Republic of Northern Cyprus" (TRNC), recognized only by Turkey; both sides publicly support a settlement based on a federation (Greek Cypriot position) or confederation (Turkish Cypriot position) |
| Capital: | Nicosia |
| Administrative divisions: | 6 districts; Famagusta, Kyrenia, Larnaca, Limassol, Nicosia, Paphos; note - Turkish Cypriot area's administrative divisions include Kyrenia, all but a small part of Famagusta, and small parts of Lefkosa (Nicosia) and Larnaca |
| Independence: | 16 August 1960 (from UK); note - Turkish Cypriot area proclaimed self-rule on 13 February 1975 |
| National holiday: | Independence Day, 1 October (1960); note - Turkish Cypriot area celebrates 15 November (1983) as Independence Day |
| Constitution: | 16 August 1960; negotiations to create the basis for a new or revised constitution to govern the island and to better relations between Greek and Turkish Cypriots have been held intermittently; in 1975 Turkish Cypriots created their own constitution and governing bodies within the "Turkish Federated State of Cyprus," which was renamed the "Turkish Republic of Northern Cyprus" in 1983; a new constitution for the Turkish Cypriot area passed by referendum on 5 May 1985 |
| Legal system: | based on common law, with civil law modifications |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Tassos PAPADOPOULOS (since 1 March 2003); note - the president is both the chief of state and head of government; post of vice president is currently vacant; under the 1960 constitution, the post is reserved for a Turkish Cypriot |
| Executive branch: | head of government: President Tassos PAPADOPOULOS (since 1 March 2003); note - the president is both the chief of state and head of government; post of vice president is currently vacant; under the 1960 constitution, the post is reserved for a Turkish Cypriot |
| Executive branch: | cabinet: Council of Ministers appointed jointly by the president and vice president |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 16 February 2003 (next to be held NA February 2008) |
| Executive branch: | note: Rauf R. DENKTASH has been "president" of the Turkish Cypriot area since 13 February 1975 ("president" elected by popular vote for a five-year term); elections last held 15 April 2000 (next to be held NA April 2005); results - Rauf R. DENKTASH reelected president after the other contender withdrew; Dervis EROGLU has been "prime minister" of the Turkish Cypriot area since 16 August 1996; there is a Council of Ministers (cabinet) in the Turkish Cypriot area |
| Executive branch: | election results: Tassos PAPADOPOULOS elected president; percent of vote - Tassos PAPADOPOULOS 51.5%, Glafkos KLIRIDIS 38.8%, Alekos MARKIDIS 6.6% |
| Legislative branch: | unicameral - Greek Cypriot area: House of Representatives or Vouli Antiprosopon (80 seats; 56 assigned to the Greek Cypriots, 24 to Turkish Cypriots; note - only those assigned to Greek Cypriots are filled; members are elected by popular vote to serve five-year terms); Turkish Cypriot area: Assembly of the Republic or Cumhuriyet Meclisi (50 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | election results: Greek Cypriot area: House of Representatives - percent of vote by party - AKEL 34.71%, DISY 34%, DIKO 14.84%, KISOS 6.51%, others 9.94%; seats by party - AKEL (Communist) 20, DISY 19, DIKO 9, KISOS 4, others 4; Turkish Cypriot area: Assembly of the Republic - percent of vote by party - UBP 40.3%, DP 22.6%, TKP 15.4%, CTP 13.4%, UDP 4.6%, YBH 2.5%, BP 1.2%; seats by party - UBP 24, DP 13, TKP 7, CTP 6 |
| Legislative branch: | elections: Greek Cypriot area: last held 27 May 2001 (next to be held NA May 2006); Turkish Cypriot area: last held 6 December 1998 (next to be held NA December 2003) |
| Judicial branch: | Supreme Court (judges are appointed jointly by the president and vice president) |
| Judicial branch: | note: there is also a Supreme Court in the Turkish Cypriot area |
| Political parties and leaders: | Greek Cypriot area: Democratic Party or DIKO [Tassos PAPADOPOULOS]; Democratic Rally or DISY [Nikos ANASTASIADHIS]; Fighting Democratic Movement or ADIK [Dinos MIKHAILIDIS]; Green Party of Cyprus [George PERDIKIS]; New Horizons [Nikolaus KOUTSOU]; Restorative Party of the Working People or AKEL (Communist Party) [Dimitrios CHRISTOFIAS]; Social Democrats Movement or KISOS (formerly United Democratic Union of Cyprus or EDEK) [Yiannakis OMIROU]; United Democrats Movement or EDE [George VASSILIOU]; Turkish Cypriot area: Communal Liberation Party or TKP [Mustafa AKINCI]; Democratic Party or DP [Serder DENKTASH]; National Birth Party or UDP [Enver EMIN]; National Unity Party or UBP [Dervis EROGLU]; Our Party or BP [Okyay SADIKOGLU]; Patriotic Unity Movement or YBH [Izzet IZCAN]; Republican Turkish Party or CTP [Mehmet ALI TALAT] |
| Political pressure groups and leaders: | Confederation of Cypriot Workers or SEK (pro-West); Confederation of Revolutionary Labor Unions or Dev-Is; Federation of Turkish Cypriot Labor Unions or Turk-Sen; Pan-Cyprian Labor Federation or PEO (Communist controlled) |
| International organization participation: | Australia Group, C, CE, EBRD, ECE, EU (applicant), FAO, G-77, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, IDA, IFAD, IFC, IFRCS (associate), IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, NAM, NSG, OAS (observer), OPCW, OSCE, PCA, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Euripides L. EVRIVIADES |
| Diplomatic representation in the US: | chancery: 2211 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | FAX: [1] (202) 483-6710 |
| Diplomatic representation in the US: | note: representative of the Turkish Cypriot area in the US is Osman ERTUG; office at 1667 K Street NW, Washington, DC; telephone [1] (202) 887-6198 |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation in the US: | telephone: [1] (202) 462-5772 |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael KLOSSON |
| Diplomatic representation from the US: | embassy: corner of Metochiou and Ploutarchou Streets, Engomi, 2407 Nicosia |
| Diplomatic representation from the US: | mailing address: P. O. Box 24536, 1385 Nikosia |
| Diplomatic representation from the US: | telephone: [357] (22) 776400 |
| Diplomatic representation from the US: | FAX: [357] (22) 780944 |
| Flag description: | white with a copper-colored silhouette of the island (the name Cyprus is derived from the Greek word for copper) above two green crossed olive branches in the center of the flag; the branches symbolize the hope for peace and reconciliation between the Greek and Turkish communities |
| Flag description: | note: the Turkish Cypriot flag has a horizontal red stripe at the top and bottom between which is a red crescent and red star on a white field |
