| Government | GEORGIA |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Georgia |
| Country name: | local long form: none |
| Country name: | local short form: Sak'art'velo |
| Country name: | former: Georgian Soviet Socialist Republic |
| Government type: | republic |
| Capital: | name: Tbilisi |
| Capital: | geographic coordinates: 41 41 N, 44 50 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 9 regions (mkharebi, singular - mkhare), 1 city (kalaki), and 2 autonomous republics (avtomnoy respubliki, singular - avtom respublika) |
| Administrative divisions: | regions: Guria, Imereti, Kakheti, Kvemo Kartli, Mtskheta-Mtianeti, Racha-Lechkhumi and Kvemo Svaneti, Samegrelo and Zemo Svaneti, Samtskhe-Javakheti, Shida Kartli; note - the breakaway region of South Ossetia consists of the northern part of Shida Kartli, eastern slivers of the Imereti region and Racha-Lechkhumi and Kvemo Svaneti, and part of western Mtskheta-Mtianeti |
| Administrative divisions: | city: Tbilisi |
| Administrative divisions: | autonomous republics: Abkhazia or Ap'khazet'is Avtonomiuri Respublika (Sokhumi), Ajaria or Acharis Avtonomiuri Respublika (Bat'umi) |
| Administrative divisions: | note 1: the administrative centers of the two autonomous republics are shown in parentheses |
| Administrative divisions: | note 2: the United States recognizes the breakaway regions of Abkhazia and South Ossetia to be part of Georgia |
| Independence: | 9 April 1991 (from the Soviet Union); notable earlier date: A.D. 1008 (Georgia unified under King BAGRAT III) |
| National holiday: | Independence Day, 26 May (1918); note - 26 May 1918 was the date of independence from Soviet Russia, 9 April 1991 was the date of independence from the Soviet Union |
| Constitution: | previous 1921, 1978 (based on 1977 Soviet Union constitution); latest approved 24 August 1995, effective 17 October 1995; amended several times, last in 2013 (2013) |
| Legal system: | civil law system |
| International law organization participation: | accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Giorgi MARGVELASHVILI (since 17 November 2013) |
| Executive branch: | head of government: Prime Minister Irakli GARIBASHVILI (since 20 November 2013) |
| Executive branch: | cabinet: Cabinet of Ministers |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 27 October 2013 (next to be held in October 2018); prime minister nominated by Parliament, appointed by the president |
| Executive branch: | election results: Giorgi MARGVELASHVILI elected president; percent of vote - Giorgi MARGVELASHVILI (Georgian Dream) 62.1%, Davit BAKRADZE (UNM) 21.7%, Nino BURJANADZE 10.2%, other 6% |
| Legislative branch: | description: unicameral Parliament or Sakartvelos Parlamenti (150 seats; 77 members directly elected in a single nationwide constituency by proportional representation vote and 73 directly elected in single-seat constituencies by simple majority vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 1 October 2012 (next to be held in 2016) |
| Legislative branch: | election results: percent of vote by party - Georgian Dream-led coalition 55%, United National Movement 40.3%, other 4.7%; seats by party - Georgian Dream 85, United National Movement 65 |
| Judicial branch: | highest court(s): Supreme Court (organized into several specialized judicial chambers; number of judges determined by the president of Georgia); Constitutional Court (consists of 9 judges) |
| Judicial branch: | note - the Abkhazian and Ajarian Autonomous republics each have a supreme court and a hierarchy of lower courts |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by the president and appointed by the Parliament; judges serve not less than 10-year terms; Constitutional Court judges appointed by the president following candidate selection by the Justice Council of Georgia, a 12-member consultative body of high-level judges, and presidential and parliamentary appointees; judges appointed for 10-year terms |
| Judicial branch: | subordinate courts: Courts of Appeal; regional (town) and district courts |
| Political parties and leaders: | Alliance of Patriots [Irma INASHVILI] |
| Political parties and leaders: | Conservative Party [Zviad DZIDZIGURI] |
| Political parties and leaders: | European Democrats [Paata DAVITAIA] |
| Political parties and leaders: | Free Georgia [Kakha KUKAVA] |
| Political parties and leaders: | Georgian Dream (a five-party coalition composed of Georgian Dream-Democratic Georgia, Republican Party, National Forum, Conservative Party, and Industry Will Save Georgia, plus two factions of independent majoritarians) |
| Political parties and leaders: | Georgian Dream (a six-party coalition composed of Georgian Dream-Democratic Georgia, Republican Party, Our Georgia-Free Democrats, National Forum, Conservative Party, and Industry Will Save Georgia) |
| Political parties and leaders: | Georgian Dream-Democratic Georgia [Irakli GARIBASHVILI] |
| Political parties and leaders: | Georgian People's Front [Nodar NATADZE] |
| Political parties and leaders: | Georgian Troupe [Jondi BAGHTURIA] |
| Political parties and leaders: | Industry Will Save Georgia (Industrialists) or IWSG [Giorgi TOPADZE] |
| Political parties and leaders: | Labor Party [Shalva NATELASHVILI] |
| Political parties and leaders: | National Democratic Party or NDP [Bachuki KARDAVA] |
| Political parties and leaders: | National Forum [Kakhaber SHARTAVA] |
| Political parties and leaders: | New Rights [Pikria CHIKHRADZE] |
| Political parties and leaders: | Our Georgia-Free Democrats (OGFD) [Irakli ALASANIA] |
