| Government | Georgia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Georgia |
| Country name: | local long form: none |
| Country name: | local short form: Sak'art'velo |
| Country name: | former: Georgian Soviet Socialist Republic |
| Government type: | republic |
| Capital: | T'bilisi |
| Administrative divisions: | 9 regions (mkharebi, singular - mkhare), 9 cities (k'alak'ebi, singular - k'alak'i), and 2 autonomous republics (avtomnoy respubliki, singular - avtom respublika) |
| Administrative divisions: | : regions: Guria, Imereti, Kakheti, Kvemo Kartli, Mtskheta-Mtianeti, Racha-Lechkhumi and Kvemo Svaneti, Samegrelo and Zemo Svaneti, Samtskhe-Javakheti, Shida Kartli |
| Administrative divisions: | : cities: Chiat'ura, Gori, K'ut'aisi, P'ot'i, Rust'avi, T'bilisi, Tqibuli, Tsqaltubo, Zugdidi |
| Administrative divisions: | : autonomous republics: Abkhazia or Ap'khazet'is Avtonomiuri Respublika (Sokhumi), Ajaria or Acharis Avtonomiuri Respublika (Bat'umi) |
| Administrative divisions: | note: the administrative centers of the 2 autonomous republics are shown in parentheses |
| Independence: | 9 April 1991 (from Soviet Union) |
| National holiday: | Independence Day, 26 May (1918); note - 26 May 1918 is the date of independence from Soviet Russia, 9 April 1991 is the date of independence from the Soviet Union |
| Constitution: | adopted 24 August 1995 |
| Legal system: | based on civil law system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mikheil SAAKASHVILI (since 25 January 2004); note - the president is both the chief of state and head of government for the power ministries: state security (includes interior) and defense |
| Executive branch: | head of government: President Mikheil SAAKASHVILI (since 25 January 2004); Prime Minister Zurab NOGHAIDELI (since 17 February 2005); note - the president is the chief of state and head of government for the power ministries: state security (includes interior) and defense; the prime minister is head of the remaining ministries of government |
| Executive branch: | cabinet: Cabinet of Ministers |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 4 January 2004 (next to be held NA 2009) |
| Executive branch: | election results: Mikheil SAAKASHVILI elected president; percent of vote - Mikheil SAAKASHVILI 96.3%, Temur SHASHIASHVILI 1.9% |
| Legislative branch: | unicameral Supreme Council (commonly referred to as Parliament) or Umaghiesi Sabcho (235 seats - 150 elected by party lists); members are elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 28 March 2004 (next to be held spring 2008) |
| Legislative branch: | election results: percent of vote by party - National Movement-Democrats 67.6%, Rightist Opposition 7.6%, all other parties received less than 7% each; seats by party - National Movement-Democrats 135, Rightist Opposition 15 |
| Judicial branch: | Supreme Court (judges elected by the Supreme Council on the president's recommendation); Constitutional Court; first and second instance courts |
| Political parties and leaders: | Burjanadze-Democrats [Nino BURJANADZE]; Georgian People's Front [Nodar NATADZE]; Georgian United Communist Party or UCPG [Panteleimon GIORGADZE]; Greens [Giorgi GACHECHILADZE]; Industry Will Save Georgia (Industrialists) or IWSG [Georgi TOPADZE]; Labor Party [Shalva NATELASHVILI]; National Democratic Party or NDP [Bachuki KARDAVA]; National Movement Democratic Front [Mikheil SAAKASHVILI] bloc composed of National Movement and Burjanadze-Democrats; National Movement [Mikheil SAAKASHVILI]; New Right [David GAMKRELIDZE]; Republican Party [David BERDZENISHVILI]; Rightist Opposition [David GAMKRELIDZE] bloc composed of Industrialists and New Right Party; Socialist Party or SPG [Irakli MINDELI]; Traditionalists [Akaki ASATIANI]; Union of National Forces-Conservatives [Koba DAVITASHVILI and Zviad DZIDZIGURI] |
| Political pressure groups and leaders: | Georgian independent deputies from Abkhaz government in exile; separatists in the breakaway regions of Abkhazia and South Ossetia; supporters of the late ousted President Zviad GAMSAKHURDYA |
| International organization participation: | BSEC, CE, CIS, EAPC, EBRD, FAO, GUUAM, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ITU, MIGA, OAS (observer), OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Levan MIKELADZE |
| Diplomatic representation in the US: | chancery: Suite 602, 1101 15th Street NW, Washington, DC 20005 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-4537 |
| Diplomatic representation in the US: | FAX: [1] (202) 393-4537 |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard M. MILES |
| Diplomatic representation from the US: | embassy: #25 Atoneli Street, T'bilisi 0105 |
| Diplomatic representation from the US: | mailing address: 7060 Tbilisi Place, Washington, DC 20521-7060 |
| Diplomatic representation from the US: | telephone: [995] (32) 989-967/68 |
| Diplomatic representation from the US: | FAX: [995] (32) 933-759 |
| Flag description: | white rectangle, in its central portion a red cross connecting all four sides of the flag; in each of the four corners is a small red bolnur-katskhuri cross; the five-cross flag appears to date back to the 14th century |
