| Government | Georgia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Georgia |
| Country name: | local long form: none |
| Country name: | local short form: Sak'art'velo |
| Country name: | former: Georgian Soviet Socialist Republic |
| Government type: | republic |
| Capital: | name: Tbilisi |
| Capital: | geographic coordinates: 41 41 N, 44 50 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 9 regions (mkharebi, singular - mkhare), 1 city (k'alak'i), and 2 autonomous republics (avtomnoy respubliki, singular - avtom respublika) |
| Administrative divisions: | regions: Guria, Imereti, Kakheti, Kvemo Kartli, Mtskheta-Mtianeti, Racha-Lechkhumi and Kvemo Svaneti, Samegrelo and Zemo Svaneti, Samtskhe-Javakheti, Shida Kartli |
| Administrative divisions: | city: Tbilisi |
| Administrative divisions: | autonomous republics: Abkhazia or Ap'khazet'is Avtonomiuri Respublika (Sokhumi), Ajaria or Acharis Avtonomiuri Respublika (Bat'umi) |
| Administrative divisions: | note: the administrative centers of the two autonomous republics are shown in parentheses |
| Independence: | 9 April 1991 (from the Soviet Union); notable earlier date: A.D. 1008 (Georgia unified under King BAGRAT III) |
| National holiday: | Independence Day, 26 May (1918); note - 26 May 1918 was the date of independence from Soviet Russia, 9 April 1991 was the date of independence from the Soviet Union |
| Constitution: | adopted 24 August 1995 |
| Legal system: | civil law system |
| International law organization participation: | accepts compulsory ICJ jurisdiction; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mikheil SAAKASHVILI (since 25 January 2004); the president is the chief of state and serves as head of government for the power ministries of internal affairs and defense |
| Executive branch: | head of government: Prime Minister Bidzina IVANISHVILI (since 25 October 2012); the prime minister is head of government for all the ministries of government except the power ministries of internal affairs and defense |
| Executive branch: | cabinet: Cabinet of Ministers |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 5 January 2008 (next to be held in October 2013) |
| Executive branch: | election results: Mikheil SAAKASHVILI reelected president; percent of vote - Mikheil SAAKASHVILI 53.5%, Levan GACHECHILADZE 25.7%, Badri PATARKATSISHVILI 7.1%, other 13.7% |
| Legislative branch: | unicameral Parliament or Parlamenti (also known as Supreme Council or Umaghlesi Sabcho) (150 seats; 77 members elected by proportional representation, 73 elected in single-member constituencies; members to serve four-year terms) |
| Legislative branch: | elections: last held on 1 October 2012 (next to be held in 2016) |
| Legislative branch: | election results: percent of vote by party - Georgian Dream 55%, United National Movement 40.3%, other 4.7%; seats by party - Georgian Dream 85, United National Movement 65 |
| Judicial branch: | Supreme Court (judges elected by the Supreme Council on the president's or chairman of the Supreme Court's recommendation); Constitutional Court; first and second instance courts |
| Political parties and leaders: | Christian Democratic Movement [Giorgi TARGAMADZE]; Conservative Party [Kakha KUKAVA]; Democratic Movement United Georgia [Nino BURJANADZE]; For Fair Georgia [Zurab NOGAIDELI]; Georgian Dream (a six-party coalition composed of Georgian Dream-Democratic Georgia, Republican Party, Our Georgia-Free Democrats, National Forum, Conservative Party, and Industry Will Save Georgia); Georgian Dream-Democratic Georgia [Bidzina IVANISHVILI]; Georgian People's Front [Nodar NATADZE]; Greens [Giorgi GACHECHILADZE]; Industry Will Save Georgia (Industrialists) or IWSG [Georgi TOPADZE]; Labor Party [Shalva NATELASHVILI]; National Democratic Party or NDP [Bachuki KARDAVA]; National Forum [Kakhaber SHARTAVA]; New Rights [David GAMKRELIDZE]; Our Georgia-Free Democrats (OGFD) [Irakli ALASANIA]; People's Party [Koba DAVITASHVILI; Republican Party [David USUPASHVILI]; Traditionalists [Akaki ASATIANI]; United National Movement or UNM [Mikheil SAAKASHVILI] |
| Political pressure groups and leaders: | separatists in the occupied regions of Abkhazia and South Ossetia |
| International organization participation: | ADB, BSEC, CD, CE, EAPC, EBRD, FAO, G-11, GCTU, GUAM, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITSO, ITU, ITUC (NGOs), MIGA, OAS (observer), OIF (observer), OPCW, OSCE, PFP, SELEC (observer), UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Temuri YAKOBASHVILI |
| Diplomatic representation in the US: | chancery: 2209 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-2390 |
| Diplomatic representation in the US: | FAX: [1] (202) 393-4537 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard NORLAND |
| Diplomatic representation from the US: | embassy: 11 George Balanchine Street, T'bilisi 0131 |
