| Government | Georgia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Georgia |
| Country name: | local long form: none |
| Country name: | local short form: Sak'art'velo |
| Country name: | former: Georgian Soviet Socialist Republic |
| Government type: | republic |
| Capital: | name: T'bilisi |
| Capital: | geographic coordinates: 41 43 N, 44 49 E |
| Capital: | time difference: UTC+4 (9 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 9 regions (mkharebi, singular - mkhare), 9 cities (k'alak'ebi, singular - k'alak'i), and 2 autonomous republics (avtomnoy respubliki, singular - avtom respublika) |
| Administrative divisions: | regions: Guria, Imereti, Kakheti, Kvemo Kartli, Mtskheta-Mtianeti, Racha-Lechkhumi and Kvemo Svaneti, Samegrelo and Zemo Svaneti, Samtskhe-Javakheti, Shida Kartli |
| Administrative divisions: | cities: Chiat'ura, Gori, K'ut'aisi, P'ot'i, Rust'avi, Tbilisi, Tqibuli, Tsqaltubo, Zugdidi |
| Administrative divisions: | autonomous republics: Abkhazia or Ap'khazet'is Avtonomiuri Respublika (Sokhumi), Ajaria or Acharis Avtonomiuri Respublika (Bat'umi) |
| Administrative divisions: | note: the administrative centers of the two autonomous republics are shown in parentheses |
| Independence: | 9 April 1991 (from Soviet Union) |
| National holiday: | Independence Day, 26 May (1918); note - 26 May 1918 is the date of independence from Soviet Russia, 9 April 1991 is the date of independence from the Soviet Union |
| Constitution: | adopted 24 August 1995 |
| Legal system: | based on civil law system; accepts compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Mikheil SAAKASHVILI (since 25 January 2004); note - the president is both the chief of state and head of government for the power ministries: state security (includes interior) and defense |
| Executive branch: | head of government: President Mikheil SAAKASHVILI (since 25 January 2004); Prime Minister Zurab NOGHAIDELI (since 17 February 2005); note - the president is the chief of state and head of government for the power ministries: state security (includes interior) and defense; the prime minister is head of the remaining ministries of government |
| Executive branch: | cabinet: Cabinet of Ministers |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held 4 January 2004 (next to be held in 2009) |
| Executive branch: | election results: Mikheil SAAKASHVILI elected president; percent of vote - Mikheil SAAKASHVILI 96.3%, Temur SHASHIASHVILI 1.9% |
| Legislative branch: | unicameral Supreme Council (commonly referred to as Parliament) or Umaghiesi Sabcho (235 seats - 150 elected by party lists); members are elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 28 March 2004 (next to be held spring 2008) |
| Legislative branch: | election results: percent of vote by party - National Movement-Democratic Front 67.6%, Rightist Opposition 7.6%, all other parties received less than 7% each; seats by party - National Movement-Democratic Front 135, Rightist Opposition 15 |
| Judicial branch: | Supreme Court (judges elected by the Supreme Council on the president's or chairman of the Supreme Court's recommendation); Constitutional Court; first and second instance courts |
| Political parties and leaders: | Burjanadze-Democrats [Nino BURJANADZE]; Georgian People's Front [Nodar NATADZE]; Georgian United Communist Party or UCPG [Panteleimon GIORGADZE]; Greens [Giorgi GACHECHILADZE]; Industry Will Save Georgia (Industrialists) or IWSG [Georgi TOPADZE]; Labor Party [Shalva NATELASHVILI]; National Democratic Party or NDP [Bachuki KARDAVA]; National Movement Democratic Front [Mikheil SAAKASHVILI] bloc composed of National Movement and Burjanadze-Democrats; National Movement [Mikheil SAAKASHVILI]; New Rights [David GAMKRELIDZE]; Republican Party [David USUPASHVILI]; Rightist Opposition [David GAMKRELIDZE] bloc composed of Industrialists and New Right Party; Socialist Party or SPG [Irakli MINDELI]; Traditionalists [Akaki ASATIANI]; Union of National Forces-Conservatives [Koba DAVITASHVILI and Zviad DZIDZIGURI] |
| Political pressure groups and leaders: | Georgian independent deputies from Abkhaz government in exile; separatists in the breakaway regions of Abkhazia and South Ossetia; supporters of former President Zviad GAMSAKHURDYA ousted in 1991 |
| International organization participation: | ACCT (observer), BSEC, CE, CIS, EAPC, EBRD, FAO, GUAM, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, MIGA, OAS (observer), OIF (observer), OPCW, OSCE, PFP, SECI (observer), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Vasil SIKHARULIDZE |
| Diplomatic representation in the US: | chancery: 1101 15th Street NW, Suite 602, Washington, DC 20005 |
| Diplomatic representation in the US: | telephone: [1] (202) 387-2390 |
| Diplomatic representation in the US: | FAX: [1] (202) 393-4537 |
| Diplomatic representation from the US: | chief of mission: Ambassador John F. TEFFT |
| Diplomatic representation from the US: | embassy: 11 George Balanchine St., T'bilisi 0131 |
| Diplomatic representation from the US: | mailing address: 7060 T'bilisi Place, Washington, DC 20521-7060 |
| Diplomatic representation from the US: | telephone: [995] (32) 27-70-00 |
| Diplomatic representation from the US: | FAX: [995] (32) 53-23-10 |
| Flag description: | white rectangle, in its central portion a red cross connecting all four sides of the flag; in each of the four corners is a small red bolnur-katskhuri cross; the five-cross flag appears to date back to the 14th century |
