| Government | Montserrat |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Montserrat |
| Country name: | etymology: island named by explorer Christopher COLUMBUS in 1493 after the Benedictine abbey Santa Maria de Montserrat, near Barcelona, Spain |
| Dependency status: | overseas territory of the UK |
| Government type: | parliamentary democracy (Legislative Council); self-governing overseas territory of the UK |
| Capital: | name: Plymouth; note - Plymouth was abandoned in 1997 because of volcanic activity; interim government buildings have been built at Brades Estate, the de facto capital, in the Carr's Bay/Little Bay vicinity at the northwest end of Montserrat |
| Capital: | geographic coordinates: 16 42 N, 62 13 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 3 parishes; Saint Anthony, Saint Georges, Saint Peter |
| Independence: | none (overseas territory of the UK) |
| National holiday: | birthday of Queen ELIZABETH II, second Saturday in June (1926) |
| Constitution: | history: previous 1960; latest effective 1 September 2010 (The Montserrat Constitution Order 2010) (2018) |
| Constitution: | amendments: amended 2011 (2018) |
| Legal system: | English common law |
| Citizenship: | see United Kingdom |
| Suffrage: | 18 years of age; universal |
| Judicial branch: | highest courts: the Eastern Caribbean Supreme Court (ECSC) is the superior court of the Organization of Eastern Caribbean States; the ECSC - headquartered on St. Lucia - consists of the Court of Appeal - headed by the chief justice and 4 judges - and the High Court with 18 judges; the Court of Appeal is itinerant, travelling to member states on a schedule to hear appeals from the High Court and subordinate courts; High Court judges reside in the member states, with 1 assigned to Montserrat; Montserrat is also a member of the Caribbean Court of Justice |
| Judicial branch: | judge selection and term of office: chief justice of Eastern Caribbean Supreme Court appointed by the Her Majesty, Queen ELIZABETH II; other justices and judges appointed by the Judicial and Legal Services Commission, and independent body of judicial officials; Court of Appeal justices appointed for life with mandatory retirement at age 65; High Court judges appointed for life with mandatory retirement at age 62 |
| Judicial branch: | subordinate courts: magistrate's court |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor Andrew PEARCE (since 1 February 2018) |
| Executive branch: | head of government: Premier Donaldson ROMERO (since 12 September 2014); note - effective with The Constitution Order 2010, effective October 2010, the office of premier replaced the office of chief minister |
| Executive branch: | cabinet: Executive Council consists of the governor, the premier, 3 other ministers, the attorney general, and the finance secretary |
| Executive branch: | elections/appointments: the monarchy is hereditary; governor appointed by the monarch; following legislative elections, the leader of the majority party usually becomes premier |
| Legislative branch: | description: unicameral Legislative Assembly (11 seats; 9 members directly elected in a single constituency by absolute majority vote in 2 rounds to serve 5-year terms and 2 ex-officio members - the attorney general and financial secretary) |
| Legislative branch: | elections: last held on 11 September 2014 (next to be held by 2019) |
| Legislative branch: | election results: percent of vote by party - PDM 50.0%, MCAP 35.4%, other 14.6%; seats by party - PDM 7, MCAP 2 |
| Political parties and leaders: | Movement for Change and Prosperity or MCAP [Easton Taylor FARRELL] |
| Political parties and leaders: | People's Democratic Movement or PDM [Donaldson ROMERO] |
| International organization participation: | Caricom, CDB, Interpol (subbureau), OECS, UPU |
| Diplomatic representation in the US: | none (overseas territory of the UK) |
| Diplomatic representation from the US: | none (overseas territory of the UK) |
| Flag description: | blue with the flag of the UK in the upper hoist-side quadrant and the Montserratian coat of arms centered in the outer half of the flag; the arms feature a woman in green dress, Erin, the female personification of Ireland, standing beside a yellow harp and embracing a large dark cross with her right arm; Erin and the harp are symbols of Ireland reflecting the territory's Irish ancestry; blue represents awareness, trustworthiness, determination, and righteousness |
| National anthem: | note: as a territory of the UK, "God Save the Queen" is official (see United Kingdom) |
